Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,III,5.29,5.68,5.29,5.68,275365.0
2022-11-11,III,5.68,5.68,5.485,5.61,170828.0
2022-11-14,III,5.64,5.72,5.48,5.5,363005.0
2022-11-15,III,5.61,5.76,5.57,5.75,173856.0
2022-11-16,III,5.74,5.79,5.59,5.61,87268.0
2022-11-17,III,5.55,5.69,5.47,5.59,106005.0
2022-11-18,III,5.71,5.79,5.56,5.57,162769.0
2022-11-21,III,5.6,5.642,5.47,5.47,135794.0
2022-11-22,III,5.41,5.495,5.3,5.31,165533.0
2022-11-23,III,5.31,5.34,5.16,5.25,207242.0
2022-11-25,III,5.25,5.44,5.1924,5.36,44883.0
2022-11-28,III,5.36,5.44,5.33,5.4,114465.0
2022-11-29,III,5.4,5.4014,5.2,5.21,118256.0
2022-11-30,III,5.25,5.37,5.12,5.36,125387.0
2022-12-01,III,5.39,5.48,5.315,5.39,84312.0
2022-12-02,III,5.3,5.32,5.18,5.24,89801.0
2022-12-05,III,5.2,5.35,5.2,5.24,138315.0
2022-12-06,III,5.27,5.27,5.14,5.23,164697.0
2022-12-07,III,5.23,5.28,5.12,5.13,118096.0
2022-12-08,III,5.15,5.245,5.05,5.08,105900.0
2022-12-09,III,5.08,5.17,4.93,4.99,208943.0
2022-12-12,III,5.0,5.0,4.78,4.8,201394.0
2022-12-13,III,4.9,5.04,4.815,4.99,551024.0
2022-12-14,III,5.01,5.17,4.92,4.98,249037.0
2022-12-15,III,4.93,4.96,4.6,4.63,145239.0
2022-12-16,III,4.56,4.575,4.4,4.52,305075.0
2022-12-19,III,4.53,4.53,4.33,4.35,115324.0
2022-12-20,III,4.35,4.39,4.15,4.26,980480.0
2022-12-21,III,4.37,4.59,4.34,4.38,754124.0
2022-12-22,III,4.34,4.45,4.295,4.37,214381.0
2022-12-23,III,4.35,4.61,4.335,4.56,355411.0
2022-12-27,III,4.61,4.68,4.56,4.64,209144.0
2022-12-28,III,4.66,4.7,4.35,4.48,385405.0
2022-12-29,III,4.54,4.68,4.515,4.66,132882.0
2022-12-30,III,4.6,4.63,4.51,4.6,116741.0
2023-01-03,III,4.66,4.68,4.5,4.65,234488.0
2023-01-04,III,4.7,4.79,4.655,4.72,338832.0
2023-01-05,III,4.7,4.79,4.65,4.72,150923.0
2023-01-06,III,4.74,4.93,4.66,4.86,147727.0
2023-01-09,III,4.9,4.93,4.74,4.81,175026.0
2023-01-10,III,4.78,4.94,4.78,4.9,82413.0
2023-01-11,III,4.9,5.07,4.9,4.99,353476.0
2023-01-12,III,5.02,5.18,4.98,5.16,99667.0
2023-01-13,III,5.08,5.235,5.08,5.2,143942.0
2023-01-17,III,5.22,5.315,5.2,5.27,99603.0
2023-01-18,III,5.3,5.3582,5.15,5.15,227491.0
2023-01-19,III,5.15,5.2,5.09,5.11,143016.0
2023-01-20,III,5.15,5.2,5.1,5.14,120480.0
2023-01-23,III,5.13,5.295,5.11,5.25,153937.0
2023-01-24,III,5.23,5.35,5.115,5.14,105709.0
2023-01-25,III,5.1,5.19,4.96,5.16,156796.0
