Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,IMO,56.09,57.13,55.55,56.93,272882.0
2022-11-11,IMO,57.91,58.33,57.41,57.87,284580.0
2022-11-14,IMO,57.87,57.97,56.57,56.62,344085.0
2022-11-15,IMO,56.75,57.43,56.175,57.2,324281.0
2022-11-16,IMO,56.66,57.11,56.26,56.62,263997.0
2022-11-17,IMO,55.84,56.69,55.41,56.69,225081.0
2022-11-18,IMO,55.72,56.89,55.11,56.46,389485.0
2022-11-21,IMO,56.4,56.4,53.885,55.92,609409.0
2022-11-22,IMO,56.96,57.61,56.09,57.61,307462.0
2022-11-23,IMO,56.93,57.42,56.59,57.34,239402.0
2022-11-25,IMO,57.61,57.61,56.87,57.32,94812.0
2022-11-28,IMO,56.08,57.03,55.48,56.2,293602.0
2022-11-29,IMO,56.95,57.68,56.42,57.36,407485.0
2022-11-30,IMO,58.16,58.42,56.8,57.05,416968.0
2022-12-01,IMO,57.19,57.48,55.965,56.23,299083.0
2022-12-02,IMO,56.31,56.98,55.79,55.93,269175.0
2022-12-05,IMO,55.56,56.41,53.39,53.39,665391.0
2022-12-06,IMO,52.95,53.75,51.71,51.8,764288.0
2022-12-07,IMO,51.83,52.9,51.71,52.42,1071472.0
2022-12-08,IMO,53.05,53.91,51.84,51.93,744180.0
2022-12-09,IMO,51.75,52.04,49.98,50.01,951390.0
2022-12-12,IMO,48.74,49.74,47.6,48.71,1495901.0
2022-12-13,IMO,49.5,49.93,48.43,49.24,852702.0
2022-12-14,IMO,49.58,49.58,48.09,48.65,509164.0
2022-12-15,IMO,48.27,48.42,47.04,47.39,669455.0
2022-12-16,IMO,46.68,46.85,45.64,46.75,632104.0
2022-12-19,IMO,47.3,47.32,46.2678,46.86,720103.0
2022-12-20,IMO,47.01,47.35,46.545,46.99,848206.0
2022-12-21,IMO,47.74,48.085,46.8,47.97,814320.0
2022-12-22,IMO,48.16,49.05,46.05,46.81,471845.0
2022-12-23,IMO,47.02,48.28,46.98,48.27,488492.0
2022-12-27,IMO,48.71,49.2,48.19,49.06,236250.0
2022-12-28,IMO,48.99,48.99,47.25,47.74,302491.0
2022-12-29,IMO,47.72,48.73,47.65,48.52,253699.0
2022-12-30,IMO,48.23,48.89,48.16,48.74,215041.0
2023-01-03,IMO,48.55,48.55,45.9492,46.25,320737.0
2023-01-04,IMO,45.75,46.855,45.39,46.1,359582.0
2023-01-05,IMO,45.75,46.91,45.51,46.58,328158.0
2023-01-06,IMO,47.25,48.52,47.095,48.31,472570.0
2023-01-09,IMO,49.36,49.37,47.32,47.93,654602.0
2023-01-10,IMO,47.93,48.2,46.87,47.78,315216.0
2023-01-11,IMO,48.56,48.75,47.33,47.39,357788.0
2023-01-12,IMO,47.95,48.8,47.66,48.29,494498.0
2023-01-13,IMO,48.26,49.25,47.98,49.16,321574.0
2023-01-17,IMO,49.7,50.0,48.9,49.64,467823.0
2023-01-18,IMO,50.21,50.655,48.945,49.02,466926.0
2023-01-19,IMO,48.51,51.13,48.51,50.79,528658.0
2023-01-20,IMO,50.9,51.24,50.18,51.03,414641.0
2023-01-23,IMO,51.3,51.8,50.79,51.47,350350.0
2023-01-24,IMO,51.42,52.34,50.65,52.02,409336.0
2023-01-25,IMO,51.8,52.2,51.09,52.1,466133.0
2023-01-26,IMO,52.81,54.09,52.065,54.05,428805.0
2023-01-27,IMO,54.29,55.03,53.96,54.56,534951.0
2023-01-30,IMO,54.35,54.93,52.67,52.71,488825.0
2023-01-31,IMO,51.99,54.86,51.99,54.76,753743.0
2023-02-01,IMO,54.32,54.73,52.75,52.87,590092.0
2023-02-02,IMO,53.37,53.37,50.385,50.91,429458.0
2023-02-03,IMO,50.98,51.71,49.76,50.37,644033.0
2023-02-06,IMO,50.37,50.7,49.11,49.92,363276.0
2023-02-07,IMO,50.21,51.34,50.03,51.27,303868.0
2023-02-08,IMO,51.23,52.275,51.11,51.77,322173.0
2023-02-09,IMO,51.77,52.62,51.58,51.72,306914.0
2023-02-10,IMO,52.55,53.92,52.3,53.78,333860.0
2023-02-13,IMO,53.28,53.71,52.785,53.39,306523.0
2023-02-14,IMO,53.16,53.58,52.29,52.91,340732.0
2023-02-15,IMO,52.09,52.51,51.71,52.15,536782.0
2023-02-16,IMO,52.06,52.36,51.32,51.47,470911.0
2023-02-17,IMO,50.66,50.86,49.79,50.2,375974.0
2023-02-21,IMO,49.61,50.925,49.61,50.34,333647.0
2023-02-22,IMO,50.25,50.41,49.025,49.26,263997.0
2023-02-23,IMO,49.86,50.34,49.2,49.82,262254.0
2023-02-24,IMO,49.6,50.0,48.41,49.97,289077.0
2023-02-27,IMO,50.46,50.745,49.81,50.7,374182.0
2023-02-28,IMO,51.15,51.15,49.26,49.36,411039.0
2023-03-01,IMO,49.45,50.66,49.2,50.55,668834.0
2023-03-02,IMO,50.14,51.36,49.87,51.26,337806.0
