Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,INDI,7.92,8.14,7.635,8.1,1715890.0
2022-11-11,INDI,8.4,9.33,8.17,9.16,5370337.0
2022-11-14,INDI,9.03,9.135,8.685,8.76,2464336.0
2022-11-15,INDI,8.975,8.985,8.555,8.67,1660879.0
2022-11-16,INDI,7.85,7.86,6.565,6.655,8401083.0
2022-11-17,INDI,6.795,7.08,6.61,6.74,7502525.0
2022-11-18,INDI,7.01,7.78,6.88,7.69,5882775.0
2022-11-21,INDI,7.17,7.69,7.17,7.6,2820130.0
2022-11-22,INDI,7.6,8.005,7.56,7.75,2084758.0
2022-11-23,INDI,7.72,8.22,7.65,8.2,1561911.0
2022-11-25,INDI,8.055,8.2,8.04,8.17,466345.0
2022-11-28,INDI,8.0,8.24,7.86,7.86,945820.0
2022-11-29,INDI,7.9,7.9,7.605,7.77,740604.0
2022-11-30,INDI,7.86,8.26,7.705,8.21,1482714.0
2022-12-01,INDI,8.25,8.25,7.88,7.89,1193034.0
2022-12-02,INDI,7.68,8.17,7.5801,8.16,2626602.0
2022-12-05,INDI,8.21,8.24,7.78,7.8,830237.0
2022-12-06,INDI,7.76,7.81,7.44,7.49,791265.0
2022-12-07,INDI,7.39,7.55,7.255,7.31,916131.0
2022-12-08,INDI,7.38,7.49,7.23,7.36,904291.0
2022-12-09,INDI,7.29,7.29,6.99,7.01,858772.0
2022-12-12,INDI,6.95,7.1,6.79,6.87,1159265.0
2022-12-13,INDI,7.21,7.35,6.95,7.11,1066884.0
2022-12-14,INDI,7.09,7.225,6.88,7.03,902005.0
2022-12-15,INDI,6.85,7.03,6.83,6.83,780163.0
2022-12-16,INDI,6.74,6.965,6.72,6.86,2029452.0
2022-12-19,INDI,6.86,6.87,6.51,6.57,1071858.0
2022-12-20,INDI,6.48,6.645,6.385,6.46,840194.0
2022-12-21,INDI,6.53,6.65,6.41,6.48,898855.0
2022-12-22,INDI,6.38,6.485,6.24,6.36,1927205.0
2022-12-23,INDI,6.3,6.38,6.18,6.21,960541.0
2022-12-27,INDI,6.17,6.17,5.89,5.89,1062910.0
2022-12-28,INDI,5.88,5.915,5.74,5.8,1322283.0
2022-12-29,INDI,5.93,5.995,5.78,5.81,1075791.0
2022-12-30,INDI,5.7,5.86,5.66,5.83,849821.0
2023-01-03,INDI,5.94,6.03,5.745,5.79,836807.0
2023-01-04,INDI,5.875,5.965,5.78,5.91,878359.0
2023-01-05,INDI,5.86,5.8985,5.79,5.8,1212685.0
2023-01-06,INDI,5.87,6.19,5.8,6.17,1240615.0
2023-01-09,INDI,6.31,6.685,6.26,6.55,1239195.0
2023-01-10,INDI,6.55,6.63,6.43,6.63,583229.0
2023-01-11,INDI,6.67,6.78,6.61,6.76,635504.0
2023-01-12,INDI,6.83,6.995,6.655,6.97,910603.0
2023-01-13,INDI,6.89,7.1,6.875,7.09,580536.0
2023-01-17,INDI,7.07,7.23,6.98,7.21,1354341.0
2023-01-18,INDI,7.28,7.44,7.185,7.28,1805956.0
2023-01-19,INDI,7.15,7.225,6.92,7.0,726563.0
2023-01-20,INDI,7.13,7.25,6.95,7.2,750935.0
2023-01-23,INDI,7.27,7.63,7.215,7.5,1286054.0
2023-01-24,INDI,7.42,7.59,7.32,7.5,476283.0
2023-01-25,INDI,7.36,7.46,7.17,7.45,552238.0
2023-01-26,INDI,7.63,7.735,7.43,7.73,775110.0
2023-01-27,INDI,7.59,7.89,7.58,7.87,1179868.0
2023-01-30,INDI,7.72,7.76,7.53,7.65,722657.0
2023-01-31,INDI,7.74,8.0,7.58,7.97,1440642.0
2023-02-01,INDI,8.0,8.11,7.85,7.96,2218780.0
2023-02-02,INDI,8.24,8.49,8.0,8.42,2346455.0
2023-02-03,INDI,8.23,8.63,8.12,8.34,1275085.0
2023-02-06,INDI,8.2,8.265,7.915,8.05,1193602.0
2023-02-07,INDI,8.01,8.21,7.66,8.14,961504.0
2023-02-08,INDI,8.07,8.29,7.84,7.92,800254.0
2023-02-09,INDI,8.04,8.06,7.66,7.71,1798954.0
2023-02-10,INDI,8.2,8.48,8.14,8.29,2130864.0
2023-02-13,INDI,8.29,8.335,7.99,8.21,1131003.0
