Date,Ticker,Open,High,Low,Close,Volume
2023-05-25,IPXXU,10.06,10.08,10.05,10.07,12706041.0
2023-05-26,IPXXU,10.07,10.09,10.06,10.06,612690.0
2023-05-30,IPXXU,10.08,10.09,10.08,10.09,36971.0
2023-05-31,IPXXU,10.08,10.09,10.08,10.08,112581.0
2023-06-01,IPXXU,10.09,10.09,10.09,10.09,1320.0
2023-06-02,IPXXU,10.085,10.09,10.08,10.09,789249.0
2023-06-05,IPXXU,10.1,10.11,10.1,10.105,117992.0
2023-06-06,IPXXU,10.11,10.11,10.1,10.1093,120845.0
2023-06-07,IPXXU,10.0802,10.1,10.0802,10.1,2607.0
2023-06-08,IPXXU,10.0912,10.12,10.08,10.12,6880.0
2023-06-09,IPXXU,10.1,10.12,10.1,10.12,7952.0
2023-06-12,IPXXU,10.1098,10.12,10.1,10.1,326344.0
2023-06-13,IPXXU,10.11,10.11,10.11,10.11,469.0
2023-06-14,IPXXU,10.1,10.12,10.1,10.12,2197.0
2023-06-15,IPXXU,10.1122,10.12,10.1,10.12,3425.0
2023-06-16,IPXXU,10.1,10.11,10.1,10.1,1314.0
2023-06-20,IPXXU,10.1,10.12,10.1,10.11,315401.0
2023-06-21,IPXXU,10.11,10.11,10.11,10.11,541.0
2023-06-22,IPXXU,10.1,10.11,10.1,10.1075,1250.0
2023-06-23,IPXXU,10.1,10.11,10.1,10.11,2767.0
2023-06-26,IPXXU,10.1,10.1,10.1,10.1,187.0
2023-06-28,IPXXU,10.1,10.1198,10.1,10.1198,7541.0
2023-06-29,IPXXU,10.1189,10.12,10.1189,10.1199,1120.0
2023-06-30,IPXXU,10.12,10.12,10.1,10.12,100661.0
2023-07-03,IPXXU,10.15,10.15,10.1144,10.1144,54048.0
2023-07-05,IPXXU,10.11,10.15,10.1,10.15,927.0
2023-07-06,IPXXU,10.15,10.15,10.15,10.15,505.0
2023-07-10,IPXXU,10.14,10.14,10.14,10.14,335.0
2023-07-12,IPXXU,10.14,10.14,10.1196,10.1196,1613.0
2023-07-13,IPXXU,10.12,10.2,10.12,10.1255,269942.0
2023-07-17,IPXXU,10.12,10.3,10.12,10.245,3556.0
2023-07-18,IPXXU,10.29,10.29,10.2,10.23,1104.0
2023-07-19,IPXXU,10.18,10.18,10.18,10.18,313.0
2023-07-20,IPXXU,10.1801,10.19,10.18,10.18,768.0
2023-07-21,IPXXU,10.17,10.17,10.17,10.17,474.0
2023-07-24,IPXXU,10.25,10.25,10.2,10.2,917.0
2023-07-25,IPXXU,10.2,10.2,10.19,10.2,54133.0
2023-07-26,IPXXU,10.2,10.2,10.2,10.2,500.0
2023-07-27,IPXXU,10.21,10.21,10.21,10.21,553.0
2023-07-28,IPXXU,10.2,10.28,10.2,10.28,3000.0
2023-08-02,IPXXU,10.2,10.2,10.2,10.2,11097.0
2023-08-03,IPXXU,10.2,10.2,10.2,10.2,375.0
2023-08-07,IPXXU,10.2,10.2,10.2,10.2,4012.0
2023-08-08,IPXXU,10.2,10.2501,10.2,10.25,1940.0
2023-08-10,IPXXU,10.22,10.22,10.21,10.22,71819.0
2023-08-14,IPXXU,10.22,10.2532,10.22,10.2532,3600.0
2023-08-16,IPXXU,10.28,10.28,10.28,10.28,411.0
2023-08-17,IPXXU,10.29,10.34,10.19,10.19,16592.0
2023-08-25,IPXXU,10.24,10.24,10.24,10.24,108.0
2023-08-28,IPXXU,10.22,10.22,10.22,10.22,125.0
2023-08-29,IPXXU,10.22,10.22,10.22,10.22,549.0
2023-08-30,IPXXU,10.22,10.22,10.22,10.22,350.0
2023-09-05,IPXXU,10.25,10.25,10.25,10.25,1883.0
2023-09-06,IPXXU,10.3,10.3,10.3,10.3,856.0
2023-09-07,IPXXU,10.28,10.29,10.28,10.29,200.0
2023-09-13,IPXXU,10.25,10.25,10.25,10.25,362.0
2023-09-14,IPXXU,10.25,10.25,10.25,10.25,1600.0
2023-09-15,IPXXU,10.28,10.28,10.28,10.28,294.0
2023-09-19,IPXXU,10.785,10.8641,10.785,10.8641,651.0
2023-09-22,IPXXU,10.62,10.62,10.62,10.62,307.0
2023-09-25,IPXXU,10.31,10.31,10.31,10.31,104.0
2023-09-26,IPXXU,10.29,10.29,10.29,10.29,1082.0
2023-09-29,IPXXU,10.36,10.36,10.36,10.36,468.0
2023-10-02,IPXXU,10.4408,10.4408,10.34,10.35,942.0
2023-10-03,IPXXU,10.36,10.36,10.3,10.3,4596.0
2023-10-04,IPXXU,10.36,10.36,10.31,10.31,566.0
2023-10-06,IPXXU,11.14,11.14,10.3,10.3,26094.0
2023-10-09,IPXXU,10.3,10.3,10.3,10.3,225.0
2023-10-10,IPXXU,10.35,10.35,10.35,10.35,470.0
2023-10-11,IPXXU,10.37,10.37,10.37,10.37,166.0
2023-10-16,IPXXU,10.26,10.26,10.26,10.26,200.0
2023-10-24,IPXXU,10.3,10.3,10.3,10.3,104.0
2023-10-25,IPXXU,10.3,10.3,10.28,10.28,223.0
2023-11-02,IPXXU,10.3,10.3,10.26,10.26,3175.0
2023-11-03,IPXXU,10.31,10.31,10.31,10.31,111.0
2023-11-06,IPXXU,10.31,10.31,10.31,10.31,104.0
2023-11-07,IPXXU,10.31,10.31,10.31,10.31,106.0
2023-11-08,IPXXU,10.31,10.31,10.31,10.31,106.0
2023-11-09,IPXXU,10.31,10.31,10.31,10.31,103.0
2023-11-10,IPXXU,10.31,10.31,10.31,10.31,105.0
2023-11-13,IPXXU,10.31,10.31,10.31,10.31,106.0
2023-11-14,IPXXU,10.31,10.31,10.31,10.31,169.0
2023-11-17,IPXXU,10.32,10.32,10.32,10.32,861.0
2023-11-20,IPXXU,10.32,10.32,10.32,10.32,352.0
2023-11-24,IPXXU,10.35,10.35,10.35,10.35,300.0
2023-11-29,IPXXU,10.34,10.34,10.34,10.34,105.0
2023-11-30,IPXXU,10.34,10.34,10.34,10.34,105.0
2023-12-01,IPXXU,10.35,10.35,10.35,10.35,100.0
2023-12-04,IPXXU,10.35,10.35,10.35,10.35,108.0
2023-12-05,IPXXU,10.35,10.35,10.35,10.35,108.0
2023-12-06,IPXXU,10.35,10.35,10.35,10.35,104.0
2023-12-07,IPXXU,10.35,10.35,10.35,10.35,104.0
2023-12-08,IPXXU,10.38,10.38,10.35,10.35,312.0
2023-12-13,IPXXU,10.37,10.37,10.35,10.35,1600.0
2023-12-18,IPXXU,10.4,10.4,10.4,10.4,401.0
2023-12-21,IPXXU,10.4,10.4,10.37,10.37,745.0
2023-12-22,IPXXU,10.41,10.41,10.41,10.41,200.0
2023-12-27,IPXXU,10.35,10.35,10.35,10.35,1860.0
2023-12-29,IPXXU,10.37,10.39,10.33,10.37,8265.0
2024-01-09,IPXXU,10.36,10.4,10.36,10.39,1474.0
2024-01-10,IPXXU,10.39,10.39,10.39,10.39,112.0
2024-01-11,IPXXU,10.39,10.39,10.39,10.39,100.0
2024-01-12,IPXXU,10.39,10.39,10.39,10.39,100.0
2024-01-16,IPXXU,10.38,10.38,10.38,10.38,100.0
2024-01-17,IPXXU,10.39,10.39,10.39,10.39,100.0
2024-01-18,IPXXU,10.37,10.37,10.37,10.37,100.0
2024-01-19,IPXXU,10.39,10.39,10.39,10.39,100.0
2024-01-22,IPXXU,10.39,10.39,10.39,10.39,205.0
2024-01-30,IPXXU,10.43,10.43,10.43,10.43,100.0
2024-01-31,IPXXU,10.43,10.43,10.43,10.43,100.0
2024-02-01,IPXXU,10.43,10.43,10.43,10.43,104.0
2024-02-02,IPXXU,10.43,10.43,10.43,10.43,100.0
2024-02-05,IPXXU,10.43,10.43,10.43,10.43,104.0
2024-02-06,IPXXU,10.41,10.43,10.41,10.43,620.0
2024-02-14,IPXXU,10.43,10.43,10.43,10.43,300.0
2024-02-15,IPXXU,10.43,10.44,10.43,10.44,420.0
2024-02-26,IPXXU,10.55,10.55,10.47,10.47,1277.0
2024-02-29,IPXXU,10.46,10.46,10.46,10.46,100.0
2024-03-01,IPXXU,10.48,10.48,10.48,10.48,25000.0
