Date,Ticker,Open,High,Low,Close,Volume
2022-12-30,IRON,20.89,20.9999,15.0,19.89,176261.0
2023-01-03,IRON,17.9,19.2,16.05,17.95,97351.0
2023-01-04,IRON,17.9,19.23,16.05,18.2,104196.0
2023-01-05,IRON,18.15,19.195,17.15,17.95,52948.0
2023-01-06,IRON,17.9,20.97,17.3937,18.98,179018.0
2023-01-09,IRON,19.05,19.8,18.5041,19.2,38201.0
2023-01-10,IRON,19.57,19.7,18.65,18.8,32094.0
2023-01-11,IRON,18.82,19.145,18.51,18.82,79165.0
2023-01-12,IRON,18.71,19.39,18.16,19.02,115244.0
2023-01-13,IRON,18.73,19.37,18.4948,19.25,73094.0
2023-01-17,IRON,19.21,19.25,18.26,19.19,43107.0
2023-01-18,IRON,19.19,19.2,18.51,19.2,17668.0
2023-01-19,IRON,19.2,20.41,18.99,20.39,230082.0
2023-01-20,IRON,19.0,23.84,19.0,21.22,92864.0
2023-01-23,IRON,21.3,22.24,20.57,21.71,45252.0
2023-01-24,IRON,21.46,23.1994,21.4,22.59,25523.0
2023-01-25,IRON,22.2,23.2499,22.2,22.51,30179.0
2023-01-26,IRON,22.5,22.5,20.77,21.48,28499.0
2023-01-27,IRON,21.13,22.42,21.13,22.09,5684.0
2023-01-30,IRON,21.45,22.0,20.75,21.64,46460.0
2023-01-31,IRON,22.12,22.12,21.5,22.0,12479.0
2023-02-01,IRON,20.9432,22.0,20.17,20.68,30673.0
2023-02-02,IRON,21.09,23.37,20.04,20.74,76477.0
2023-02-03,IRON,20.745,23.23,20.325,23.23,50971.0
2023-02-06,IRON,22.89,24.84,22.3275,24.1,34494.0
2023-02-07,IRON,24.44,25.2199,23.338,24.4,55330.0
2023-02-08,IRON,23.94,25.25,23.67,24.75,79412.0
2023-02-09,IRON,24.18,25.2479,23.5,23.89,41191.0
2023-02-10,IRON,23.672,24.9699,23.465,24.255,16949.0
2023-02-13,IRON,24.26,24.3,22.8,24.18,56575.0
2023-02-14,IRON,24.0,24.9,22.53,24.2,74702.0
2023-02-15,IRON,24.24,24.24,22.83,23.8,113828.0
2023-02-16,IRON,23.36,24.0,23.01,23.86,58580.0
2023-02-17,IRON,23.59,24.62,21.23,23.93,79958.0
