Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,IRWD,11.68,11.73,11.32,11.6,5509109.0
2022-11-11,IRWD,11.54,11.61,11.23,11.5,2227220.0
2022-11-14,IRWD,11.5,11.68,11.45,11.46,1894834.0
2022-11-15,IRWD,11.63,11.67,11.35,11.41,1696560.0
2022-11-16,IRWD,11.43,11.525,11.24,11.26,1139633.0
2022-11-17,IRWD,11.26,11.355,11.2,11.33,1335474.0
2022-11-18,IRWD,11.42,11.67,11.27,11.64,1022317.0
2022-11-21,IRWD,11.63,11.72,11.43,11.45,1364062.0
2022-11-22,IRWD,11.45,11.72,11.38,11.5,2135544.0
2022-11-23,IRWD,11.48,11.7,11.43,11.58,1110578.0
2022-11-25,IRWD,11.54,11.77,11.4,11.73,518661.0
2022-11-28,IRWD,11.74,11.91,11.67,11.78,1437534.0
2022-11-29,IRWD,11.74,11.84,11.67,11.83,1450125.0
2022-11-30,IRWD,11.9,12.13,11.79,12.11,1940628.0
2022-12-01,IRWD,12.1,12.11,11.87,11.96,1501344.0
2022-12-02,IRWD,11.92,12.33,11.91,12.26,1391846.0
2022-12-05,IRWD,12.18,12.225,11.905,12.0,1573151.0
2022-12-06,IRWD,12.07,12.07,11.84,11.91,1051430.0
2022-12-07,IRWD,11.9,12.11,11.86,11.91,1361040.0
2022-12-08,IRWD,11.92,12.005,11.79,11.8,2283818.0
2022-12-09,IRWD,11.76,11.88,11.62,11.79,2294031.0
2022-12-12,IRWD,11.86,12.18,11.81,12.13,1630940.0
2022-12-13,IRWD,12.23,12.395,12.14,12.26,1905572.0
2022-12-14,IRWD,12.2,12.545,12.15,12.4,1456443.0
2022-12-15,IRWD,12.39,12.39,12.02,12.05,1907000.0
2022-12-16,IRWD,11.95,12.23,11.835,12.07,5576190.0
2022-12-19,IRWD,11.99,12.09,11.77,11.92,1465990.0
2022-12-20,IRWD,11.89,12.235,11.88,12.1,1850817.0
2022-12-21,IRWD,12.25,12.36,12.05,12.26,1118779.0
2022-12-22,IRWD,12.16,12.31,12.1,12.3,1045358.0
2022-12-23,IRWD,12.29,12.38,12.2,12.38,1114462.0
2022-12-27,IRWD,12.39,12.415,12.165,12.2,1030953.0
2022-12-28,IRWD,12.23,12.32,12.11,12.15,1121704.0
2022-12-29,IRWD,12.2,12.505,12.16,12.43,1487591.0
2022-12-30,IRWD,12.39,12.47,12.29,12.39,1534729.0
