Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,ISO,1.77,1.77,1.51,1.51,88476.0
2022-11-11,ISO,1.51,1.6,1.51,1.55,12316.0
2022-11-14,ISO,1.46,1.56,1.46,1.47,18715.0
2022-11-15,ISO,1.47,1.6,1.47,1.48,11834.0
2022-11-16,ISO,1.47,1.54,1.46,1.51,4957.0
2022-11-17,ISO,1.45,1.5042,1.45,1.45,9349.0
2022-11-18,ISO,1.45,1.505,1.37,1.37,4393.0
2022-11-21,ISO,1.34,1.5984,1.34,1.39,23284.0
2022-11-22,ISO,1.37,1.41,1.35,1.35,1372.0
2022-11-23,ISO,1.33,1.5,1.33,1.4801,3120.0
2022-11-25,ISO,1.35,1.42,1.35,1.42,546.0
2022-11-28,ISO,1.44,1.515,1.43,1.485,3043.0
2022-11-29,ISO,1.45,1.4755,1.41,1.4755,5410.0
2022-11-30,ISO,1.4,1.45,1.36,1.36,15616.0
2022-12-01,ISO,1.38,1.53,1.33,1.4591,6941.0
2022-12-02,ISO,1.42,1.4893,1.3402,1.35,4697.0
2022-12-05,ISO,1.36,1.48,1.2501,1.29,27583.0
2022-12-06,ISO,1.27,1.275,1.16,1.16,25945.0
2022-12-07,ISO,1.16,1.2142,1.1,1.1,27726.0
2022-12-08,ISO,1.02,1.1265,0.8712,0.9402,139194.0
2022-12-09,ISO,0.912,1.0298,0.8801,0.89,33283.0
2022-12-12,ISO,0.9,0.9999,0.880058,0.9,77486.0
2022-12-13,ISO,0.88,0.989999,0.87,0.87,29418.0
2022-12-14,ISO,0.8278,0.9579,0.7982,0.7982,32606.0
2022-12-15,ISO,0.764,0.8,0.7453,0.7503,25842.0
2022-12-16,ISO,0.7502,0.7579,0.685301,0.7066,25669.0
2022-12-19,ISO,0.72,0.7629,0.6017,0.66,76407.0
2022-12-20,ISO,0.6402,0.7513,0.6402,0.7513,27908.0
2022-12-21,ISO,0.7513,0.76,0.6901,0.6901,1367699.0
2022-12-22,ISO,0.92,1.95,0.89,1.4,48866157.0
2022-12-23,ISO,1.44,1.68,1.35,1.63,3719219.0
2022-12-27,ISO,1.63,1.87,1.53,1.69,1330181.0
2022-12-28,ISO,1.62,1.67,1.4,1.56,394188.0
2022-12-29,ISO,1.44,1.64,1.43,1.62,209997.0
2022-12-30,ISO,1.48,1.67,1.44,1.55,229402.0
2023-01-03,ISO,1.46,1.64,1.46,1.55,89483.0
2023-01-04,ISO,1.55,1.6,1.47,1.6,339582.0
2023-01-05,ISO,1.47,1.59,1.47,1.53,79881.0
2023-01-06,ISO,1.54,1.55,1.43,1.55,153759.0
2023-01-09,ISO,1.56,1.62,1.51,1.55,91911.0
2023-01-10,ISO,1.37,1.42,1.29,1.31,412769.0
2023-01-11,ISO,1.35,1.36,1.27,1.31,330310.0
2023-01-12,ISO,1.28,1.43,1.28,1.42,76959.0
2023-01-13,ISO,1.37,1.56,1.33,1.48,112911.0
2023-01-17,ISO,1.48,1.51,1.36,1.39,48898.0
2023-01-18,ISO,1.35,1.44,1.35,1.38,46548.0
2023-01-19,ISO,1.38,1.425,1.31,1.34,47417.0
