Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,JELD,9.75,10.78,9.73,10.5,923460.0
2022-11-11,JELD,10.5,11.17,10.41,10.88,966716.0
2022-11-14,JELD,10.68,10.775,10.16,10.18,804609.0
2022-11-15,JELD,10.6,10.925,10.28,10.33,677588.0
2022-11-16,JELD,10.19,10.19,9.7805,10.03,707402.0
2022-11-17,JELD,9.57,9.78,9.385,9.64,632974.0
2022-11-18,JELD,9.91,10.09,9.58,9.69,639838.0
2022-11-21,JELD,9.6,9.71,9.465,9.67,597313.0
2022-11-22,JELD,9.76,9.92,9.685,9.79,506223.0
2022-11-23,JELD,9.79,9.895,9.645,9.83,403522.0
2022-11-25,JELD,9.83,9.895,9.73,9.85,236724.0
2022-11-28,JELD,9.77,9.935,9.5912,9.71,915782.0
2022-11-29,JELD,9.65,10.125,9.57,10.06,996410.0
2022-11-30,JELD,10.04,10.43,9.73,10.34,1138339.0
2022-12-01,JELD,10.83,11.25,10.4835,10.68,842238.0
2022-12-02,JELD,10.33,10.5,10.19,10.45,503645.0
2022-12-05,JELD,10.3,10.39,10.06,10.17,550296.0
2022-12-06,JELD,10.26,10.33,9.6701,9.91,511093.0
2022-12-07,JELD,9.87,10.02,9.7,9.8,480654.0
2022-12-08,JELD,9.76,10.105,9.65,9.98,553454.0
2022-12-09,JELD,9.88,10.665,9.88,10.39,867784.0
2022-12-12,JELD,10.39,10.64,10.1,10.64,766627.0
2022-12-13,JELD,11.35,11.36,10.52,10.6,715741.0
2022-12-14,JELD,10.34,10.71,10.34,10.42,575351.0
2022-12-15,JELD,10.15,10.2,9.805,9.89,1046557.0
2022-12-16,JELD,9.67,9.96,9.605,9.78,1372774.0
2022-12-19,JELD,9.87,10.14,9.65,9.68,756914.0
2022-12-20,JELD,9.65,9.91,9.54,9.65,680216.0
2022-12-21,JELD,9.79,9.958,9.705,9.82,497361.0
2022-12-22,JELD,9.63,9.65,9.34,9.63,554283.0
2022-12-23,JELD,9.53,9.64,9.48,9.64,320911.0
2022-12-27,JELD,9.64,9.86,9.49,9.85,333494.0
2022-12-28,JELD,9.86,9.93,9.0,9.05,471290.0
2022-12-29,JELD,9.12,9.675,9.03,9.65,573679.0
2022-12-30,JELD,9.5,9.7,9.42,9.65,459327.0
2023-01-03,JELD,9.9,10.13,9.69,10.0,616950.0
2023-01-04,JELD,10.23,11.04,10.23,10.96,722217.0
2023-01-05,JELD,10.79,10.89,10.43,10.78,449469.0
2023-01-06,JELD,10.91,11.235,10.86,11.11,712799.0
2023-01-09,JELD,11.28,11.34,10.98,11.01,627860.0
2023-01-10,JELD,10.9,11.365,10.9,11.31,757625.0
2023-01-11,JELD,11.47,11.631,11.22,11.3,319433.0
2023-01-12,JELD,11.5,11.64,11.1,11.56,414581.0
2023-01-13,JELD,11.31,11.62,11.27,11.38,330269.0
2023-01-17,JELD,11.25,11.585,11.22,11.42,391168.0
2023-01-18,JELD,11.49,11.73,11.27,11.36,625595.0
2023-01-19,JELD,11.17,11.2,10.59,10.74,513455.0
2023-01-20,JELD,10.79,11.19,10.61,11.18,382603.0
2023-01-23,JELD,11.28,11.49,11.17,11.48,401943.0
2023-01-24,JELD,11.37,11.53,11.3,11.34,449798.0
2023-01-25,JELD,11.13,11.4,11.0,11.37,239624.0
2023-01-26,JELD,11.43,11.69,11.34,11.68,347524.0
2023-01-27,JELD,11.75,12.1,11.73,12.04,366183.0
2023-01-30,JELD,11.83,12.04,11.71,11.71,297191.0
2023-01-31,JELD,11.78,12.65,11.67,12.65,618346.0
2023-02-01,JELD,12.825,13.88,12.67,13.69,914480.0
2023-02-02,JELD,13.89,14.15,13.69,13.98,1022421.0
2023-02-03,JELD,13.6,13.915,13.35,13.43,839035.0
2023-02-06,JELD,13.18,13.25,12.89,13.22,831372.0
2023-02-07,JELD,13.05,13.465,12.96,13.45,586406.0
2023-02-08,JELD,13.45,13.46,12.97,13.25,538980.0
2023-02-09,JELD,13.51,13.7,12.91,12.98,560469.0
2023-02-10,JELD,12.8,13.0,12.775,12.89,409967.0
2023-02-13,JELD,12.9,13.19,12.772,13.18,326549.0
2023-02-14,JELD,13.01,13.4,12.9,13.29,400955.0
2023-02-15,JELD,13.02,13.37,12.97,13.33,553296.0
2023-02-16,JELD,13.11,13.33,12.89,13.14,436607.0
2023-02-17,JELD,13.02,13.02,12.64,12.87,616175.0
2023-02-21,JELD,14.1,15.3799,12.75,13.02,1408825.0
2023-02-22,JELD,13.06,13.484,12.725,12.9,710617.0
2023-02-23,JELD,13.01,13.295,12.71,13.2,798205.0
2023-02-24,JELD,12.88,12.96,12.61,12.82,625335.0
2023-02-27,JELD,13.05,13.18,12.835,12.97,438065.0
2023-02-28,JELD,12.97,13.35,12.97,13.15,719594.0
2023-03-01,JELD,13.14,13.345,13.02,13.08,406297.0
2023-03-02,JELD,12.89,13.305,12.8032,13.28,389942.0
2023-03-03,JELD,13.41,13.82,13.29,13.78,357804.0
2023-03-06,JELD,13.79,13.94,13.185,13.35,622106.0
2023-03-07,JELD,13.38,13.7,13.37,13.48,500405.0
2023-03-08,JELD,13.55,13.665,13.43,13.62,325616.0
2023-03-09,JELD,13.59,13.86,13.235,13.28,409306.0
2023-03-10,JELD,13.2,13.21,12.4,12.65,441615.0
2023-03-13,JELD,12.33,12.57,12.165,12.23,441813.0
2023-03-14,JELD,12.68,12.8,12.295,12.5,487285.0
2023-03-15,JELD,12.05,12.625,11.97,12.22,666725.0
2023-03-16,JELD,12.0,12.385,11.781,12.26,579346.0
2023-03-17,JELD,12.24,12.465,11.95,11.98,1110272.0
2023-03-20,JELD,12.13,12.47,12.0,12.19,458599.0
2023-03-21,JELD,12.43,12.6,12.21,12.33,737650.0
2023-03-22,JELD,12.34,12.54,12.05,12.06,521449.0
2023-03-23,JELD,12.2,12.56,11.81,11.94,396995.0
2023-03-24,JELD,11.76,12.07,11.68,12.0,515468.0
2023-03-27,JELD,12.27,12.35,12.05,12.21,329621.0
2023-03-28,JELD,12.15,12.36,12.02,12.15,384228.0
2023-03-29,JELD,12.31,12.37,11.8773,12.15,383901.0
2023-03-30,JELD,12.3,12.34,12.08,12.18,272695.0
