Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,JFIN,2.4133,2.43,2.2854,2.3927,40549.0
2022-11-11,JFIN,2.39,2.4037,2.26,2.29,25520.0
2022-11-14,JFIN,2.32,2.415,2.3,2.3,14364.0
2022-11-15,JFIN,2.37,2.42,2.35,2.36,10532.0
2022-11-16,JFIN,2.38,2.42,2.35,2.35,15177.0
2022-11-17,JFIN,2.3611,2.5,2.32,2.45,32135.0
2022-11-18,JFIN,2.48,2.52,2.4042,2.47,21066.0
2022-11-21,JFIN,2.47,2.47,2.46,2.46,5175.0
2022-11-22,JFIN,2.45,2.51,2.04,2.16,202951.0
2022-11-23,JFIN,2.5,2.51,1.915,1.9705,186387.0
2022-11-25,JFIN,2.0,2.05,1.965,2.02,30892.0
2022-11-28,JFIN,2.0,2.05,1.99,2.0,23285.0
2022-11-29,JFIN,2.01,2.09,2.01,2.04,24035.0
2022-11-30,JFIN,2.08,2.1537,1.8602,2.02,39424.0
2022-12-01,JFIN,2.03,2.15,2.0198,2.12,73171.0
2022-12-02,JFIN,2.11,2.2015,2.11,2.17,20351.0
2022-12-05,JFIN,2.21,2.24,2.126,2.2,47690.0
2022-12-06,JFIN,2.19,2.22,2.12,2.22,11723.0
2022-12-07,JFIN,2.131,2.132,2.072,2.09,11285.0
2022-12-08,JFIN,2.12,2.14,2.095,2.13,7534.0
2022-12-09,JFIN,2.14,2.21,2.135,2.18,40253.0
2022-12-12,JFIN,2.1,2.19,2.1,2.1761,28319.0
2022-12-13,JFIN,2.19,2.1901,2.09,2.14,16115.0
2022-12-14,JFIN,2.1273,2.145,2.12,2.145,11921.0
2022-12-15,JFIN,2.14,2.14,2.07,2.11,13315.0
2022-12-16,JFIN,2.1006,2.14,2.1,2.13,10260.0
2022-12-19,JFIN,2.09,2.14,2.0669,2.08,19238.0
2022-12-20,JFIN,2.06,2.15,2.05,2.09,16445.0
2022-12-21,JFIN,2.08,2.1501,2.0709,2.1,39512.0
2022-12-22,JFIN,2.1,2.18,2.1,2.14,34577.0
2022-12-23,JFIN,2.14,2.18,2.14,2.18,7738.0
2022-12-27,JFIN,2.23,2.3,2.1518,2.23,91108.0
2022-12-28,JFIN,2.26,2.31,2.15,2.23,42967.0
2022-12-29,JFIN,2.2,2.3,2.1782,2.3,67580.0
2022-12-30,JFIN,2.24,2.3,2.2,2.3,20282.0
2023-01-03,JFIN,2.26,2.6101,2.26,2.43,78181.0
2023-01-04,JFIN,2.53,2.8629,2.53,2.71,83198.0
2023-01-05,JFIN,2.7,2.85,2.64,2.7744,29355.0
2023-01-06,JFIN,2.72,2.93,2.63,2.81,54958.0
