Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,JOBY,4.22,4.445,4.1501,4.25,5480363.0
2022-11-11,JOBY,4.29,4.57,4.23,4.5,3699253.0
2022-11-14,JOBY,4.5,4.53,4.31,4.32,2690549.0
2022-11-15,JOBY,4.51,4.74,4.4415,4.5,2562967.0
2022-11-16,JOBY,4.46,4.47,4.255,4.27,2079314.0
2022-11-17,JOBY,4.21,4.24,4.12,4.19,2440921.0
2022-11-18,JOBY,4.32,4.32,4.18,4.2,1401725.0
2022-11-21,JOBY,4.21,4.225,4.0212,4.05,2056315.0
2022-11-22,JOBY,4.07,4.12,3.95,4.04,1824239.0
2022-11-23,JOBY,4.06,4.14,4.03,4.07,1456618.0
2022-11-25,JOBY,4.07,4.11,4.0285,4.1,1093243.0
2022-11-28,JOBY,4.05,4.1,3.91,3.93,2103571.0
2022-11-29,JOBY,3.99,4.0628,3.95,3.99,1756946.0
2022-11-30,JOBY,4.11,4.15,3.94,4.12,6290631.0
2022-12-01,JOBY,4.07,4.22,4.061,4.08,2113164.0
2022-12-02,JOBY,4.04,4.15,3.985,4.13,2736350.0
2022-12-05,JOBY,4.14,4.165,3.89,3.91,4141728.0
2022-12-06,JOBY,3.94,3.95,3.66,3.66,5521634.0
2022-12-07,JOBY,3.64,3.695,3.48,3.5,5019778.0
2022-12-08,JOBY,3.53,3.56,3.4339,3.49,4593275.0
2022-12-09,JOBY,3.5,3.57,3.425,3.51,3546535.0
2022-12-12,JOBY,3.52,3.72,3.49,3.69,3137033.0
2022-12-13,JOBY,3.88,3.97,3.6001,3.69,3149516.0
2022-12-14,JOBY,3.7,3.83,3.65,3.72,3330813.0
2022-12-15,JOBY,3.65,3.71,3.59,3.66,3071213.0
2022-12-16,JOBY,3.62,3.72,3.41,3.62,6272940.0
2022-12-19,JOBY,3.62,3.625,3.44,3.47,3444125.0
2022-12-20,JOBY,3.45,3.545,3.4,3.45,2638520.0
2022-12-21,JOBY,3.51,3.61,3.435,3.54,2792242.0
2022-12-22,JOBY,3.52,3.526,3.37,3.42,3470710.0
2022-12-23,JOBY,3.41,3.43,3.33,3.35,2686285.0
2022-12-27,JOBY,3.33,3.34,3.15,3.18,3408230.0
2022-12-28,JOBY,3.19,3.295,3.15,3.19,3654020.0
2022-12-29,JOBY,3.23,3.46,3.18,3.39,3495290.0
2022-12-30,JOBY,3.33,3.44,3.28,3.35,2019972.0
2023-01-03,JOBY,3.42,3.5685,3.34,3.42,3564735.0
2023-01-04,JOBY,3.44,3.545,3.3785,3.46,1977600.0
2023-01-05,JOBY,3.45,3.5,3.3,3.31,2506825.0
2023-01-06,JOBY,3.35,3.37,3.22,3.37,2381805.0
2023-01-09,JOBY,3.43,3.61,3.39,3.56,2927066.0
2023-01-10,JOBY,3.53,3.62,3.4,3.62,2638528.0
2023-01-11,JOBY,3.62,3.75,3.6016,3.74,2672411.0
2023-01-12,JOBY,3.75,4.08,3.74,4.06,5900513.0
2023-01-13,JOBY,3.96,4.25,3.89,4.21,4432496.0
2023-01-17,JOBY,4.22,4.49,4.18,4.44,4629815.0
2023-01-18,JOBY,4.48,4.64,4.25,4.27,4896988.0
2023-01-19,JOBY,4.16,4.17,3.93,3.95,3232454.0
2023-01-20,JOBY,4.02,4.07,3.84,3.97,3815492.0
2023-01-23,JOBY,3.97,4.12,3.93,4.11,2939813.0
2023-01-24,JOBY,4.11,4.19,4.03,4.08,1681115.0
2023-01-25,JOBY,4.02,4.14,3.95,4.13,1826694.0
2023-01-26,JOBY,4.2,4.2591,4.03,4.12,2376284.0
2023-01-27,JOBY,4.11,4.44,4.09,4.34,4300352.0
2023-01-30,JOBY,4.27,4.37,4.18,4.22,2825319.0
2023-01-31,JOBY,4.25,4.43,4.22,4.42,4128735.0
2023-02-01,JOBY,4.39,4.48,4.24,4.44,5583320.0
2023-02-02,JOBY,4.54,4.76,4.501,4.66,4178878.0
2023-02-03,JOBY,4.54,4.77,4.52,4.7,3697567.0
2023-02-06,JOBY,4.65,4.67,4.39,4.42,3110247.0
2023-02-07,JOBY,4.46,4.48,4.21,4.42,2898930.0
2023-02-08,JOBY,4.38,4.44,4.305,4.36,1875276.0
2023-02-09,JOBY,4.47,4.575,4.21,4.22,2250177.0
2023-02-10,JOBY,4.21,4.2192,4.095,4.2,1599396.0
2023-02-13,JOBY,4.23,4.255,4.11,4.21,1443310.0
2023-02-14,JOBY,4.16,4.32,4.12,4.3,2138349.0
2023-02-15,JOBY,4.3,4.64,4.27,4.62,2895540.0
2023-02-16,JOBY,4.54,4.655,4.46,4.46,1934073.0
2023-02-17,JOBY,4.43,4.475,4.33,4.45,1933830.0
2023-02-21,JOBY,4.38,4.43,4.225,4.26,2466784.0
2023-02-22,JOBY,4.3,4.34,4.16,4.29,2224856.0
2023-02-23,JOBY,4.49,5.01,4.48,4.75,6726629.0
2023-02-24,JOBY,4.65,4.67,4.38,4.4,3186584.0
2023-02-27,JOBY,4.54,4.67,4.5,4.55,2284798.0
2023-02-28,JOBY,4.54,4.77,4.5,4.7,3078184.0
2023-03-01,JOBY,4.65,4.71,4.39,4.45,2377948.0
2023-03-02,JOBY,4.4,4.42,4.265,4.35,1976175.0
2023-03-03,JOBY,4.4,4.58,4.39,4.56,1785843.0
2023-03-06,JOBY,4.65,4.705,4.46,4.5,2029195.0
2023-03-07,JOBY,4.27,4.35,4.05,4.19,4795903.0
2023-03-08,JOBY,4.21,4.21,4.1,4.2,2061111.0
2023-03-09,JOBY,4.21,4.25,4.02,4.02,1706596.0
2023-03-10,JOBY,4.02,4.11,3.92,3.96,2988959.0
2023-03-13,JOBY,3.7,3.995,3.68,3.95,3317430.0
2023-03-14,JOBY,4.04,4.1,3.8435,3.88,2868649.0
2023-03-15,JOBY,3.76,3.82,3.685,3.79,4084364.0
2023-03-16,JOBY,3.79,4.0,3.76,4.0,2554406.0
2023-03-17,JOBY,3.96,3.99,3.81,3.89,3334113.0
2023-03-20,JOBY,3.9,3.92,3.81,3.85,2460681.0
