Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,JOUT,54.43,56.67,54.43,56.44,24257
2022-11-11,JOUT,56.87,59.34,56.73,59.11,28070
2022-11-14,JOUT,58.5,58.5,56.8,56.8,31444
2022-11-15,JOUT,57.04,58.3675,57.04,57.43,23210
2022-11-16,JOUT,56.95,56.95,55.65,56.01,20641
2022-11-17,JOUT,55.3,56.03,54.38,56.03,20775
2022-11-18,JOUT,57.0,59.13,55.21,56.07,33339
2022-11-21,JOUT,55.85,56.94,54.39,55.37,30257
2022-11-22,JOUT,55.33,56.19,55.31,55.87,25328
2022-11-23,JOUT,55.59,56.48,54.57,55.21,23705
2022-11-25,JOUT,55.0,55.76,54.6,54.85,12425
2022-11-28,JOUT,54.55,55.17,54.45,54.88,24176
2022-11-29,JOUT,55.11,56.9899,55.0,55.85,36084
2022-11-30,JOUT,56.23,57.48,55.12,56.56,72638
2022-12-01,JOUT,56.65,58.95,56.18,58.79,47173
2022-12-02,JOUT,58.19,58.946,57.83,58.69,27393
2022-12-05,JOUT,58.34,58.34,55.79,56.59,38503
2022-12-06,JOUT,56.74,57.24,55.83,57.09,28275
2022-12-07,JOUT,57.09,57.6,56.13,56.65,28397
2022-12-08,JOUT,56.38,58.1374,56.38,57.44,37108
2022-12-09,JOUT,63.0,70.3164,60.3514,68.0,100501
2022-12-12,JOUT,67.32,69.31,66.19,67.8,54339
2022-12-13,JOUT,69.71,70.42,65.905,68.18,126358
2022-12-14,JOUT,67.58,68.6,66.25,67.36,59194
2022-12-15,JOUT,66.32,66.9,64.9,65.65,63245
2022-12-16,JOUT,65.59,67.0,64.92,65.54,101873
2022-12-19,JOUT,65.28,66.78,64.52,65.34,73192
2022-12-20,JOUT,64.84,66.37,63.61,66.22,71090
2022-12-21,JOUT,66.28,67.34,65.36,66.91,51385
2022-12-22,JOUT,64.31,66.765,64.31,66.35,30105
2022-12-23,JOUT,66.35,67.02,65.49,66.7,28717
2022-12-27,JOUT,66.39,67.9096,65.99,67.04,52036
2022-12-28,JOUT,66.98,67.75,64.79,64.8,47256
2022-12-29,JOUT,65.15,67.25,62.6001,66.83,51592
2022-12-30,JOUT,66.33,66.89,65.32,66.12,30895
2023-01-03,JOUT,67.05,67.81,66.1,67.74,49223
2023-01-04,JOUT,67.48,69.055,67.36,68.49,44888
2023-01-05,JOUT,68.28,68.28,66.93,67.2,42953
2023-01-06,JOUT,67.84,68.66,67.545,67.85,47103
2023-01-09,JOUT,67.84,68.46,67.03,67.11,57047
2023-01-10,JOUT,67.11,68.65,66.56,68.44,47179
2023-01-11,JOUT,68.24,68.82,65.0386,68.0,49055
2023-01-12,JOUT,68.66,68.8,67.5,68.31,44300
2023-01-13,JOUT,67.65,69.29,66.99,68.74,41227
2023-01-17,JOUT,68.38,69.9,67.73,68.47,35845
2023-01-18,JOUT,68.24,69.56,66.74,66.92,32551
2023-01-19,JOUT,66.52,66.52,65.62,65.92,32693
2023-01-20,JOUT,66.6,67.39,65.58,67.39,39963
2023-01-23,JOUT,67.6,68.73,66.8,68.39,25791
2023-01-24,JOUT,68.46,69.43,67.5,68.24,58269
2023-01-25,JOUT,68.41,70.19,68.15,68.21,52058
2023-01-26,JOUT,68.88,68.88,65.07,65.92,42689
2023-01-27,JOUT,66.0,66.94,65.26,66.37,20765
2023-01-30,JOUT,66.38,67.99,65.71,66.12,34579
2023-01-31,JOUT,66.55,68.46,66.2,68.46,45416
2023-02-01,JOUT,68.59,69.42,67.52,68.91,42275
2023-02-02,JOUT,69.74,71.88,68.6,71.49,58763
2023-02-03,JOUT,71.18,71.59,67.585,67.69,76165
2023-02-06,JOUT,66.79,66.9,64.02,64.68,42930
2023-02-07,JOUT,64.53,66.0,63.32,65.44,40069
2023-02-08,JOUT,65.0,66.1,64.61,65.55,28279
2023-02-09,JOUT,66.28,66.35,64.65,65.0,75054
2023-02-10,JOUT,65.18,65.99,64.3,65.44,54719
2023-02-13,JOUT,65.83,66.03,64.75,65.94,43237
2023-02-14,JOUT,65.89,65.89,64.56,65.23,42236
2023-02-15,JOUT,65.0,66.27,64.39,66.25,62151
2023-02-16,JOUT,65.95,66.98,65.31,65.53,49232
2023-02-17,JOUT,65.87,66.79,65.2,66.43,49553
2023-02-21,JOUT,65.9,65.9,63.29,63.34,48784
2023-02-22,JOUT,63.55,64.2,63.23,63.91,41507
2023-02-23,JOUT,64.62,64.7,63.55,64.43,49650
2023-02-24,JOUT,64.18,64.8,63.27,64.58,43082
2023-02-27,JOUT,64.89,65.6,64.03,64.24,40828
2023-02-28,JOUT,64.27,65.13,63.75,64.86,93997
2023-03-01,JOUT,64.82,65.5,62.775,63.11,82225
2023-03-02,JOUT,62.66,63.62,62.35,63.34,60503
2023-03-03,JOUT,63.54,64.49,63.1,63.65,71684
2023-03-06,JOUT,63.65,64.05,62.74,62.98,77740
2023-03-07,JOUT,63.16,63.16,61.91,62.33,53005
2023-03-08,JOUT,62.13,63.21,61.85,63.17,44873
2023-03-09,JOUT,63.21,63.63,60.47,60.67,68152
2023-03-10,JOUT,60.47,60.66,58.71,59.51,59901
2023-03-13,JOUT,58.75,59.72,56.8,58.93,61144
2023-03-14,JOUT,60.63,60.63,58.36,59.11,60395
2023-03-15,JOUT,57.89,59.9,57.5,59.4,65777
2023-03-16,JOUT,58.62,60.27,58.36,59.82,61162
2023-03-17,JOUT,59.7,60.98,59.13,59.91,256484
2023-03-20,JOUT,60.48,60.98,58.84,59.36,68877
2023-03-21,JOUT,60.09,61.21,59.71,61.04,54861
2023-03-22,JOUT,61.05,61.93,60.02,60.02,37447
2023-03-23,JOUT,60.16,61.09,58.83,59.48,38081
2023-03-24,JOUT,59.1,60.24,58.83,60.07,65630
2023-03-27,JOUT,60.61,61.28,59.85,60.965,25429
2023-03-28,JOUT,60.9,61.75,59.965,61.02,90045
2023-03-29,JOUT,61.36,61.51,60.29,61.48,44453
2023-03-30,JOUT,61.8,62.33,60.78,61.62,47586
2023-03-31,JOUT,61.87,63.18,61.29,63.01,55941
2023-04-03,JOUT,62.88,63.19,61.57,62.09,32534
2023-04-04,JOUT,62.31,62.59,61.415,62.34,49928
2023-04-05,JOUT,62.31,62.46,60.3,60.64,36979
2023-04-06,JOUT,60.99,60.99,59.18,60.36,25267
