Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,JUGGW,0.1897,0.2,0.1592,0.16565,5568
2022-11-11,JUGGW,0.1875,0.1898,0.1719,0.1748,4869
2022-11-30,JUGGW,0.1495,0.1951,0.1212,0.1551,27903
2022-12-01,JUGGW,0.1298,0.1298,0.0801,0.083,21819
2022-12-02,JUGGW,0.1834,0.1836,0.0659,0.0937,31606
2022-12-05,JUGGW,0.1689,0.1865,0.1005,0.1005,43669
2022-12-06,JUGGW,0.1053,0.1053,0.0315,0.0701,18778
2022-12-07,JUGGW,0.0644,0.0821,0.0644,0.07,2190
2022-12-08,JUGGW,0.0448,0.0593,0.0321,0.0593,4227
2022-12-12,JUGGW,0.0651,0.0651,0.0651,0.0651,125
2022-12-16,JUGGW,0.066,0.066,0.06,0.06,23351
2022-12-19,JUGGW,0.0873,0.0933,0.0831,0.0882,2778
2022-12-28,JUGGW,0.07,0.07,0.06,0.06,225
2022-12-30,JUGGW,0.0564,0.0628,0.0564,0.0628,500
2023-01-03,JUGGW,0.0609,0.0727,0.0601,0.0711,3705
2023-01-04,JUGGW,0.07,0.0701,0.07,0.07,900
2023-01-06,JUGGW,0.075,0.075,0.075,0.075,800
2023-01-11,JUGGW,0.0901,0.0937,0.0901,0.0901,707
2023-01-12,JUGGW,0.0901,0.0901,0.0901,0.0901,148
2023-01-17,JUGGW,0.11,0.11,0.1,0.1,730
2023-01-18,JUGGW,0.1,0.1,0.1,0.1,289
2023-01-23,JUGGW,0.2,0.2,0.1,0.1,23154
2023-01-24,JUGGW,0.11,0.11,0.11,0.11,257
2023-01-30,JUGGW,0.19,0.19,0.15,0.15,1431
2023-02-01,JUGGW,0.15055,0.15055,0.15055,0.15055,132
2023-02-13,JUGGW,0.1506,0.1506,0.1506,0.1506,21624
2023-02-14,JUGGW,0.13,0.13,0.13,0.13,120
2023-02-24,JUGGW,0.13,0.13,0.13,0.13,100394
2023-03-02,JUGGW,0.175,0.175,0.175,0.175,200
2023-03-08,JUGGW,0.15,0.15,0.1499,0.1499,200
2023-03-15,JUGGW,0.14,0.14,0.14,0.14,125
2023-03-16,JUGGW,0.14,0.140101,0.14,0.140101,2000
2023-03-17,JUGGW,0.14,0.14,0.14,0.14,2768
2023-03-20,JUGGW,0.14,0.14,0.14,0.14,423
2023-03-21,JUGGW,0.14,0.14,0.14,0.14,5209
2023-03-22,JUGGW,0.14,0.14,0.14,0.14,1562
2023-03-23,JUGGW,0.14,0.14,0.14,0.14,3985
2023-03-24,JUGGW,0.141,0.141,0.14,0.14,725
2023-03-27,JUGGW,0.199,0.199,0.199,0.199,176
2023-03-28,JUGGW,0.17,0.17,0.1696,0.1696,524
2023-03-30,JUGGW,0.1498,0.1499,0.1498,0.1499,324
2023-04-03,JUGGW,0.1495,0.1495,0.1405,0.1405,2033
2023-04-06,JUGGW,0.1405,0.1405,0.14,0.14,9435
2023-04-10,JUGGW,0.1405,0.1405,0.1405,0.1405,3400
2023-04-11,JUGGW,0.1405,0.1405,0.1405,0.1405,6614
2023-04-12,JUGGW,0.1405,0.141,0.1401,0.1405,38746
2023-04-13,JUGGW,0.1405,0.1405,0.1405,0.1405,5487
2023-04-14,JUGGW,0.14,0.1405,0.12,0.14,180790
2023-04-17,JUGGW,0.1405,0.199,0.14,0.1405,44609
2023-04-24,JUGGW,0.1405,0.1405,0.1405,0.1405,27707
2023-04-25,JUGGW,0.1405,0.141,0.14,0.1405,48842
2023-04-27,JUGGW,0.14,0.14,0.14,0.14,250
2023-05-01,JUGGW,0.1786,0.1786,0.1405,0.1405,600
2023-05-02,JUGGW,0.14,0.141,0.14,0.14,106809
2023-05-08,JUGGW,0.1737,0.1737,0.1405,0.1405,1064
2023-05-17,JUGGW,0.1405,0.141,0.14,0.14,18775
2023-05-18,JUGGW,0.1405,0.25,0.1405,0.24,3250
2023-05-19,JUGGW,0.2736,0.36,0.1957,0.2779,7224
2023-05-22,JUGGW,0.244,0.3695,0.1687,0.1687,17871
2023-05-23,JUGGW,0.1717,0.1947,0.1405,0.1405,2486
2023-05-25,JUGGW,0.1412,0.1581,0.140201,0.140201,2214
2023-06-01,JUGGW,0.2716,0.2884,0.1407,0.174,7725
2023-06-02,JUGGW,0.1411,0.16,0.0516,0.0568,267263
2023-06-06,JUGGW,0.098,0.098,0.051,0.064,2859
2023-06-08,JUGGW,0.051,0.06,0.0301,0.0301,14567
2023-06-09,JUGGW,0.005,0.005,0.0005,0.001,72281
2023-06-12,JUGGW,0.0019,0.0049,0.0007,0.0007,11721
2023-06-14,JUGGW,0.0005,0.0033,0.0005,0.0029,45632
2023-06-15,JUGGW,0.0028,0.0028,0.0022,0.0023,600
2023-06-16,JUGGW,0.0016,0.0016,0.0014,0.0014,750
2023-06-20,JUGGW,0.0012,0.0012,0.001,0.001,401
2023-06-22,JUGGW,0.0007,0.0007,0.0003,0.0003,23600
