Date,Ticker,Open,High,Low,Close,Volume
2024-09-16,KAPA,4.0,4.0,2.21,2.6,529093.0
2024-09-17,KAPA,2.6,2.67,2.2,2.46,272532.0
2024-09-18,KAPA,2.5,2.6,2.04,2.3,126808.0
2024-09-19,KAPA,2.25,2.46,2.18,2.28,58503.0
2024-09-20,KAPA,2.35,2.3564,1.64,2.19,242302.0
2024-09-23,KAPA,2.28,2.28,1.91,2.0,110661.0
2024-09-24,KAPA,2.07,2.15,2.0001,2.01,2133660.0
2024-09-25,KAPA,2.1,2.1,1.68,1.86,550951.0
2024-09-26,KAPA,1.87,1.87,1.51,1.655,326032.0
2024-09-27,KAPA,1.5,1.69,1.5,1.54,95774.0
2024-09-30,KAPA,1.6,1.6001,1.5001,1.57,93073.0
2024-10-01,KAPA,1.52,1.58,1.22,1.36,90635.0
2024-10-02,KAPA,1.32,1.48,1.24,1.32,145822.0
2024-10-03,KAPA,1.26,1.36,1.25,1.36,11131.0
2024-10-04,KAPA,1.42,1.42,1.25,1.325,48304.0
2024-10-07,KAPA,1.32,1.37,1.24,1.29,14844.0
2024-10-08,KAPA,1.33,1.5,1.25,1.48,63692.0
2024-10-09,KAPA,1.4899,1.54,1.45,1.4769,38440.0
2024-10-10,KAPA,1.4,1.59,1.3608,1.47,69816.0
2024-10-11,KAPA,1.43,1.54,1.4,1.41,42074.0
2024-10-14,KAPA,1.53,1.64,1.48,1.52,96626.0
2024-10-15,KAPA,1.6,1.637,1.4401,1.55,53752.0
2024-10-16,KAPA,1.65,1.69,1.44,1.52,67711.0
2024-10-17,KAPA,1.49,1.5999,1.44,1.47,57070.0
2024-10-18,KAPA,1.49,1.5299,1.33,1.4801,26673.0
2024-10-21,KAPA,1.52,1.52,1.4502,1.5,47700.0
2024-10-22,KAPA,1.52,1.523,1.45,1.45,14094.0
2024-10-23,KAPA,1.46,1.48,1.31,1.407,19253.0
2024-10-24,KAPA,1.58,1.58,1.3476,1.5,33410.0
2024-10-25,KAPA,1.51,1.51,1.42,1.45,35346.0
2024-10-28,KAPA,1.43,1.51,1.3803,1.44,25995.0
2024-10-29,KAPA,1.43,1.51,1.3,1.34,76841.0
2024-10-30,KAPA,1.44,1.44,1.31,1.35,7075.0
2024-10-31,KAPA,1.39,1.51,1.28,1.31,38525.0
2024-11-01,KAPA,1.3169,1.34,1.3169,1.34,936.0
2024-11-04,KAPA,1.41,1.435,1.35,1.35,18279.0
2024-11-05,KAPA,1.388,1.4077,1.2501,1.34,26118.0
2024-11-06,KAPA,1.31,1.4199,1.31,1.34,13403.0
2024-11-07,KAPA,1.31,1.3925,1.3,1.37,5688.0
2024-11-08,KAPA,1.4,1.4,1.31,1.34,15764.0
