Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,KPRX,54.72,55.8,53.5329,54.81,3438.6667
2022-11-11,KPRX,54.54,60.75,53.6409,55.44,42021.3333
2022-11-14,KPRX,55.89,59.4,54.9909,56.61,13479.6667
2022-11-15,KPRX,55.719,58.77,55.08,55.62,11613.5556
2022-11-16,KPRX,55.8,56.25,52.65,53.1,6304.6667
2022-11-17,KPRX,58.86,67.41,53.37,53.73,376624.0
2022-11-18,KPRX,35.91,37.35,34.38,34.47,49493.4444
2022-11-21,KPRX,34.2,34.2036,28.8945,31.86,15511.1111
2022-11-22,KPRX,32.4,32.4,30.2031,30.69,18009.2222
2022-11-23,KPRX,30.51,34.9668,29.79,33.39,15315.4444
2022-11-25,KPRX,34.47,34.47,32.49,33.57,8445.2222
2022-11-28,KPRX,33.21,34.56,32.76,33.57,5288.3333
2022-11-29,KPRX,33.0111,34.2,31.9095,32.4,12626.7778
2022-11-30,KPRX,32.13,33.7176,30.7881,31.95,5460.7778
2022-12-01,KPRX,32.13,33.3,31.7367,33.12,4040.6667
2022-12-02,KPRX,32.58,34.245,32.2209,34.02,1402.3333
2022-12-05,KPRX,32.85,34.11,32.76,33.57,2602.5556
2022-12-06,KPRX,33.57,33.57,31.5,31.68,2379.2222
2022-12-07,KPRX,31.68,32.2623,31.14,31.95,1694.2222
2022-12-08,KPRX,31.86,31.86,30.51,31.23,992.3333
2022-12-09,KPRX,31.05,31.86,28.62,28.62,4787.3333
2022-12-12,KPRX,29.7,30.42,29.43,29.79,3235.4444
2022-12-13,KPRX,30.51,30.51,29.16,30.42,4787.2222
2022-12-14,KPRX,32.22,32.22,29.7009,29.79,993.7778
2022-12-15,KPRX,29.43,30.7791,29.43,30.51,1031.1111
2022-12-16,KPRX,30.15,30.5694,27.45,27.45,2495.3333
2022-12-19,KPRX,28.44,28.71,27.5193,27.9,1351.2222
2022-12-20,KPRX,27.9,27.9,24.57,25.2,5402.8889
2022-12-21,KPRX,25.65,26.145,24.1569,24.93,4259.6667
2022-12-22,KPRX,24.75,26.1837,22.5,22.77,6555.5556
2022-12-23,KPRX,27.36,27.36,21.78,22.05,3850.5556
2022-12-27,KPRX,22.86,22.86,21.78,22.05,2763.0
2022-12-28,KPRX,22.68,22.68,20.88,20.88,2659.8889
2022-12-29,KPRX,21.78,26.82,21.78,25.47,18135.3333
2022-12-30,KPRX,26.73,31.86,25.2,30.87,146120.2222
2023-01-03,KPRX,31.23,37.53,25.7355,30.51,240698.2222
2023-01-04,KPRX,30.96,39.06,29.43,36.045,291840.4444
2023-01-05,KPRX,37.35,44.91,36.45,41.49,235530.1111
2023-01-06,KPRX,35.91,37.71,32.49,33.3,56324.3333
