Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,KSS,28.55,29.67,28.5,29.37,5093422.0
2022-11-11,KSS,29.75,32.19,29.62,31.23,3946121.0
2022-11-14,KSS,31.08,32.0,30.68,31.45,3107163.0
2022-11-15,KSS,32.07,32.8,31.8,32.07,3228499.0
2022-11-16,KSS,30.0,30.4,29.085,29.8,6003658.0
2022-11-17,KSS,28.86,31.47,28.81,31.42,6524173.0
2022-11-18,KSS,32.0,32.3085,30.475,30.98,3175364.0
2022-11-21,KSS,30.8,31.04,30.01,30.93,3680290.0
2022-11-22,KSS,31.55,32.25,31.36,32.23,3477651.0
2022-11-23,KSS,31.78,32.6,31.33,32.5,2000691.0
2022-11-25,KSS,32.17,32.37,31.77,31.93,2513198.0
2022-11-28,KSS,31.65,31.97,31.08,31.31,3929471.0
2022-11-29,KSS,31.3,32.64,31.23,32.4,3356306.0
2022-11-30,KSS,32.55,32.55,31.27,32.08,3794115.0
2022-12-01,KSS,32.06,32.4,31.225,31.8,2516190.0
2022-12-02,KSS,31.6,31.645,30.96,31.52,7232931.0
2022-12-05,KSS,31.31,31.36,29.42,29.49,5501372.0
2022-12-06,KSS,29.125,29.17,27.64,28.43,4679296.0
2022-12-07,KSS,28.06,28.33,27.44,27.47,3023307.0
2022-12-08,KSS,27.58,27.7721,27.04,27.1,2785504.0
2022-12-09,KSS,26.83,27.07,26.405,26.43,2743899.0
2022-12-12,KSS,26.47,27.355,26.1639,27.23,3209655.0
2022-12-13,KSS,28.13,28.54,26.68,27.21,4232649.0
2022-12-14,KSS,27.2,27.775,27.07,27.38,2996260.0
2022-12-15,KSS,27.0,27.005,26.1943,26.62,2905704.0
2022-12-16,KSS,26.24,27.0,25.74,25.97,7185229.0
2022-12-19,KSS,26.11,26.2094,25.065,25.55,3121098.0
2022-12-20,KSS,25.44,25.7,24.805,24.9,2798907.0
2022-12-21,KSS,25.44,25.61,24.91,25.23,3535870.0
2022-12-22,KSS,24.79,24.88,23.375,24.06,3922180.0
2022-12-23,KSS,24.04,25.015,23.81,24.98,3265146.0
2022-12-27,KSS,24.9,25.395,24.5,25.1,2827568.0
2022-12-28,KSS,24.97,24.97,23.63,24.16,4066930.0
2022-12-29,KSS,24.31,25.22,24.3,25.08,2753404.0
2022-12-30,KSS,24.84,25.5266,24.8,25.25,3044579.0
2023-01-03,KSS,25.47,25.58,24.49,24.55,7429687.0
2023-01-04,KSS,24.88,26.27,24.51,26.07,4440807.0
2023-01-05,KSS,25.5,26.44,24.89,26.27,3396130.0
2023-01-06,KSS,26.46,27.26,26.42,27.24,6176336.0
2023-01-09,KSS,26.62,27.009,25.61,26.32,4996614.0
2023-01-10,KSS,26.56,27.03,26.29,26.94,3255379.0
2023-01-11,KSS,27.03,28.14,27.0,28.13,3270715.0
2023-01-12,KSS,28.5,28.65,27.525,28.4,3586454.0
2023-01-13,KSS,28.01,28.97,28.01,28.83,2257887.0
2023-01-17,KSS,28.57,30.15,28.44,30.05,3286532.0
2023-01-18,KSS,30.39,31.28,30.06,30.15,4309740.0
2023-01-19,KSS,29.62,30.475,29.02,30.23,3670064.0
2023-01-20,KSS,29.5001,31.18,29.5,30.76,4709442.0
2023-01-23,KSS,30.98,32.68,30.8371,32.67,3635708.0
2023-01-24,KSS,32.23,32.84,31.695,31.72,2635494.0
2023-01-25,KSS,31.71,31.88,30.565,31.77,3893522.0
2023-01-26,KSS,32.29,33.09,31.81,31.99,2469564.0
2023-01-27,KSS,32.08,32.43,31.41,31.49,3148039.0
2023-01-30,KSS,30.6,31.68,30.35,31.42,4072186.0
2023-01-31,KSS,31.53,32.37,31.455,32.37,3069395.0
2023-02-01,KSS,31.86,33.73,30.61,33.2,4304233.0
2023-02-02,KSS,33.55,34.58,33.02,34.07,3003476.0
2023-02-03,KSS,33.85,35.77,33.81,34.76,3910655.0
2023-02-06,KSS,34.35,34.75,33.38,34.39,3090393.0
2023-02-07,KSS,34.08,34.75,33.595,34.55,2672464.0
2023-02-08,KSS,34.21,34.35,32.98,33.14,2561821.0
2023-02-09,KSS,33.67,34.17,32.41,32.58,2980006.0
2023-02-10,KSS,32.29,32.85,31.81,31.98,2239429.0
2023-02-13,KSS,31.93,33.04,31.59,32.96,2293392.0
2023-02-14,KSS,32.84,33.6775,32.48,33.56,1922892.0
2023-02-15,KSS,33.33,33.765,32.87,33.45,1954629.0
2023-02-16,KSS,32.79,33.22,32.3,32.45,1776842.0
2023-02-17,KSS,32.38,32.48,31.88,32.43,2144990.0
2023-02-21,KSS,31.65,31.79,29.2,29.21,3767258.0
2023-02-22,KSS,29.48,29.99,29.18,29.68,2649781.0
2023-02-23,KSS,29.74,29.975,28.94,29.5,2199880.0
2023-02-24,KSS,28.86,29.355,28.24,29.22,2587727.0
2023-02-27,KSS,29.65,29.69,28.315,28.41,3580165.0
2023-02-28,KSS,28.5,28.7,27.99,28.04,5330685.0
2023-03-01,KSS,26.5,29.28,26.38,27.51,21875290.0
2023-03-02,KSS,27.5,28.84,27.36,27.85,6561129.0
2023-03-03,KSS,28.24,28.54,27.73,27.94,4028540.0
2023-03-06,KSS,28.115,28.35,27.21,27.32,4265275.0
2023-03-07,KSS,27.43,27.765,26.65,27.27,3547276.0
2023-03-08,KSS,27.48,27.52,26.54,27.05,3898553.0
2023-03-09,KSS,27.11,27.27,26.105,26.24,4425460.0
2023-03-10,KSS,26.0,26.02,24.615,24.83,5228114.0
2023-03-13,KSS,23.9,24.14,22.59,22.82,7557480.0
2023-03-14,KSS,23.2,23.39,21.925,22.29,7393796.0
