Date,Ticker,Open,High,Low,Close,Volume
2023-09-15,KVAC,10.2,10.2,10.14,10.14,252350.0
2023-09-18,KVAC,10.16,10.16,10.15,10.16,514229.0
2023-09-19,KVAC,10.16,10.195,10.16,10.16,26404.0
2023-09-20,KVAC,10.18,10.18,10.16,10.16,171031.0
2023-09-21,KVAC,10.17,10.17,10.15,10.17,28338.0
2023-09-22,KVAC,10.16,10.16,10.16,10.16,142064.0
2023-09-25,KVAC,10.16,10.16,10.16,10.16,4001.0
2023-09-26,KVAC,10.17,10.19,10.16,10.17,1111058.0
2023-09-27,KVAC,10.18,10.19,10.18,10.18,108778.0
2023-09-28,KVAC,10.19,10.19,10.17,10.19,332139.0
2023-09-29,KVAC,10.19,10.19,10.17,10.17,333889.0
2023-10-02,KVAC,10.18,10.19,10.18,10.18,7602.0
2023-10-03,KVAC,10.18,10.18,10.18,10.18,644.0
2023-10-04,KVAC,10.19,10.2,10.18,10.19,1285099.0
2023-10-05,KVAC,10.19,10.2,10.19,10.2,100719.0
2023-10-06,KVAC,10.2,10.35,10.195,10.35,13631.0
2023-10-09,KVAC,10.295,10.295,10.19,10.22,43531.0
2023-10-10,KVAC,10.19,10.22,10.19,10.21,180219.0
2023-10-11,KVAC,10.22,10.3,10.22,10.2301,28211.0
2023-10-12,KVAC,10.27,10.27,10.25,10.25,6785.0
2023-10-13,KVAC,10.25,10.25,10.22,10.22,1030.0
2023-10-16,KVAC,10.3,10.44,10.22,10.22,26476.0
2023-10-17,KVAC,10.6,10.985,10.22,10.22,23266.0
2023-10-18,KVAC,10.3,10.3639,10.22,10.22,3878.0
2023-10-20,KVAC,10.26,10.26,10.22,10.22,834.0
2023-10-23,KVAC,10.2304,10.2304,10.2304,10.2304,2762.0
2023-10-24,KVAC,10.22,10.265,10.22,10.265,2156.0
2023-10-25,KVAC,10.23,10.23,10.23,10.23,209.0
2023-10-26,KVAC,10.23,10.23,10.23,10.23,445.0
2023-10-27,KVAC,10.3157,10.3431,10.23,10.26,4144.0
2023-10-30,KVAC,10.24,10.25,10.23,10.245,44567.0
2023-10-31,KVAC,10.2496,10.25,10.24,10.25,66136.0
2023-11-01,KVAC,10.25,10.315,10.245,10.245,189875.0
2023-11-02,KVAC,10.25,10.26,10.24,10.255,79841.0
2023-11-03,KVAC,10.26,10.26,10.25,10.25,37437.0
2023-11-06,KVAC,10.26,10.265,10.26,10.26,51056.0
2023-11-07,KVAC,10.26,10.26,10.26,10.26,200.0
2023-11-08,KVAC,10.26,10.26,10.26,10.26,57502.0
2023-11-09,KVAC,10.26,10.27,10.26,10.27,2201.0
2023-11-15,KVAC,10.27,10.29,10.27,10.28,10924.0
2023-11-16,KVAC,10.2714,10.28,10.27,10.27,1005.0
2023-11-17,KVAC,10.28,10.29,10.28,10.29,30552.0
2023-11-21,KVAC,10.28,10.28,10.28,10.28,3347.0
2023-11-22,KVAC,10.28,10.285,10.28,10.285,6632.0
2023-11-28,KVAC,10.28,10.3,10.28,10.3,61665.0
2023-11-29,KVAC,10.3,10.305,10.3,10.305,44409.0
2023-11-30,KVAC,10.3,10.32,10.3,10.32,187192.0
2023-12-01,KVAC,10.31,10.32,10.31,10.32,643.0
2023-12-04,KVAC,10.3,10.32,10.3,10.31,24847.0
2023-12-05,KVAC,10.32,10.32,10.32,10.32,102.0
2023-12-06,KVAC,10.32,10.32,10.31,10.31,58661.0
2023-12-07,KVAC,10.31,10.32,10.31,10.32,335965.0
2023-12-08,KVAC,10.32,10.395,10.315,10.32,7532.0
2023-12-11,KVAC,10.32,10.32,10.32,10.32,5688.0
2023-12-12,KVAC,10.32,10.33,10.31,10.33,85130.0
2023-12-13,KVAC,10.32,10.32,10.315,10.32,16206.0
2023-12-14,KVAC,10.32,10.4,10.32,10.32,120278.0
2023-12-15,KVAC,10.32,10.325,10.315,10.32,87988.0
2023-12-18,KVAC,10.325,10.325,10.325,10.325,590.0
2023-12-19,KVAC,10.32,10.34,10.32,10.34,12113.0
2023-12-27,KVAC,10.33,10.42,10.33,10.34,8015.0
2023-12-28,KVAC,10.3448,10.345,10.3336,10.3336,20058.0
2024-01-02,KVAC,10.345,10.35,10.34,10.35,3146.0
2024-01-03,KVAC,10.35,10.35,10.35,10.35,10090.0
2024-01-04,KVAC,10.37,10.37,10.37,10.37,323.0
2024-01-05,KVAC,10.35,10.35,10.35,10.35,20036.0
2024-01-08,KVAC,10.36,10.365,10.36,10.36,55473.0
2024-01-09,KVAC,10.36,10.36,10.36,10.36,193.0
2024-01-10,KVAC,10.3627,10.3629,10.3627,10.3629,539.0
2024-01-16,KVAC,10.375,10.375,10.375,10.375,128.0
2024-01-17,KVAC,10.38,10.38,10.37,10.37,389.0
2024-01-18,KVAC,10.375,10.375,10.37,10.37,3893.0
2024-01-19,KVAC,10.3732,10.3732,10.3732,10.3732,750.0
2024-01-22,KVAC,10.375,10.375,10.37,10.375,11849.0
2024-01-23,KVAC,10.38,10.38,10.38,10.38,1671.0
2024-01-24,KVAC,10.38,10.38,10.37,10.38,909235.0
2024-01-25,KVAC,10.395,10.395,10.39,10.39,382121.0
2024-01-29,KVAC,10.39,10.395,10.39,10.395,20262.0
2024-01-30,KVAC,10.395,10.395,10.39,10.39,15019.0
2024-01-31,KVAC,10.39,10.39,10.39,10.39,2556.0
2024-02-01,KVAC,10.39,10.39,10.39,10.39,301000.0
2024-02-05,KVAC,10.395,10.4,10.3901,10.4,10775.0
2024-02-06,KVAC,10.4,10.41,10.39,10.4,6714.0
2024-02-07,KVAC,10.38,10.4,10.38,10.4,13691.0
2024-02-08,KVAC,10.39,10.39,10.37,10.37,385224.0
2024-02-09,KVAC,10.38,10.39,10.38,10.38,948766.0
