Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,KWR,185.66,195.855,185.19,193.91,85161
2022-11-11,KWR,196.67,206.59,196.59,203.26,73129
2022-11-14,KWR,200.36,205.85,197.5,200.47,83617
2022-11-15,KWR,201.89,205.625,188.05,189.32,119842
2022-11-16,KWR,189.55,190.85,183.12,190.41,55116
2022-11-17,KWR,186.31,191.91,181.43,191.58,64790
2022-11-18,KWR,195.79,195.79,186.31,188.41,63545
2022-11-21,KWR,185.96,188.775,184.81,186.14,77217
2022-11-22,KWR,189.09,193.23,185.8,193.15,71042
2022-11-23,KWR,192.04,194.76,188.8,192.0,62524
2022-11-25,KWR,193.78,194.51,191.13,192.39,28236
2022-11-28,KWR,191.65,191.65,185.33,186.51,78688
2022-11-29,KWR,188.91,190.55,185.43,189.29,69164
2022-11-30,KWR,187.31,196.79,184.26,196.79,90418
2022-12-01,KWR,198.05,201.19,190.97,191.41,77315
2022-12-02,KWR,186.72,197.29,186.72,193.42,68266
2022-12-05,KWR,189.72,191.8,181.395,183.78,88464
2022-12-06,KWR,185.12,185.12,179.58,180.96,84667
2022-12-07,KWR,179.02,185.87,178.28,180.3,60740
2022-12-08,KWR,180.54,184.67,179.75,180.72,60773
2022-12-09,KWR,179.73,181.86,175.23,175.8,55904
2022-12-12,KWR,176.46,178.0,174.055,177.53,64111
2022-12-13,KWR,185.0,185.0,175.15,177.88,110956
2022-12-14,KWR,177.38,181.57,172.86,175.01,97090
2022-12-15,KWR,172.61,173.61,168.9,170.05,99083
2022-12-16,KWR,166.92,169.74,164.9,165.64,346340
2022-12-19,KWR,167.04,167.04,161.69,164.22,116078
2022-12-20,KWR,164.8,168.82,164.06,165.74,77266
2022-12-21,KWR,168.94,171.67,166.66,170.53,73598
2022-12-22,KWR,170.0,170.22,160.59,164.0,80458
2022-12-23,KWR,162.53,165.96,162.46,165.31,65087
2022-12-27,KWR,165.02,167.14,162.93,166.33,65017
2022-12-28,KWR,167.64,170.12,159.88,161.29,66853
2022-12-29,KWR,164.29,169.8,164.29,167.61,99717
2022-12-30,KWR,164.76,168.04,163.8,166.9,53932
2023-01-03,KWR,168.73,170.31,161.13,163.66,111547
