Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,LANC,207.07,210.85,204.83,208.48,309712
2022-11-11,LANC,208.9,209.43,199.77,204.46,171002
2022-11-14,LANC,205.14,208.015,199.95,199.99,187926
2022-11-15,LANC,202.5,203.8,200.01,201.67,184360
2022-11-16,LANC,202.6,209.44,202.1312,208.72,139146
2022-11-17,LANC,207.84,209.03,205.78,207.39,118180
2022-11-18,LANC,209.92,210.685,203.84,204.97,251079
2022-11-21,LANC,205.16,209.7,205.16,209.06,102434
2022-11-22,LANC,209.17,209.86,203.27,205.17,152618
2022-11-23,LANC,204.99,207.815,202.84,203.58,592771
2022-11-25,LANC,204.5,207.15,201.95,205.32,74329
2022-11-28,LANC,204.59,206.53,203.305,204.49,118843
2022-11-29,LANC,203.56,204.565,202.32,203.43,99735
2022-11-30,LANC,203.89,207.6,201.63,207.14,177359
2022-12-01,LANC,207.35,207.35,201.53,204.33,137339
2022-12-02,LANC,203.53,205.365,200.704,203.49,123264
2022-12-05,LANC,202.0,203.78,198.86,203.77,130133
2022-12-06,LANC,202.62,203.97,200.01,202.97,145408
2022-12-07,LANC,203.9,207.04,200.9,202.12,159404
2022-12-08,LANC,203.1,204.6099,200.59,202.49,124311
2022-12-09,LANC,202.97,202.97,200.04,200.64,100136
2022-12-12,LANC,201.64,202.26,199.78,201.61,101553
2022-12-13,LANC,203.39,203.43,198.075,198.71,115143
2022-12-14,LANC,198.1,200.38,196.54,197.18,89280
2022-12-15,LANC,196.22,196.5,192.845,195.4,213033
2022-12-16,LANC,194.63,197.59,194.11,196.47,384700
2022-12-19,LANC,197.26,200.32,194.91,197.98,185679
2022-12-20,LANC,198.3,198.61,196.38,198.01,151168
2022-12-21,LANC,199.32,202.33,197.59,201.87,163361
2022-12-22,LANC,202.5,203.6,201.24,202.31,169333
2022-12-23,LANC,202.58,202.5875,198.2801,200.84,155499
2022-12-27,LANC,201.67,202.94,200.4,202.29,89995
2022-12-28,LANC,203.69,205.31,200.55,200.55,193579
2022-12-29,LANC,200.6,203.3,200.0,201.09,578348
2022-12-30,LANC,200.05,200.85,196.165,197.3,130401
2023-01-03,LANC,198.73,201.9,197.32,201.78,145172
2023-01-04,LANC,202.85,204.24,200.75,201.46,93735
2023-01-05,LANC,200.64,201.63,198.38,200.02,94537
2023-01-06,LANC,201.96,202.355,199.55,201.54,113615
2023-01-09,LANC,201.07,203.0,198.31,198.31,87114
2023-01-10,LANC,198.79,199.73,198.09,198.31,87672
2023-01-11,LANC,197.35,199.43,196.89,197.05,147359
2023-01-12,LANC,197.13,198.87,194.995,195.86,122558
2023-01-13,LANC,195.8,199.28,195.13,198.46,68800
2023-01-17,LANC,198.06,200.41,197.1,197.31,96496
2023-01-18,LANC,197.01,197.01,190.28,192.87,162892
2023-01-19,LANC,193.2,194.3561,190.65,192.0,221776
2023-01-20,LANC,193.23,194.24,190.925,192.59,164241
2023-01-23,LANC,191.8,193.985,190.12,190.8,154746
2023-01-24,LANC,191.1,194.82,189.12,191.59,129468
2023-01-25,LANC,191.19,196.41,191.1,196.08,155322
2023-01-26,LANC,195.75,195.92,193.25,193.98,77786
2023-01-27,LANC,193.61,193.92,189.81,191.34,91302
2023-01-30,LANC,191.34,193.92,190.165,190.66,149736
2023-01-31,LANC,190.66,193.21,187.655,191.91,541158
2023-02-01,LANC,191.73,195.22,190.0,193.35,148093
2023-02-02,LANC,190.97,191.3,172.55,186.22,448403
2023-02-03,LANC,186.22,188.665,184.89,186.28,157393
2023-02-06,LANC,185.18,186.755,184.59,186.44,190140
2023-02-07,LANC,184.23,185.5419,181.41,184.7,164940
2023-02-08,LANC,184.59,187.04,184.19,186.68,131075
2023-02-09,LANC,187.54,188.8,185.87,187.15,117421
2023-02-10,LANC,186.78,191.02,186.78,189.75,110860
2023-02-13,LANC,190.25,193.64,190.25,193.26,146257
2023-02-14,LANC,192.95,193.76,192.27,193.04,137046
2023-02-15,LANC,192.96,194.165,192.71,193.39,134511
2023-02-16,LANC,192.86,196.82,192.77,194.16,130655
2023-02-17,LANC,195.16,197.15,194.49,196.4,104057
2023-02-21,LANC,194.86,195.83,192.501,194.33,147964
2023-02-22,LANC,195.33,196.96,194.335,196.34,147187
2023-02-23,LANC,195.85,198.0,193.01,193.95,118275
2023-02-24,LANC,192.32,194.96,192.18,192.42,100329
2023-02-27,LANC,192.58,194.72,192.57,193.61,127048
2023-02-28,LANC,192.7,195.33,191.81,191.98,204497
2023-03-01,LANC,191.12,191.46,187.2,188.32,136070
2023-03-02,LANC,187.85,190.44,187.85,189.67,92144
2023-03-03,LANC,189.1,190.9732,186.95,190.08,75798
2023-03-06,LANC,190.18,190.55,188.25,190.5,132066
2023-03-07,LANC,190.5,190.65,188.775,190.2,88561
2023-03-08,LANC,189.24,192.27,187.57,189.07,82957
2023-03-09,LANC,189.05,190.925,187.82,188.78,117635
2023-03-10,LANC,188.32,189.7,186.12,186.59,116880
2023-03-13,LANC,186.12,190.87,186.0,190.48,141097
2023-03-14,LANC,192.94,197.87,192.0,197.64,168418
2023-03-15,LANC,195.79,197.115,192.79,195.41,140164
2023-03-16,LANC,194.44,198.995,194.44,198.31,159459
2023-03-17,LANC,198.14,199.51,194.57,198.15,377433
2023-03-20,LANC,198.5,201.29,198.5,200.68,145334
2023-03-21,LANC,201.0,202.08,199.4,202.06,134277
2023-03-22,LANC,201.18,203.0,200.92,202.0,168747
2023-03-23,LANC,201.22,204.85,201.22,204.5,163385
2023-03-24,LANC,204.58,209.27,204.58,207.82,184097
2023-03-27,LANC,208.21,209.135,198.66,200.28,234686
2023-03-28,LANC,198.65,200.72,193.6,199.63,293051
2023-03-29,LANC,200.33,200.94,197.78,199.27,661578
2023-03-30,LANC,200.06,200.87,198.95,200.86,144624
2023-03-31,LANC,202.22,204.08,200.995,202.88,150831
