Date,Ticker,Open,High,Low,Close,Volume
2022-11-16,LBTYB,20.99,20.99,19.83,19.83,393
2022-11-21,LBTYB,19.95,19.95,19.57,19.57,497
2022-11-22,LBTYB,19.6,19.6,19.6,19.6,335
2022-12-06,LBTYB,19.03,19.03,19.01,19.01,1202
2022-12-07,LBTYB,19.6531,19.6531,19.6531,19.6531,141
2022-12-15,LBTYB,19.0,19.0,19.0,19.0,371
2023-01-04,LBTYB,21.0,21.0,20.781,20.781,451
2023-01-12,LBTYB,22.2044,22.2044,22.2044,22.2044,110
2023-01-18,LBTYB,21.212,21.212,21.212,21.212,279
2023-01-26,LBTYB,21.4301,21.4301,21.4301,21.4301,209
2023-02-02,LBTYB,21.8,21.9,21.8,21.9,552
2023-02-24,LBTYB,21.14,21.46,21.13,21.46,616
2023-03-14,LBTYB,18.61,19.4,18.2,18.5,5513
2023-03-15,LBTYB,18.39,18.45,18.34,18.39,13987
2023-03-21,LBTYB,19.95,19.95,19.7537,19.763,10117
2023-03-27,LBTYB,18.75,18.75,18.75,18.75,192
2023-03-28,LBTYB,19.87,19.87,19.87,19.87,1467
2023-03-30,LBTYB,19.18,19.22,19.18,19.22,232
2023-03-31,LBTYB,19.34,19.34,19.34,19.34,387
2023-04-03,LBTYB,19.84,19.84,19.84,19.84,168
2023-04-21,LBTYB,19.25,19.25,19.25,19.25,102
2023-04-27,LBTYB,19.25,19.25,19.25,19.25,1028
2023-05-23,LBTYB,17.2,17.2,17.13,17.13,3351
2023-05-24,LBTYB,17.49,17.8957,17.0,17.0,1019
2023-06-05,LBTYB,16.3,16.3001,16.3,16.3001,442
2023-06-15,LBTYB,17.8094,17.8094,17.41,17.41,227
2023-06-16,LBTYB,18.25,18.25,16.62,16.62,1424
2023-07-07,LBTYB,17.79,17.79,17.79,17.79,121
2023-07-11,LBTYB,18.42,18.43,17.8,17.827,3422
2023-07-12,LBTYB,17.93,17.93,17.93,17.93,220
2023-07-18,LBTYB,18.54,18.54,18.54,18.54,122
2023-07-24,LBTYB,19.74,19.75,19.74,19.7499,1798
2023-07-25,LBTYB,18.6981,18.6981,18.6981,18.6981,1137
2023-07-26,LBTYB,17.99,18.0,17.98,18.0,402
2023-07-31,LBTYB,19.48,19.48,19.08,19.08,1006
2023-08-01,LBTYB,18.6832,18.6832,18.48,18.48,319
2023-08-03,LBTYB,18.8311,18.85,18.8311,18.85,600
2023-08-11,LBTYB,18.54,18.54,18.54,18.54,114
2023-08-14,LBTYB,18.6159,18.6159,18.42,18.48,1176
2023-08-23,LBTYB,17.84,17.84,17.84,17.84,113
2023-08-24,LBTYB,17.57,17.57,17.57,17.57,174
2023-08-25,LBTYB,17.42,17.42,17.42,17.42,107
2023-08-28,LBTYB,17.98,17.98,17.98,17.98,111
2023-09-11,LBTYB,17.8,17.8,17.8,17.8,204
2023-09-12,LBTYB,18.1,18.1,18.1,18.1,170
2023-09-13,LBTYB,18.2,18.25,18.2,18.25,306
2023-09-14,LBTYB,18.3,18.3,18.3,18.3,119
2023-09-15,LBTYB,18.27,18.27,18.27,18.27,297
2023-09-18,LBTYB,18.8,18.8,18.8,18.8,438
2023-09-21,LBTYB,18.79,18.79,18.7,18.74,899
2023-09-25,LBTYB,17.56,17.6,17.4999,17.4999,1545
2023-09-26,LBTYB,18.084,18.084,16.86,16.86,533
2023-09-27,LBTYB,17.82,17.82,17.82,17.82,1116
2023-09-28,LBTYB,17.9228,18.0,17.27,17.9,1779
2023-09-29,LBTYB,17.745,17.745,17.16,17.16,1128
2023-10-02,LBTYB,16.6301,16.6301,16.6301,16.6301,289
2023-10-05,LBTYB,16.24,16.24,16.24,16.24,371
2023-10-11,LBTYB,17.2326,17.2326,16.6,16.6,483
2023-10-12,LBTYB,17.45,17.45,17.15,17.15,900
2023-10-13,LBTYB,16.35,16.37,16.3,16.37,2178
2023-10-16,LBTYB,16.81,18.44,16.81,16.84,2324
2023-10-17,LBTYB,16.98,16.98,16.98,16.98,952
2023-10-18,LBTYB,17.31,17.31,16.66,16.68,1489
2023-10-19,LBTYB,16.5,17.0,16.5,17.0,1425
2023-10-20,LBTYB,17.2,17.4899,17.2,17.4899,696
2023-10-24,LBTYB,16.9,17.57,15.87,16.351,2769
2023-10-25,LBTYB,16.1128,16.1128,16.05,16.05,519
2023-10-26,LBTYB,16.05,16.98,15.9,16.35,1583
2023-10-27,LBTYB,16.82,16.82,16.0,16.0,367
2023-10-30,LBTYB,15.47,16.23,15.47,16.0,806
2023-11-01,LBTYB,15.65,15.65,15.61,15.61,221
2023-11-03,LBTYB,17.52,17.76,16.05,17.55,3434
2023-11-09,LBTYB,16.78,17.76,16.78,16.78,968
2023-11-13,LBTYB,16.4,16.4,16.4,16.4,354
2023-11-16,LBTYB,16.37,16.37,16.12,16.12,588
2023-11-17,LBTYB,16.2501,16.2501,16.2501,16.2501,325
2023-11-20,LBTYB,16.46,16.745,16.46,16.745,673
2023-11-22,LBTYB,15.85,15.85,15.85,15.85,251
2023-11-27,LBTYB,15.72,15.72,15.72,15.72,344
2023-11-29,LBTYB,16.73,16.94,16.7,16.79,3936
2023-12-01,LBTYB,17.48,17.48,17.43,17.43,282
2023-12-04,LBTYB,16.56,16.56,16.56,16.56,656
2023-12-06,LBTYB,16.3,16.8,16.29,16.29,1677
2023-12-07,LBTYB,16.23,16.27,16.2,16.2,759
2023-12-11,LBTYB,16.05,16.05,16.05,16.05,571
2023-12-13,LBTYB,15.8,16.81,15.8,16.2,1132
2023-12-14,LBTYB,16.41,16.41,16.41,16.41,218
2023-12-15,LBTYB,16.0,16.5,15.95,15.95,494
2023-12-18,LBTYB,15.74,15.77,15.7,15.72,777
2023-12-19,LBTYB,16.1595,16.1595,16.1595,16.1595,318
2023-12-20,LBTYB,16.6,16.6,16.45,16.45,501
2023-12-21,LBTYB,17.3052,17.3052,17.3052,17.3052,446
2023-12-28,LBTYB,17.5701,17.5701,17.5701,17.5701,220
2023-12-29,LBTYB,17.8,17.81,17.8,17.81,889
2024-01-08,LBTYB,17.8674,17.9,17.8674,17.9,854
2024-01-17,LBTYB,18.68,18.82,18.68,18.82,1446
2024-01-23,LBTYB,20.9399,20.9399,20.9399,20.9399,353
2024-01-26,LBTYB,20.75,21.0,20.75,21.0,313
2024-01-29,LBTYB,20.73,21.7699,20.2701,20.2701,687
2024-02-05,LBTYB,20.06,20.09,20.06,20.08,2148
2024-02-06,LBTYB,19.99,20.0,19.99,20.0,4024
2024-02-07,LBTYB,20.0,20.0,20.0,20.0,5466
2024-02-08,LBTYB,19.25,20.1,19.25,20.1,1197
2024-02-09,LBTYB,20.2,20.2,20.2,20.2,204
2024-02-12,LBTYB,19.8233,19.8233,19.8233,19.8233,642
2024-02-14,LBTYB,19.85,19.85,19.85,19.85,113
2024-02-15,LBTYB,19.37,19.3701,19.37,19.3701,643
2024-02-16,LBTYB,18.66,18.66,18.66,18.66,232
2024-02-20,LBTYB,18.6,18.87,18.6,18.87,799
2024-02-22,LBTYB,17.63,17.66,17.63,17.65,928
2024-02-27,LBTYB,18.1001,18.1001,18.1001,18.1001,126
2024-02-28,LBTYB,17.7001,17.7001,17.7001,17.7001,297
2024-03-04,LBTYB,17.51,17.51,17.51,17.51,505
2024-03-07,LBTYB,17.0701,17.15,17.0701,17.15,514
2024-03-08,LBTYB,17.45,17.45,17.45,17.45,170
2024-03-11,LBTYB,17.66,17.75,17.66,17.74,1345
2024-03-13,LBTYB,17.39,17.5486,17.21,17.21,14270
2024-03-14,LBTYB,17.08,18.0,17.08,18.0,2388
2024-03-19,LBTYB,17.69,17.69,16.99,16.99,409
2024-03-26,LBTYB,16.76,16.76,16.76,16.76,109
2024-03-27,LBTYB,17.05,17.05,17.05,17.05,233
2024-03-28,LBTYB,16.97,16.97,16.87,16.95,3996
2024-04-01,LBTYB,17.5212,17.5212,17.5212,17.5212,338
2024-04-02,LBTYB,16.5,17.16,16.5,17.16,547
2024-04-08,LBTYB,17.13,17.13,17.13,17.13,177
2024-04-09,LBTYB,17.32,17.32,17.25,17.25,385
2024-04-10,LBTYB,17.13,17.13,17.13,17.13,146
2024-04-16,LBTYB,16.94,16.94,16.94,16.94,375
2024-04-17,LBTYB,16.4,16.5102,16.09,16.18,4705
2024-04-18,LBTYB,16.48,16.48,16.48,16.48,369
2024-04-19,LBTYB,16.33,16.33,16.33,16.33,357
2024-04-29,LBTYB,16.25,16.25,16.25,16.25,36502
2024-04-30,LBTYB,16.4,16.48,16.01,16.03,1951
2024-05-01,LBTYB,16.29,16.29,16.29,16.29,8695
2024-05-06,LBTYB,17.49,17.5,17.36,17.5,1257
2024-05-07,LBTYB,17.4,17.66,17.39,17.66,18383
2024-05-08,LBTYB,18.01,18.01,16.8775,16.8775,19845
2024-05-09,LBTYB,17.23,17.23,16.5,17.2,2521
2024-05-10,LBTYB,18.19,18.19,16.67,16.7,8512
2024-05-16,LBTYB,17.17,17.17,17.17,17.17,425
2024-05-17,LBTYB,17.32,17.8732,17.32,17.8732,735
2024-05-23,LBTYB,16.64,16.88,16.64,16.88,977
2024-05-24,LBTYB,16.85,16.9,16.85,16.9,481
2024-05-28,LBTYB,18.1226,18.1226,18.1226,18.1226,223
2024-05-29,LBTYB,16.34,16.8441,16.34,16.8441,1372
2024-05-30,LBTYB,16.85,16.85,16.12,16.1401,2799
2024-05-31,LBTYB,16.61,16.61,16.61,16.61,233
2024-06-03,LBTYB,16.5,16.5,16.36,16.5,1385
2024-06-04,LBTYB,16.7,17.745,16.7,17.745,1810
2024-06-05,LBTYB,18.07,18.07,17.765,18.0,1094
2024-06-06,LBTYB,18.56,18.56,18.56,18.56,121
2024-06-07,LBTYB,18.6,18.6,18.6,18.6,122
2024-06-11,LBTYB,18.1,18.1,18.1,18.1,207
2024-06-17,LBTYB,17.5,17.5,17.5,17.5,286
2024-06-18,LBTYB,17.18,17.18,17.18,17.18,231
2024-06-21,LBTYB,17.685,18.09,17.2,17.2,1183
2024-07-01,LBTYB,17.58,17.58,17.58,17.58,181
2024-07-02,LBTYB,17.77,17.77,17.77,17.77,158
2024-07-05,LBTYB,17.63,17.63,17.63,17.63,353
2024-07-09,LBTYB,18.15,18.15,18.15,18.15,152
2024-07-10,LBTYB,18.18,18.22,18.17,18.22,1312
2024-07-15,LBTYB,18.99,18.99,18.99,18.99,563
2024-07-18,LBTYB,19.4,19.4,18.87,18.87,1327
2024-07-19,LBTYB,19.5,19.5,19.5,19.5,140
2024-07-24,LBTYB,18.83,18.83,18.83,18.83,1023
2024-07-29,LBTYB,19.21,19.21,19.21,19.21,157
2024-07-30,LBTYB,19.76,19.76,19.76,19.76,218
2024-07-31,LBTYB,20.02,20.02,20.02,20.02,122
2024-08-09,LBTYB,18.92,18.92,18.92,18.92,110
2024-08-13,LBTYB,18.94,18.94,18.94,18.94,133
2024-08-14,LBTYB,19.0,19.0,19.0,19.0,273
2024-08-20,LBTYB,18.76,18.76,18.68,18.68,2707
2024-08-23,LBTYB,19.79,19.79,19.79,19.79,305
2024-08-28,LBTYB,19.27,19.27,19.27,19.27,121
2024-08-29,LBTYB,19.14,19.14,19.14,19.14,106
2024-09-03,LBTYB,19.24,19.24,19.24,19.24,529
2024-09-06,LBTYB,20.41,20.41,19.76,19.76,672
2024-09-09,LBTYB,19.78,19.91,19.78,19.91,1010
2024-09-10,LBTYB,19.51,19.7,19.48,19.7,1746
2024-09-11,LBTYB,19.5,19.5,19.2,19.2,1200
2024-09-12,LBTYB,19.46,19.46,19.42,19.44,1252
2024-09-13,LBTYB,19.67,19.67,19.67,19.67,535
2024-09-16,LBTYB,19.97,19.97,19.97,19.97,832
2024-09-17,LBTYB,20.12,20.12,20.12,20.12,893
2024-09-18,LBTYB,20.24,20.24,20.23,20.23,734
2024-09-19,LBTYB,20.28,20.28,20.28,20.28,1030
2024-09-20,LBTYB,20.77,21.3,20.33,21.3,22905
2024-09-26,LBTYB,21.9,21.9,21.9,21.9,303
2024-09-30,LBTYB,20.85,20.85,20.85,20.85,117
2024-10-01,LBTYB,20.9,20.9,20.9,20.9,261
2024-10-04,LBTYB,20.71,20.71,20.71,20.71,327
2024-10-07,LBTYB,20.3,20.3,20.3,20.3,189
2024-10-15,LBTYB,21.3,21.3,21.3,21.3,290
2024-10-16,LBTYB,21.71,21.71,21.6,21.6,2529
2024-10-23,LBTYB,21.05,21.05,21.05,21.05,244
2024-10-24,LBTYB,20.75,20.75,20.565,20.6,1432
2024-10-30,LBTYB,20.5,20.63,20.45,20.55,3075
2024-10-31,LBTYB,19.75,19.75,19.73,19.75,11308
2024-11-04,LBTYB,20.49,20.69,20.49,20.69,447
2024-11-05,LBTYB,20.4,20.476,20.18,20.25,2643
2024-11-06,LBTYB,20.575,20.575,19.9924,19.9924,505
2024-11-08,LBTYB,19.71,19.71,19.71,19.71,420
