Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,LEG,35.17,36.23,35.17,35.6,738092.0
2022-11-11,LEG,35.7,36.455,35.66,36.36,720964.0
2022-11-14,LEG,35.9,36.115,35.07,35.07,910212.0
2022-11-15,LEG,35.64,36.26,35.46,36.0,904993.0
2022-11-16,LEG,35.67,35.725,34.17,34.63,1057373.0
2022-11-17,LEG,34.06,34.45,33.59,34.45,644723.0
2022-11-18,LEG,34.89,35.1061,34.38,34.71,564124.0
2022-11-21,LEG,34.55,34.97,34.39,34.9,632435.0
2022-11-22,LEG,35.16,35.87,35.16,35.67,815739.0
2022-11-23,LEG,35.54,35.9,35.54,35.65,389438.0
2022-11-25,LEG,35.7,36.08,35.51,35.77,208544.0
2022-11-28,LEG,35.44,35.83,34.96,35.11,371168.0
2022-11-29,LEG,35.0,35.24,34.9,35.18,318730.0
2022-11-30,LEG,35.15,35.62,34.5701,35.61,826809.0
2022-12-01,LEG,35.75,36.4,35.5403,35.74,702888.0
2022-12-02,LEG,35.27,35.55,35.08,35.31,622079.0
2022-12-05,LEG,35.06,35.255,34.58,34.92,685398.0
2022-12-06,LEG,34.83,35.15,34.48,35.02,883042.0
2022-12-07,LEG,34.84,35.11,34.5702,34.72,626970.0
2022-12-08,LEG,34.71,35.34,34.66,35.24,544669.0
2022-12-09,LEG,35.03,35.58,34.91,35.21,709485.0
2022-12-12,LEG,33.68,33.98,32.5,33.54,1893878.0
2022-12-13,LEG,34.56,34.91,33.625,33.74,1563936.0
2022-12-14,LEG,33.35,33.52,32.91,33.14,949855.0
2022-12-15,LEG,32.53,32.7589,32.28,32.37,1060708.0
2022-12-16,LEG,32.0,32.3,31.72,32.12,1998196.0
2022-12-19,LEG,32.15,32.52,31.59,31.74,962078.0
2022-12-20,LEG,31.56,31.91,31.28,31.59,785480.0
2022-12-21,LEG,31.98,32.32,31.98,32.06,650144.0
2022-12-22,LEG,31.96,31.96,31.35,31.92,586914.0
2022-12-23,LEG,31.96,32.34,31.7,32.34,588652.0
2022-12-27,LEG,32.26,32.57,32.2,32.5,553025.0
2022-12-28,LEG,32.58,32.7,31.895,31.97,623259.0
2022-12-29,LEG,32.17,32.48,32.06,32.26,724820.0
2022-12-30,LEG,32.04,32.38,31.901,32.23,830377.0
2023-01-03,LEG,32.54,32.87,32.15,32.63,1049548.0
2023-01-04,LEG,32.94,33.77,32.85,33.59,795414.0
2023-01-05,LEG,33.29,33.625,32.955,33.47,792743.0
2023-01-06,LEG,33.73,34.0,33.555,33.82,807813.0
2023-01-09,LEG,33.91,34.42,33.61,33.99,934438.0
2023-01-10,LEG,34.0,34.4,33.82,34.35,586031.0
2023-01-11,LEG,34.47,35.14,34.45,35.12,1009628.0
2023-01-12,LEG,35.33,35.51,34.99,35.49,669008.0
2023-01-13,LEG,35.17,35.56,35.17,35.35,788207.0
2023-01-17,LEG,35.18,35.32,34.69,34.88,901746.0
2023-01-18,LEG,35.0,35.31,34.13,34.15,843636.0
2023-01-19,LEG,34.0,34.18,33.355,33.46,622007.0
2023-01-20,LEG,33.48,34.03,33.26,34.03,863524.0
2023-01-23,LEG,34.11,34.935,33.98,34.9,716920.0
2023-01-24,LEG,34.9,35.0,34.44,34.61,796426.0
2023-01-25,LEG,34.14,35.0,34.0448,34.99,858704.0
2023-01-26,LEG,35.0,35.38,34.79,35.32,676500.0
2023-01-27,LEG,35.19,35.895,35.0,35.72,557802.0
2023-01-30,LEG,35.47,35.89,35.4,35.41,787761.0
2023-01-31,LEG,35.66,36.76,35.45,36.56,2891723.0
2023-02-01,LEG,36.53,37.61,36.44,37.43,993990.0
2023-02-02,LEG,37.65,38.55,37.57,38.04,940378.0
2023-02-03,LEG,37.66,37.88,37.13,37.23,967381.0
2023-02-06,LEG,36.9,36.95,35.92,35.97,1061889.0
2023-02-07,LEG,34.19,35.2303,33.98,34.81,1777297.0
2023-02-08,LEG,34.32,34.83,34.05,34.6,1243854.0
2023-02-09,LEG,34.91,35.15,33.745,33.98,1544413.0
2023-02-10,LEG,33.93,34.18,33.78,33.88,571725.0
2023-02-13,LEG,33.9,34.52,33.77,34.49,761540.0
2023-02-14,LEG,34.4,34.64,34.06,34.38,591656.0
2023-02-15,LEG,34.14,34.74,33.99,34.61,705400.0
2023-02-16,LEG,34.08,35.1,34.02,34.75,740490.0
2023-02-17,LEG,34.55,34.73,34.23,34.62,654586.0
2023-02-21,LEG,34.03,34.29,33.485,33.53,909586.0
2023-02-22,LEG,33.76,34.36,33.6378,34.02,909545.0
2023-02-23,LEG,34.29,34.6988,34.23,34.62,734025.0
2023-02-24,LEG,34.2,34.47,33.84,34.34,656445.0
2023-02-27,LEG,34.61,34.94,34.36,34.5,844836.0
2023-02-28,LEG,34.43,34.9,34.29,34.49,1380373.0
2023-03-01,LEG,34.37,34.575,34.17,34.4,739147.0
2023-03-02,LEG,34.12,34.435,33.94,34.42,654620.0
2023-03-03,LEG,34.65,34.805,34.4,34.76,699879.0
2023-03-06,LEG,34.75,34.79,33.455,33.66,1298596.0
2023-03-07,LEG,33.7,33.81,33.16,33.18,667526.0
2023-03-08,LEG,33.13,33.46,32.95,33.22,728892.0
2023-03-09,LEG,33.2,33.36,32.44,32.45,825600.0
2023-03-10,LEG,32.36,32.36,31.57,31.78,1018977.0
