Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,LIDR,23.781,24.3,22.824,23.559,23572.8667
2022-11-11,LIDR,24.0,24.9,23.403,23.826,26277.7
2022-11-14,LIDR,24.3,26.7,23.7,25.773,36181.2667
2022-11-15,LIDR,25.8,33.0,25.8,28.8,69984.2
2022-11-16,LIDR,29.187,29.583,25.749,26.19,37719.5
2022-11-17,LIDR,25.2,26.397,24.9,25.461,16783.2
2022-11-18,LIDR,26.4,28.2,25.2,25.536,24700.7333
2022-11-21,LIDR,24.9,25.5,20.1,22.584,43855.2
2022-11-22,LIDR,23.187,23.4,21.66,23.103,13740.1
2022-11-23,LIDR,23.502,25.455,22.5,24.996,11970.3333
2022-11-25,LIDR,25.062,39.0,25.062,37.5,476180.0333
2022-11-28,LIDR,33.6,34.8,33.0,34.2,76023.5
2022-11-29,LIDR,33.0,33.0,26.223,27.318,57199.6
2022-11-30,LIDR,27.978,29.25,25.74,26.7,90399.2
2022-12-01,LIDR,27.459,29.7541,27.21,27.336,26263.9
2022-12-02,LIDR,26.796,33.3,26.7,32.7,41332.9
2022-12-05,LIDR,33.0,33.9,30.6,31.2,30860.3333
2022-12-06,LIDR,30.6,31.2,27.726,28.281,20407.0
2022-12-07,LIDR,28.5,30.3,27.375,27.408,22244.9333
2022-12-08,LIDR,28.752,28.752,26.235,27.0,22461.7333
2022-12-09,LIDR,27.3,30.9,26.4,28.044,15052.3667
2022-12-12,LIDR,27.0,28.434,26.4,26.664,17449.9333
2022-12-13,LIDR,28.8,28.8705,25.2,25.503,22062.6
2022-12-14,LIDR,25.995,27.033,24.342,24.855,20451.8333
2022-12-15,LIDR,24.201,25.698,22.35,23.784,28948.8667
2022-12-16,LIDR,23.7,25.104,22.995,23.703,192978.6667
2022-12-19,LIDR,24.168,24.888,20.6775,20.7,23246.1667
2022-12-20,LIDR,20.7,21.645,19.611,20.31,15808.8333
2022-12-21,LIDR,20.505,20.505,13.8,16.863,100691.4667
