Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,LIONU,10.16,10.16,10.16,10.16,100
2022-11-14,LIONU,10.13,10.13,10.13,10.13,360
2022-11-16,LIONU,10.13,10.13,10.13,10.13,640
2023-01-09,LIONU,10.6,10.6,10.14,10.14,504
2023-01-12,LIONU,10.26,10.26,10.26,10.26,150
2023-01-20,LIONU,10.25,10.3,10.2,10.3,2390
2023-01-23,LIONU,10.2,10.27,10.2,10.27,1350
2023-01-25,LIONU,10.0,10.0,9.99,9.99,302
2023-01-26,LIONU,10.0,10.0,10.0,10.0,200
2023-01-27,LIONU,10.0,10.0,10.0,10.0,210
2023-01-30,LIONU,11.0,11.0,10.35,10.35,669
2023-01-31,LIONU,10.7,10.99,10.3,10.49,4155
2023-02-01,LIONU,11.7,13.54,10.59,11.1,3572
2023-02-02,LIONU,10.03,10.03,8.99,9.28,800
2023-02-03,LIONU,9.2,9.2,9.2,9.2,360
2023-02-07,LIONU,8.31,8.31,8.31,8.31,103
2023-02-10,LIONU,7.9,7.9,7.9,7.9,2761
2023-02-13,LIONU,7.6,7.6,7.49,7.53,1085
2023-02-14,LIONU,7.03,7.36,6.91,6.91,1569
2023-02-15,LIONU,6.9,7.19,6.9,7.19,794
2023-02-16,LIONU,6.34,7.6,6.33,7.0,3891
2023-02-23,LIONU,8.24,11.88,8.24,8.88,3363
2023-02-27,LIONU,8.04,9.24,8.04,8.39,12093
2023-02-28,LIONU,8.3,13.01,7.99,13.01,8156
2023-03-01,LIONU,18.0,18.0,8.38,12.5,43481
2023-03-02,LIONU,9.55,10.5,9.55,10.34,1285
2023-03-03,LIONU,8.78,9.92,8.44,9.0,2358
2023-03-06,LIONU,8.2,10.03,8.2,9.78,4120
2023-03-07,LIONU,8.82,8.84,7.0,7.05,3562
