Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,LIXT,5.0,5.4,4.6,5.189,2158.1
2022-11-11,LIXT,4.8,5.2,4.8,5.0,2610.4
2022-11-14,LIXT,5.05,6.149,5.0,5.6,16896.8
2022-11-15,LIXT,5.6,6.0,5.328,5.507,1465.5
2022-11-16,LIXT,5.955,5.992,5.25,5.4,1293.0
2022-11-17,LIXT,5.4,5.67,5.3,5.4,1610.4
2022-11-18,LIXT,5.501,5.8,5.4,5.8,3455.4
2022-11-21,LIXT,5.7,6.05,5.6,5.601,5719.5
2022-11-22,LIXT,5.6,5.858,5.31,5.726,3754.1
2022-11-23,LIXT,5.8,6.0,5.6,5.704,1519.6
2022-11-25,LIXT,5.6,6.0,5.6,5.9,674.3
2022-11-28,LIXT,5.8,6.35,5.8,6.1,7406.0
2022-11-29,LIXT,5.831,6.7,5.831,6.699,4152.8
2022-11-30,LIXT,7.0,7.9,7.0,7.65,11767.8
2022-12-01,LIXT,7.7725,7.7725,7.5,7.501,1609.9
2022-12-02,LIXT,7.5,7.7,7.5,7.687,2334.6
2022-12-05,LIXT,7.7,7.85,7.5,7.65,648.3
2022-12-06,LIXT,7.5,7.616,6.9,6.94,4423.5
2022-12-07,LIXT,6.7,7.001,6.7,7.001,2719.4
2022-12-08,LIXT,6.925,7.101,6.7,6.8,454.0
2022-12-09,LIXT,6.7,6.7,5.9,6.225,3753.5
2022-12-12,LIXT,6.1,6.3,6.0,6.1,2270.9
2022-12-13,LIXT,6.3,6.3,4.95,4.95,10117.3
2022-12-14,LIXT,5.225,5.5,4.8,5.003,7557.6
2022-12-15,LIXT,5.0,5.451,5.0,5.414,3452.8
2022-12-16,LIXT,5.45,6.0,5.2,6.0,1218.7
2022-12-19,LIXT,6.2,6.2,4.9,4.9,1406.3
2022-12-20,LIXT,6.0,6.0,5.1,5.2,2380.7
2022-12-21,LIXT,5.12,5.465,5.12,5.12,1529.7
2022-12-22,LIXT,5.15,5.2,4.901,5.05,208.1
2022-12-23,LIXT,5.4,5.4,4.675,5.0,1498.6
2022-12-27,LIXT,5.25,5.25,4.6,4.85,4450.1
2022-12-28,LIXT,5.199,5.199,4.708,4.8026,2288.7
2022-12-29,LIXT,4.799,5.118,4.59,4.753,5842.4
2022-12-30,LIXT,4.763,5.1,4.72,5.09,4873.4
2023-01-03,LIXT,4.802,5.079,4.802,5.073,588.8
2023-01-04,LIXT,5.099,7.0,4.85,5.748,20673.7
2023-01-05,LIXT,5.748,5.999,5.2,5.2085,4330.4
2023-01-06,LIXT,5.8,5.9,5.4,5.4,10439.5
2023-01-09,LIXT,5.363,5.814,5.21,5.65,1332.1
2023-01-10,LIXT,5.315,5.4,5.2,5.3,6153.2
2023-01-11,LIXT,5.799,5.799,5.5,5.7,2371.3
2023-01-12,LIXT,5.6725,5.7,5.3,5.4,1650.2
2023-01-13,LIXT,5.201,6.0,5.201,5.7,2414.7
2023-01-17,LIXT,5.68,5.918,5.61,5.61,1290.2
2023-01-18,LIXT,5.605,6.0,5.605,6.0,1961.5
2023-01-19,LIXT,5.9235,6.0,5.7,5.999,835.7
2023-01-20,LIXT,5.685,7.5,5.685,7.1,29170.5
2023-01-23,LIXT,7.1,7.2,6.603,6.605,2244.9
2023-01-24,LIXT,6.7,7.065,6.001,6.788,4640.8
2023-01-25,LIXT,6.501,7.3,6.5,7.125,13090.8
2023-01-26,LIXT,6.91,7.594,6.9,7.4,11034.2
2023-01-27,LIXT,7.7,7.7,7.2,7.31,4622.2
2023-01-30,LIXT,7.5,7.7,7.31,7.599,1452.6
2023-01-31,LIXT,7.7,8.0,7.5,7.9,5680.7
2023-02-01,LIXT,7.9,7.9,7.335,7.5,7388.0
2023-02-02,LIXT,7.5,7.9,7.4,7.7,3271.4
2023-02-03,LIXT,7.8,8.5,7.602,7.9,6851.2
2023-02-06,LIXT,8.5,8.7,7.9,8.108,18624.5
2023-02-07,LIXT,8.0,27.0,8.0,18.9,5020746.3
2023-02-08,LIXT,13.6,14.9,11.6,12.6,650341.0
2023-02-09,LIXT,11.7,12.6,10.1,10.9,232625.9
2023-02-10,LIXT,11.4,16.4,11.2,12.0,1202890.0
2023-02-13,LIXT,10.5,11.1,9.34,10.7,149047.4
2023-02-14,LIXT,10.1,13.8,10.0,11.8,297393.9
2023-02-15,LIXT,10.7,12.0,10.7,11.6,71720.8
2023-02-16,LIXT,11.3,11.9,10.1,11.7,46995.6
2023-02-17,LIXT,11.3,12.883,10.82,11.3,62174.8
2023-02-21,LIXT,10.8,11.0,10.1,10.6,35977.2
2023-02-22,LIXT,10.4,11.0,9.801,9.998,19882.9
2023-02-23,LIXT,9.9,10.102,8.5,8.889,49275.0
2023-02-24,LIXT,8.65,8.899,8.2,8.396,17674.6
2023-02-27,LIXT,8.3,8.9,8.3,8.747,16197.8
2023-02-28,LIXT,8.485,9.2,8.35,9.075,22862.4
2023-03-01,LIXT,8.503,8.855,7.894,8.161,19541.3
2023-03-02,LIXT,8.06,9.7,8.0,9.0,53803.2
2023-03-03,LIXT,8.8,8.85,8.2,8.27,12449.2
2023-03-06,LIXT,8.2,8.5,7.601,7.8,7385.7
2023-03-07,LIXT,7.566,8.231,7.566,8.1,12969.8
2023-03-08,LIXT,7.712,8.114,7.568,7.908,8145.1
2023-03-09,LIXT,7.8,7.999,7.6,7.708,10011.5
2023-03-10,LIXT,7.502,7.55,7.1,7.15,6814.0
2023-03-13,LIXT,7.3,7.57,7.0,7.13,4405.0
2023-03-14,LIXT,7.0,7.4,6.635,7.002,6060.2
2023-03-15,LIXT,6.7,7.0,6.7,6.83,3764.0
2023-03-16,LIXT,6.83,7.299,6.002,6.666,10198.4
2023-03-17,LIXT,6.666,8.0,6.413,6.413,19716.7
2023-03-20,LIXT,6.7,7.0,6.6,6.8,3493.6
2023-03-21,LIXT,6.5,7.999,6.5,7.69,14934.0
2023-03-22,LIXT,7.5,8.0,7.465,7.538,3168.8
2023-03-23,LIXT,7.525,8.0,7.12,7.682,3869.7
2023-03-24,LIXT,7.4,9.27,7.4,8.518,11052.2
2023-03-27,LIXT,8.5,8.6,8.075,8.4,4197.8
2023-03-28,LIXT,8.6,8.6,7.5,7.9,3491.8
2023-03-29,LIXT,8.1,8.3,7.62,8.218,5110.1
2023-03-30,LIXT,7.99,8.3,7.9,8.212,3811.8
2023-03-31,LIXT,8.1,8.3,7.9,8.273,4117.8
2023-04-03,LIXT,8.23,8.8509,8.23,8.501,10284.3
2023-04-04,LIXT,8.3,9.4,8.3,9.099,8182.1
2023-04-05,LIXT,9.5,9.6,8.9,9.17,8915.2
2023-04-06,LIXT,9.45,9.451,9.1,9.2,8970.1
2023-04-10,LIXT,9.5,9.5,9.001,9.132,5675.6
2023-04-11,LIXT,9.29,9.29,8.224,8.538,9613.5
2023-04-12,LIXT,8.0,8.0,6.376,6.9,40851.3
2023-04-13,LIXT,7.0,7.0,6.5,6.713,19200.2
2023-04-14,LIXT,6.481,6.6,6.1,6.302,11486.4
2023-04-17,LIXT,6.8,6.969,6.6,6.794,6226.5
2023-04-18,LIXT,6.6,6.9,6.4,6.81,3851.6
2023-04-19,LIXT,6.72,6.786,6.276,6.58,3671.4
2023-04-20,LIXT,6.5,6.72,6.3,6.493,5492.1
2023-04-21,LIXT,6.7,6.7,6.22,6.58,3010.8
2023-04-24,LIXT,6.3,6.703,6.05,6.26,7956.8
2023-04-25,LIXT,6.18,6.2,6.05,6.1,2479.2
2023-04-26,LIXT,6.1,6.1,5.09,5.652,11473.6
2023-04-27,LIXT,5.687,5.955,5.29,5.5,6463.5
2023-04-28,LIXT,5.7,5.75,5.0,5.61,4141.8
2023-05-01,LIXT,5.3,6.1,5.3,5.6,1432.1
2023-05-02,LIXT,5.6,6.0,5.6,5.64,4850.0
2023-05-03,LIXT,6.0,6.0,4.72,5.51,8313.1
2023-05-04,LIXT,5.968,5.968,5.121,5.458,7620.7
2023-05-05,LIXT,5.5,5.711,5.5,5.669,2479.3
2023-05-08,LIXT,5.5,5.839,5.11,5.426,11106.8
