Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,LNTH,59.76,60.615,58.31,59.69,965812.0
2022-11-11,LNTH,59.73,60.68,55.865,56.47,1336342.0
2022-11-14,LNTH,56.24,58.36,55.09,57.25,1554961.0
2022-11-15,LNTH,59.0,60.8999,58.91,59.05,1080676.0
2022-11-16,LNTH,58.5,58.52,55.63,55.82,904634.0
2022-11-17,LNTH,54.79,55.88,54.0,55.11,842792.0
2022-11-18,LNTH,56.47,58.21,56.225,57.7,950892.0
2022-11-21,LNTH,57.26,59.09,56.8,57.38,884588.0
2022-11-22,LNTH,57.62,58.26,56.26,57.92,744481.0
2022-11-23,LNTH,57.68,59.29,57.01,58.76,694055.0
2022-11-25,LNTH,58.67,58.75,57.58,58.45,322358.0
2022-11-28,LNTH,58.41,60.92,58.41,60.89,1033737.0
2022-11-29,LNTH,60.85,61.95,60.25,60.65,632272.0
2022-11-30,LNTH,61.37,62.8,60.51,62.08,774579.0
2022-12-01,LNTH,62.61,63.09,60.27,61.25,640348.0
2022-12-02,LNTH,60.98,62.16,60.88,61.27,484486.0
2022-12-05,LNTH,57.49,57.93,54.56,56.01,4083084.0
2022-12-06,LNTH,56.15,57.3262,54.845,55.48,5789984.0
2022-12-07,LNTH,55.74,56.1557,52.91,54.33,2303417.0
2022-12-08,LNTH,55.16,55.4,53.34,53.51,1815176.0
2022-12-09,LNTH,53.71,54.09,52.5816,53.31,1114485.0
2022-12-12,LNTH,54.34,55.41,53.75,54.92,967890.0
2022-12-13,LNTH,56.71,57.2024,53.5,54.54,926661.0
2022-12-14,LNTH,54.5,55.31,53.93,54.4,526436.0
2022-12-15,LNTH,53.66,53.9582,52.36,52.72,664888.0
2022-12-16,LNTH,52.01,53.37,51.59,53.0,1581381.0
2022-12-19,LNTH,53.0,53.0,51.53,52.39,917738.0
2022-12-20,LNTH,52.12,53.23,51.93,52.36,569441.0
2022-12-21,LNTH,52.98,52.98,51.72,52.37,662052.0
2022-12-22,LNTH,52.22,52.22,50.74,51.39,569789.0
2022-12-23,LNTH,51.05,51.1977,50.06,50.63,767183.0
2022-12-27,LNTH,50.675,51.08,48.92,49.1,988308.0
2022-12-28,LNTH,49.1,49.46,47.77,48.76,1272529.0
2022-12-29,LNTH,49.26,50.9,48.6,50.62,814542.0
2022-12-30,LNTH,50.11,51.02,49.76,50.96,888868.0
2023-01-03,LNTH,51.45,52.2,49.95,50.67,849711.0
2023-01-04,LNTH,51.36,52.18,50.3,51.02,767818.0
2023-01-05,LNTH,50.85,50.97,48.89,48.94,799619.0
2023-01-06,LNTH,49.31,49.83,48.16,48.48,816072.0
2023-01-09,LNTH,49.12,49.63,47.46,47.76,1103915.0
2023-01-10,LNTH,48.18,48.965,47.65,48.27,719091.0
2023-01-11,LNTH,48.28,50.07,47.76,50.04,1199818.0
2023-01-12,LNTH,50.25,52.16,49.87,51.31,1011296.0
2023-01-13,LNTH,51.02,53.23,50.87,53.08,1319711.0
2023-01-17,LNTH,52.97,54.575,52.2,54.05,1220043.0
2023-01-18,LNTH,54.3,55.4,53.235,55.35,1119957.0
2023-01-19,LNTH,55.32,56.03,53.94,54.42,1409762.0
2023-01-20,LNTH,54.97,55.56,53.37,53.42,1524221.0
2023-01-23,LNTH,53.64,54.8399,53.375,54.59,651645.0
2023-01-24,LNTH,54.52,55.66,53.72,54.65,525515.0
2023-01-25,LNTH,54.33,54.75,53.58,54.65,418895.0
2023-01-26,LNTH,55.36,55.94,54.995,55.84,539127.0
2023-01-27,LNTH,55.57,56.715,55.05,56.2,596503.0
2023-01-30,LNTH,55.81,56.725,55.35,56.27,720526.0
2023-01-31,LNTH,56.5,57.58,56.26,57.5,777381.0
2023-02-01,LNTH,57.61,59.11,56.86,58.64,1016441.0
2023-02-02,LNTH,59.35,60.74,59.27,60.66,1004057.0
2023-02-03,LNTH,59.82,60.93,59.755,60.8,829867.0
2023-02-06,LNTH,60.8,61.85,59.14,60.02,1099784.0
2023-02-07,LNTH,59.73,60.32,58.42,60.02,978669.0
2023-02-08,LNTH,59.59,60.62,58.85,58.91,1000280.0
2023-02-09,LNTH,59.25,60.241,58.44,58.82,1037517.0
2023-02-10,LNTH,58.47,58.74,57.56,58.27,560324.0
2023-02-13,LNTH,58.49,58.76,57.51,58.14,753072.0
2023-02-14,LNTH,57.86,58.79,57.26,57.82,973414.0
2023-02-15,LNTH,57.52,60.49,57.245,60.03,640525.0
2023-02-16,LNTH,59.25,60.8242,58.69,59.85,765158.0
2023-02-17,LNTH,59.9,60.16,58.81,59.72,524523.0
2023-02-21,LNTH,59.6,60.2,58.07,58.27,860369.0
2023-02-22,LNTH,58.56,59.22,57.85,58.25,896613.0
2023-02-23,LNTH,70.0,71.3,67.38,69.99,4187859.0
2023-02-24,LNTH,69.71,73.44,69.38,72.41,1737341.0
2023-02-27,LNTH,73.02,75.1,72.12,72.64,1297394.0
2023-02-28,LNTH,72.67,74.705,72.48,73.96,1181319.0
2023-03-01,LNTH,73.96,74.355,72.7116,73.08,650386.0
2023-03-02,LNTH,72.28,73.725,72.0084,73.35,892478.0
2023-03-03,LNTH,74.0,74.04,72.14,72.94,996015.0
2023-03-06,LNTH,72.49,73.76,71.19,73.0,1073901.0
2023-03-07,LNTH,73.25,73.28,71.56,72.37,828027.0
2023-03-08,LNTH,74.11,76.94,73.67,75.24,1391411.0
2023-03-09,LNTH,75.5,76.56,72.91,73.17,1217119.0
2023-03-10,LNTH,72.63,74.06,70.84,71.26,1224420.0
2023-03-13,LNTH,69.67,71.85,68.77,70.75,1414085.0
2023-03-14,LNTH,72.72,74.0923,71.66,73.02,852304.0
2023-03-15,LNTH,71.58,73.34,71.39,73.24,813411.0
2023-03-16,LNTH,72.74,78.88,72.54,78.83,1410099.0
2023-03-17,LNTH,78.86,80.4,77.235,77.84,1647500.0
2023-03-20,LNTH,77.84,79.445,76.5825,79.18,904250.0
2023-03-21,LNTH,79.98,83.82,79.8536,82.86,1083498.0
2023-03-22,LNTH,82.33,83.545,80.44,80.47,1130225.0
2023-03-23,LNTH,81.28,83.25,79.2729,79.62,922727.0
2023-03-24,LNTH,79.33,81.75,78.545,81.43,849316.0
2023-03-27,LNTH,81.13,81.95,79.84,80.47,1452082.0
2023-03-28,LNTH,80.91,81.61,79.48,80.15,1172781.0
2023-03-29,LNTH,80.58,80.58,78.7401,79.32,589195.0
2023-03-30,LNTH,80.14,81.655,79.64,80.72,830217.0
2023-03-31,LNTH,81.25,82.71,81.25,82.56,1126887.0
2023-04-03,LNTH,82.09,82.85,81.02,82.41,723093.0
2023-04-04,LNTH,82.8,83.76,82.13,82.67,674903.0
2023-04-05,LNTH,82.55,83.59,81.81,83.5,592300.0
2023-04-06,LNTH,83.59,83.94,82.272,83.1,430154.0
2023-04-10,LNTH,82.39,85.71,82.0042,85.53,906909.0
2023-04-11,LNTH,86.56,87.0,85.53,86.35,862625.0
2023-04-12,LNTH,87.37,87.74,85.44,85.48,735446.0
2023-04-13,LNTH,86.06,87.59,85.8,87.28,923673.0
2023-04-14,LNTH,87.0,88.89,86.49,88.67,1045951.0
2023-04-17,LNTH,88.67,89.67,88.28,89.16,837297.0
2023-04-18,LNTH,89.57,90.89,88.57,90.79,1151276.0
2023-04-19,LNTH,90.79,91.62,90.255,90.53,775877.0
2023-04-20,LNTH,89.27,90.33,89.09,89.61,1264186.0
2023-04-21,LNTH,89.63,91.4099,89.28,90.63,867598.0
2023-04-24,LNTH,90.65,91.43,90.08,91.22,607884.0
2023-04-25,LNTH,90.64,90.97,89.29,89.72,788289.0
2023-04-26,LNTH,89.17,89.19,83.99,84.89,1672176.0
2023-04-27,LNTH,84.89,85.51,83.78,85.19,972578.0
2023-04-28,LNTH,84.52,86.84,84.04,85.45,907763.0
2023-05-01,LNTH,85.13,85.5,83.1639,83.37,917712.0
2023-05-02,LNTH,83.3,83.44,81.945,82.7,791958.0
2023-05-03,LNTH,82.88,83.725,81.28,82.51,1795263.0
2023-05-04,LNTH,86.15,99.3226,86.0,94.86,3415302.0
2023-05-05,LNTH,96.19,98.1486,93.5783,94.06,1298885.0
2023-05-08,LNTH,93.32,95.8312,91.7601,94.82,1016727.0
2023-05-09,LNTH,95.03,97.99,94.54,97.32,983395.0
2023-05-10,LNTH,98.49,99.97,96.65,98.96,620771.0
