Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,LYFT,11.24,11.495,10.9125,11.28,31008425.0
2022-11-11,LYFT,11.19,12.79,11.14,12.7,26140460.0
2022-11-14,LYFT,12.54,13.25,12.465,12.95,15062132.0
2022-11-15,LYFT,13.55,13.74,13.01,13.07,16226034.0
2022-11-16,LYFT,12.79,12.79,11.91,11.97,16593481.0
2022-11-17,LYFT,11.71,11.725,11.27,11.35,14255640.0
2022-11-18,LYFT,11.55,11.6,11.07,11.21,10511095.0
2022-11-21,LYFT,11.05,11.1,10.74,11.05,15313969.0
2022-11-22,LYFT,10.8,11.06,10.43,11.05,15220171.0
2022-11-23,LYFT,11.02,11.39,10.72,11.31,16125454.0
2022-11-25,LYFT,11.09,11.17,10.9,11.14,4981945.0
2022-11-28,LYFT,10.97,11.09,10.69,10.7,11014562.0
2022-11-29,LYFT,10.81,11.15,10.59,10.76,13346765.0
2022-11-30,LYFT,10.72,11.25,10.48,11.22,31346900.0
2022-12-01,LYFT,11.27,11.58,11.06,11.2,10777362.0
2022-12-02,LYFT,10.91,11.12,10.71,11.1,10285519.0
2022-12-05,LYFT,11.1,11.59,10.71,10.78,13843693.0
2022-12-06,LYFT,10.78,10.9593,10.305,10.41,15257641.0
2022-12-07,LYFT,10.34,10.365,10.09,10.32,10740524.0
2022-12-08,LYFT,10.365,10.72,10.2585,10.64,10387749.0
2022-12-09,LYFT,10.6,11.095,10.44,10.95,12491284.0
2022-12-12,LYFT,10.9,11.55,10.75,11.51,20538092.0
2022-12-13,LYFT,12.085,12.54,11.56,11.6,18781517.0
2022-12-14,LYFT,11.66,12.14,11.485,11.89,13563250.0
2022-12-15,LYFT,11.6,11.77,11.23,11.35,12223454.0
2022-12-16,LYFT,11.25,11.475,10.98,11.09,20147269.0
2022-12-19,LYFT,11.11,11.15,10.255,10.32,12151565.0
2022-12-20,LYFT,10.25,10.47,10.15,10.36,10131187.0
2022-12-21,LYFT,10.59,10.71,10.39,10.48,9699461.0
2022-12-22,LYFT,10.33,10.36,9.835,10.1,12751828.0
2022-12-23,LYFT,10.07,10.23,9.83,10.21,7836661.0
2022-12-27,LYFT,10.05,10.09,9.72,9.87,9661162.0
2022-12-28,LYFT,9.84,10.25,9.66,10.12,9531289.0
2022-12-29,LYFT,10.27,10.87,10.06,10.85,10395303.0
2022-12-30,LYFT,10.58,11.27,10.56,11.02,11302829.0
