Date,Ticker,Open,High,Low,Close,Volume
2024-06-18,MACIU,10.02,10.02,10.0,10.0,11883818.0
2024-06-20,MACIU,10.0,10.02,10.0,10.02,49151.0
2024-06-21,MACIU,10.0,10.02,10.0,10.02,47536.0
2024-06-25,MACIU,10.0,10.0,10.0,10.0,10013.0
2024-06-26,MACIU,10.0,10.0,10.0,10.0,36420.0
2024-06-28,MACIU,10.0,10.0,10.0,10.0,157248.0
2024-07-01,MACIU,10.0,10.0,10.0,10.0,41645.0
2024-07-02,MACIU,10.0,10.0,10.0,10.0,10960.0
2024-07-08,MACIU,10.0,10.0,9.99,10.0,343402.0
2024-07-09,MACIU,10.0,10.01,10.0,10.0,53386.0
2024-07-11,MACIU,10.01,10.01,10.0,10.0,24610.0
2024-07-12,MACIU,10.0,10.0,10.0,10.0,76830.0
2024-07-15,MACIU,10.01,10.01,10.01,10.01,149970.0
2024-07-16,MACIU,10.02,10.03,10.02,10.02,455534.0
2024-07-17,MACIU,10.03,10.03,10.02,10.02,470335.0
2024-07-18,MACIU,10.03,10.03,10.03,10.03,10175.0
2024-07-19,MACIU,10.02,10.02,10.02,10.02,177.0
2024-07-24,MACIU,10.02,10.02,10.02,10.02,150010.0
2024-07-25,MACIU,10.02,10.03,10.02,10.03,4892.0
2024-07-26,MACIU,10.04,10.04,10.04,10.04,202.0
2024-07-29,MACIU,10.03,10.03,10.03,10.03,227.0
2024-08-01,MACIU,10.03,10.03,10.02,10.02,3200.0
2024-08-02,MACIU,10.03,10.03,10.02,10.02,282000.0
2024-08-12,MACIU,10.01,10.01,10.01,10.01,101.0
2024-08-13,MACIU,10.0,10.0,10.0,10.0,100.0
2024-08-14,MACIU,10.0,10.0,10.0,10.0,102.0
2024-08-15,MACIU,10.0,10.03,10.0,10.03,1588.0
2024-10-04,MACIU,10.05,10.05,10.05,10.05,100.0
2024-10-08,MACIU,10.13,10.13,10.13,10.13,157.0
2024-10-16,MACIU,10.13,10.13,10.13,10.13,100.0
