Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,MBNKP,24.0,24.05,23.75,23.75,3513
2022-11-14,MBNKP,23.98,24.75,23.98,24.5,1780
2022-11-15,MBNKP,24.5805,24.625,24.5,24.5,877
2022-11-16,MBNKP,24.46,24.75,24.46,24.75,1149
2022-11-18,MBNKP,25.2,25.2,24.7976,24.7976,667
2022-11-21,MBNKP,25.24,25.24,23.77,25.23,2769
2022-11-22,MBNKP,25.23,25.23,24.8211,25.19,968
2022-11-25,MBNKP,24.9,25.19,24.9,25.19,647
2022-11-29,MBNKP,24.5,24.5,23.9192,24.0,6748
2022-11-30,MBNKP,24.25,24.25,24.01,24.15,1239
2022-12-01,MBNKP,24.2,24.5,24.2,24.5,667
2022-12-02,MBNKP,24.51,24.55,24.5,24.5,2306
2022-12-06,MBNKP,24.5,24.511,24.5,24.5,843
2022-12-07,MBNKP,24.75,24.75,24.75,24.75,211
2022-12-08,MBNKP,24.54,24.54,24.54,24.54,247
2022-12-09,MBNKP,24.55,24.55,24.244,24.55,1106
2022-12-13,MBNKP,24.7,24.7,24.7,24.7,253
2022-12-14,MBNKP,25.0,25.0,23.95,25.0,2124
2022-12-19,MBNKP,24.55,24.695,24.49,24.49,946
2022-12-20,MBNKP,24.26,24.5,23.93,24.0,1933
2022-12-21,MBNKP,24.5,24.6675,24.0,24.0,1069
2022-12-27,MBNKP,24.18,24.55,23.41,24.55,3900
2022-12-28,MBNKP,24.45,28.8,24.45,25.3,11367
2022-12-29,MBNKP,25.0,25.0,24.1,24.403,4436
2022-12-30,MBNKP,24.2,24.56,24.2,24.51,4708
2023-01-03,MBNKP,24.4,24.855,24.4,24.855,2069
2023-01-04,MBNKP,25.11,25.11,24.925,24.925,219
2023-01-05,MBNKP,24.85,25.1,24.85,25.1,1701
2023-01-06,MBNKP,24.86,25.0,24.85,24.85,2139
2023-01-09,MBNKP,24.9122,25.0,24.85,24.9999,1362
2023-01-10,MBNKP,24.85,24.98,24.5,24.96,4019
2023-01-11,MBNKP,24.99,24.99,24.01,24.5,880
2023-01-12,MBNKP,24.95,24.95,24.95,24.95,765
2023-01-13,MBNKP,24.75,24.75,24.67,24.67,1149
2023-01-17,MBNKP,24.9499,24.975,24.67,24.95,5240
2023-01-18,MBNKP,25.0,25.0,24.7,24.95,1267
2023-01-19,MBNKP,24.8625,24.95,24.8625,24.95,1325
2023-01-20,MBNKP,24.93,25.3,24.93,24.9999,5248
2023-01-23,MBNKP,24.9799,25.4,24.9532,25.1,8593
2023-01-24,MBNKP,25.25,25.2501,25.1,25.1,5795
2023-01-25,MBNKP,25.1,25.1,24.8,24.95,3588
2023-01-27,MBNKP,25.3004,25.3004,24.8373,24.8373,4477
2023-01-30,MBNKP,25.03,25.1,24.95,25.1,1584
2023-01-31,MBNKP,25.47,25.47,25.47,25.47,286
2023-02-01,MBNKP,25.0,25.02,24.9,24.96,17489
2023-02-02,MBNKP,25.005,25.1,25.005,25.1,1189
2023-02-03,MBNKP,25.02,25.02,25.02,25.02,209
2023-02-06,MBNKP,25.2,25.2001,25.2,25.2,382
2023-02-07,MBNKP,25.2339,25.2339,25.2339,25.2339,218
2023-02-09,MBNKP,25.0978,25.0978,25.0978,25.0978,1031
2023-02-10,MBNKP,25.47,25.47,25.4,25.42,1088
2023-02-13,MBNKP,25.46,25.46,25.36,25.36,420
2023-02-14,MBNKP,25.32,25.32,25.32,25.32,133
2023-02-16,MBNKP,25.245,25.2725,25.245,25.2725,673
2023-02-17,MBNKP,25.08,25.2581,25.02,25.03,1370
2023-02-21,MBNKP,25.27,25.45,25.27,25.45,454
2023-02-22,MBNKP,25.1737,25.1737,25.1737,25.1737,1086
2023-02-23,MBNKP,25.25,25.25,25.2325,25.25,2428
2023-02-27,MBNKP,25.38,25.38,25.38,25.38,255
2023-02-28,MBNKP,25.22,25.25,25.22,25.23,790
2023-03-01,MBNKP,25.23,25.23,25.23,25.23,418
2023-03-02,MBNKP,25.05,25.05,25.05,25.05,429
2023-03-03,MBNKP,25.112,25.3,25.0525,25.102,1293
2023-03-06,MBNKP,25.01,25.01,25.01,25.01,433
2023-03-09,MBNKP,25.2,25.2,25.2,25.2,135
2023-03-10,MBNKP,25.01,25.2,25.0,25.0,3297
2023-03-13,MBNKP,25.01,25.067,21.4,23.7,14086
2023-03-15,MBNKP,23.0,23.0,22.73,22.9635,5558
2023-03-16,MBNKP,23.9999,23.9999,22.3397,22.3397,1491
