Date,Ticker,Open,High,Low,Close,Volume
2023-09-12,MDAIW,0.2001,0.2001,0.1003,0.12,291051
2023-09-13,MDAIW,0.1298,0.1298,0.105001,0.1126,43180
2023-09-14,MDAIW,0.1238,0.14,0.1146,0.125,117626
2023-09-15,MDAIW,0.14,0.1421,0.1375,0.1385,42963
2023-09-18,MDAIW,0.1385,0.14,0.1385,0.1399,39615
2023-09-19,MDAIW,0.13495,0.14,0.111,0.12,181141
2023-09-20,MDAIW,0.1134,0.1275,0.1134,0.1238,106000
2023-09-21,MDAIW,0.1218,0.144,0.1145,0.144,38912
2023-09-22,MDAIW,0.13,0.13,0.1261,0.1261,10000
2023-09-25,MDAIW,0.13,0.1426,0.13,0.1426,14900
2023-09-26,MDAIW,0.1426,0.1426,0.137,0.137,370
2023-09-27,MDAIW,0.1439,0.1439,0.1439,0.1439,1390
2023-09-28,MDAIW,0.137,0.249299,0.13,0.1484,34884
2023-09-29,MDAIW,0.146,0.1461,0.13,0.13,17388
2023-10-02,MDAIW,0.1625,0.1825,0.145,0.15,5428
2023-10-03,MDAIW,0.1499,0.1499,0.1287,0.14,26600
2023-10-04,MDAIW,0.14,0.1899,0.14,0.17,76235
2023-10-06,MDAIW,0.1879,0.1879,0.133,0.1735,15300
2023-10-09,MDAIW,0.19749,0.19749,0.19749,0.19749,185
2023-10-10,MDAIW,0.1878,0.19,0.14,0.1684,5100
2023-10-16,MDAIW,0.17,0.1711,0.169,0.1711,7000
2023-10-18,MDAIW,0.175,0.175,0.146,0.16,21700
2023-10-19,MDAIW,0.2175,0.228799,0.1201,0.18,343656
2023-10-20,MDAIW,0.144,0.171,0.144,0.171,4493
2023-10-23,MDAIW,0.168,0.168,0.149,0.149,8100
2023-10-24,MDAIW,0.155,0.1689,0.144,0.144,7148
2023-10-25,MDAIW,0.1668,0.1668,0.105,0.105,45726
2023-10-27,MDAIW,0.14435,0.1485,0.12,0.1485,978
2023-10-30,MDAIW,0.12,0.15,0.12,0.14,4101
2023-11-01,MDAIW,0.14,0.16,0.14,0.16,4750
2023-11-02,MDAIW,0.16,0.177751,0.1485,0.149,55799
2023-11-03,MDAIW,0.115,0.15,0.115,0.13,1263
2023-11-07,MDAIW,0.1499,0.1508,0.134,0.134,28034
2023-11-08,MDAIW,0.134,0.1604,0.1239,0.134,5357
2023-11-09,MDAIW,0.134,0.134,0.1116,0.1116,2053
2023-11-10,MDAIW,0.1583,0.1583,0.1583,0.1583,100
2023-11-13,MDAIW,0.1583,0.1583,0.12,0.13,30082
2023-11-14,MDAIW,0.124001,0.1449,0.124,0.1438,6412
2023-11-15,MDAIW,0.13,0.1312,0.13,0.1312,8716
2023-11-17,MDAIW,0.134101,0.134101,0.126,0.13,9620
2023-11-20,MDAIW,0.13,0.13,0.12,0.12,3876
2023-11-21,MDAIW,0.121,0.121,0.1025,0.1025,4785
2023-11-22,MDAIW,0.115,0.119,0.1025,0.119,4104
2023-11-24,MDAIW,0.104,0.1499,0.1,0.1499,81222
2023-11-28,MDAIW,0.1188,0.150836,0.1188,0.150836,24891
