Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,META,109.23,114.9,108.81,113.02,59926142.0
2022-11-14,META,110.99,116.27,110.8,114.22,53394974.0
2022-11-15,META,116.07,118.74,114.4116,117.08,50653499.0
2022-11-16,META,114.5,116.075,112.66,113.23,33287773.0
2022-11-17,META,110.41,112.33,109.8,111.45,35093822.0
2022-11-18,META,113.8,114.32,110.62,112.05,33357707.0
2022-11-21,META,111.52,112.3699,109.19,109.86,24351074.0
2022-11-22,META,109.86,111.62,108.3216,111.44,29028963.0
2022-11-23,META,111.72,112.67,110.73,112.24,21343083.0
2022-11-25,META,111.3,112.73,111.02,111.41,12007566.0
2022-11-28,META,110.78,112.04,108.38,108.78,23332816.0
2022-11-29,META,109.54,110.94,108.5437,109.46,23899238.0
2022-11-30,META,109.505,118.16,109.38,118.1,43348557.0
2022-12-01,META,119.198,121.2,118.4,120.44,36551374.0
2022-12-02,META,117.83,124.04,117.61,123.49,39950464.0
2022-12-05,META,121.75,124.67,121.35,122.43,35474884.0
2022-12-06,META,119.91,120.55,113.74,114.12,43689183.0
2022-12-07,META,113.76,115.88,112.88,113.93,29461137.0
2022-12-08,META,116.39,117.34,114.59,115.33,30619418.0
2022-12-09,META,115.3,117.54,113.87,115.9,26033353.0
2022-12-12,META,115.18,115.72,113.14,114.71,24747064.0
2022-12-13,META,122.13,123.3,118.64,120.15,44701054.0
2022-12-14,META,119.39,124.14,119.39,121.59,36922037.0
2022-12-15,META,118.33,118.625,114.01,116.15,34530970.0
2022-12-16,META,120.23,123.31,118.8214,119.43,67064001.0
2022-12-19,META,116.83,117.8,114.331,114.48,29769875.0
2022-12-20,META,113.26,117.33,112.46,117.09,28742501.0
2022-12-21,META,116.7,120.34,115.62,119.76,20392799.0
2022-12-22,META,117.2,118.62,114.38,117.12,22418121.0
2022-12-23,META,116.03,118.175,115.535,118.04,17779225.0
2022-12-27,META,117.93,118.6,116.0501,116.88,21392311.0
2022-12-28,META,116.25,118.15,115.51,115.62,19612473.0
2022-12-29,META,116.4,121.03,115.77,120.26,22360192.0
2022-12-30,META,118.16,120.42,117.74,120.34,19583825.0
2023-01-03,META,122.82,126.37,122.28,124.74,35528531.0
2023-01-04,META,127.38,129.0498,125.85,127.37,32397094.0
2023-01-05,META,126.125,128.52,124.54,126.94,25447099.0
2023-01-06,META,128.97,130.33,126.04,130.02,27584498.0
2023-01-09,META,131.16,132.95,129.28,129.47,26628145.0
2023-01-10,META,127.27,133.44,127.15,132.99,28684431.0
2023-01-11,META,130.96,133.8494,130.34,132.89,25423046.0
2023-01-12,META,133.44,137.6781,131.76,136.71,30748732.0
2023-01-13,META,134.97,137.39,134.835,136.98,22423839.0
2023-01-17,META,136.176,136.75,134.25,135.36,21147587.0
2023-01-18,META,135.81,137.25,132.8,133.02,20215486.0
2023-01-19,META,132.49,137.45,132.14,136.15,28625232.0
2023-01-20,META,135.89,139.94,134.61,139.37,28688630.0
2023-01-23,META,139.29,143.76,138.66,143.27,27089093.0
2023-01-24,META,141.69,145.0,141.36,143.14,21970190.0
2023-01-25,META,141.22,143.17,140.31,141.5,26622021.0
2023-01-26,META,144.4,147.51,143.3,147.3,25382084.0
2023-01-27,META,148.237,153.19,147.39,151.74,35771865.0
2023-01-30,META,149.405,151.1233,146.95,147.06,28040100.0
2023-01-31,META,147.95,149.88,147.52,148.97,29842109.0
2023-02-01,META,148.03,153.58,147.06,153.12,55661017.0
2023-02-02,META,183.38,197.16,180.16,188.77,150457887.0
2023-02-03,META,183.465,196.77,182.89,186.53,76671301.0
2023-02-06,META,186.53,190.7,185.5156,186.06,42462811.0
2023-02-07,META,185.575,193.7799,184.4,191.62,47007162.0
2023-02-08,META,190.0,190.83,182.92,183.43,36131074.0
2023-02-09,META,186.13,186.65,177.27,177.92,37118811.0
2023-02-10,META,176.3534,178.89,173.35,174.15,33409567.0
2023-02-13,META,178.215,181.0,175.82,179.43,31463223.0
2023-02-14,META,177.16,181.5064,175.88,179.48,24034631.0
2023-02-15,META,176.415,178.19,175.33,177.16,25323291.0
2023-02-16,META,172.75,175.85,171.79,172.44,25827473.0
2023-02-17,META,170.22,173.18,169.7,172.88,24171260.0
2023-02-21,META,174.31,178.17,171.88,172.08,34559482.0
2023-02-22,META,171.07,172.755,169.69,171.12,22433158.0
2023-02-23,META,172.0,173.69,169.38,172.04,20017779.0
2023-02-24,META,168.64,170.72,167.66,170.39,19791334.0
2023-02-27,META,171.875,173.12,169.06,169.54,19277002.0
2023-02-28,META,171.9,177.55,171.87,174.94,46050817.0
2023-03-01,META,174.59,177.85,173.05,173.42,30998380.0
2023-03-02,META,172.38,175.01,171.43,174.53,17360708.0
2023-03-03,META,178.92,186.62,177.05,185.25,45812692.0
2023-03-06,META,188.0,189.66,184.64,184.9,33181394.0
2023-03-07,META,189.0,190.36,184.01,184.51,36701495.0
2023-03-08,META,182.87,185.26,181.34,184.97,19432405.0
2023-03-09,META,186.35,188.93,180.3,181.69,26529500.0
2023-03-10,META,181.01,184.77,178.8,179.51,25665032.0
2023-03-13,META,177.96,183.78,174.82,180.9,24727969.0
2023-03-14,META,187.58,194.32,186.56,194.02,41642627.0
2023-03-15,META,192.95,197.78,190.8351,197.75,42123552.0
2023-03-16,META,198.26,205.76,196.0886,204.93,50819659.0
2023-03-17,META,200.56,201.9,195.4304,195.61,50141098.0
2023-03-20,META,198.48,199.36,193.64,197.81,24767015.0
2023-03-21,META,203.2,203.55,197.95,202.16,31816202.0
2023-03-22,META,202.5,207.37,199.67,199.81,28477759.0
2023-03-23,META,202.84,207.88,202.15,204.28,27389669.0
2023-03-24,META,205.18,207.58,203.55,206.01,27733042.0
2023-03-27,META,204.81,205.86,201.36,202.84,18527184.0
2023-03-28,META,200.15,201.03,197.9,200.68,19127295.0
2023-03-29,META,203.56,205.72,202.5355,205.35,18851137.0
2023-03-30,META,203.38,208.09,202.82,207.84,22558303.0
2023-03-31,META,207.24,212.17,206.77,211.94,25190273.0
2023-04-03,META,208.84,213.4861,208.2,213.07,17924613.0
2023-04-04,META,213.39,216.24,212.54,214.72,20994867.0
2023-04-05,META,214.15,215.19,209.94,211.48,19396630.0
2023-04-06,META,209.25,216.94,208.65,216.1,26104411.0
2023-04-10,META,214.71,215.66,210.66,214.75,16106074.0
2023-04-11,META,215.48,216.02,213.41,213.85,16710101.0
2023-04-12,META,214.835,216.84,212.584,214.0,18972172.0
2023-04-13,META,215.73,221.15,215.69,220.35,23290357.0
2023-04-14,META,217.88,222.11,217.55,221.49,21579807.0
2023-04-17,META,219.79,220.979,217.13,218.86,15481874.0
2023-04-18,META,219.91,220.44,216.21,217.89,12280984.0
2023-04-19,META,213.472,217.33,212.93,215.7,15898078.0
2023-04-20,META,213.48,216.75,212.77,213.07,16475443.0
2023-04-21,META,210.21,213.41,209.58,212.89,17717166.0
2023-04-24,META,213.675,213.92,210.71,212.79,15695920.0
2023-04-25,META,210.815,211.26,207.13,207.55,19198175.0
2023-04-26,META,212.5,214.11,208.88,209.4,41954726.0
2023-04-27,META,239.89,241.685,236.77,238.56,71196531.0
2023-04-28,META,239.01,240.43,235.75,240.32,39515086.0
2023-05-01,META,238.615,244.0,236.46,243.18,29143912.0
2023-05-02,META,243.18,244.92,238.99,239.24,24350149.0
2023-05-03,META,239.47,241.75,232.75,237.03,34413859.0
2023-05-04,META,236.06,238.2,232.9264,233.52,17889391.0
2023-05-05,META,232.24,234.68,229.85,232.78,27000377.0
2023-05-08,META,231.415,235.62,230.27,233.27,16400526.0
2023-05-09,META,231.46,235.88,231.08,233.37,16865587.0
2023-05-10,META,236.17,236.75,230.72,233.08,19098007.0
2023-05-11,META,233.05,238.21,232.3,235.79,20398991.0
2023-05-12,META,236.74,236.9599,231.45,233.81,16161447.0
2023-05-15,META,236.92,240.255,235.33,238.86,20653229.0
2023-05-16,META,235.79,239.635,235.52,238.82,17113772.0
2023-05-17,META,238.45,243.8423,238.14,242.485,21193080.0
2023-05-18,META,241.3,247.0881,241.19,246.85,22943297.0
2023-05-19,META,247.47,248.69,243.41,245.64,21733581.0
2023-05-22,META,245.41,253.57,245.12,248.32,27738479.0
2023-05-23,META,246.81,251.61,246.65,246.74,17748115.0
2023-05-24,META,245.28,249.5892,244.952,249.21,17717345.0
2023-05-25,META,253.4,255.62,249.17,252.69,22364823.0
2023-05-26,META,252.93,262.3107,252.71,262.04,25768663.0
2023-05-30,META,265.25,268.65,261.29,262.52,23776483.0
2023-05-31,META,260.0,265.0,258.45,264.72,25473690.0
2023-06-01,META,265.9,274.0,265.89,272.61,25609508.0
2023-06-02,META,272.66,275.35,271.12,272.61,19416930.0
2023-06-05,META,270.3,275.57,269.56,271.39,20742946.0
2023-06-06,META,270.14,276.57,269.69,271.12,19419010.0
2023-06-07,META,271.67,274.25,262.8,263.6,26160827.0
2023-06-08,META,260.62,267.65,258.88,264.58,20899359.0
2023-06-09,META,262.48,267.949,261.7,264.95,16949794.0
2023-06-12,META,267.17,271.75,265.33,271.05,15471689.0
2023-06-13,META,274.88,275.72,269.0923,271.32,16164024.0
2023-06-14,META,271.89,274.99,268.315,273.35,19175041.0
2023-06-15,META,272.3,283.99,271.42,281.83,25948455.0
2023-06-16,META,284.75,287.85,280.13,281.0,42957731.0
2023-06-20,META,278.73,284.8,276.22,284.33,20688389.0
2023-06-21,META,283.53,284.0,278.36,281.64,20556170.0
2023-06-22,META,279.08,285.26,277.79,284.88,17563061.0
2023-06-23,META,281.51,289.67,278.95,288.73,51092038.0
2023-06-26,META,288.7,289.79,277.6,278.47,24232651.0
2023-06-27,META,282.01,289.345,280.655,287.05,26108265.0
2023-06-28,META,284.82,289.55,284.06,285.29,16722117.0
2023-06-29,META,284.5,286.57,280.69,281.53,15395690.0
2023-06-30,META,284.76,289.05,284.415,286.98,19694872.0
2023-07-03,META,286.7,289.4,284.8499,286.02,8629269.0
2023-07-05,META,287.65,298.12,286.36,294.37,33865457.0
2023-07-06,META,295.885,298.12,291.31,291.99,47704329.0
2023-07-07,META,292.18,296.2,288.66,290.53,25585975.0
2023-07-10,META,295.55,298.13,287.05,294.1,37058306.0
2023-07-11,META,293.9,300.18,291.9,298.29,27584868.0
2023-07-12,META,301.745,309.45,300.1004,309.34,36667427.0
2023-07-13,META,313.62,316.24,310.2901,313.41,30280972.0
2023-07-14,META,311.79,314.88,307.3612,308.87,23048608.0
2023-07-17,META,307.54,311.71,304.71,310.62,25302726.0
2023-07-18,META,310.875,314.2,307.6188,312.05,20739580.0
2023-07-19,META,313.03,318.68,310.52,316.01,21763688.0
2023-07-20,META,313.5,315.54,302.22,302.52,23836876.0
2023-07-21,META,304.57,305.46,291.2,294.26,42139259.0
2023-07-24,META,295.78,297.52,288.3001,291.61,26578041.0
2023-07-25,META,295.19,298.3,291.86,294.47,19575584.0
2023-07-26,META,301.19,301.77,291.9,298.57,47243310.0
2023-07-27,META,325.12,325.35,309.84,311.71,64228125.0
2023-07-28,META,316.875,326.2,314.2481,325.48,39217970.0
2023-07-31,META,323.69,325.6599,317.59,318.6,25792603.0
2023-08-01,META,317.535,324.14,314.66,322.71,22889870.0
2023-08-02,META,318.0,318.39,310.65,314.31,20461094.0
2023-08-03,META,309.93,315.9499,309.93,313.19,15215422.0
2023-08-04,META,314.96,318.41,310.2,310.73,16912762.0
2023-08-07,META,313.23,317.07,310.46,316.56,16128004.0
2023-08-08,META,314.4,317.89,310.11,312.64,15183532.0
2023-08-09,META,312.88,313.63,302.85,305.21,19955783.0
2023-08-10,META,307.94,312.339,303.87,305.74,14358897.0
2023-08-11,META,302.57,304.72,300.36,301.64,14046250.0
2023-08-14,META,300.98,306.21,298.25,306.19,15641921.0
2023-08-15,META,306.14,307.23,300.03,301.95,11623613.0
2023-08-16,META,300.195,301.08,294.28,294.29,18547741.0
2023-08-17,META,293.05,296.05,284.95,285.09,23950089.0
2023-08-18,META,279.03,285.69,274.38,283.25,35347925.0
2023-08-21,META,283.45,290.5,281.85,289.9,20181475.0
2023-08-22,META,292.55,292.9,286.75,287.6,12999913.0
2023-08-23,META,288.5,297.4,287.67,294.24,18287001.0
2023-08-24,META,298.5,299.46,286.64,286.75,18360882.0
2023-08-25,META,286.13,288.386,276.03,285.5,23701443.0
2023-08-28,META,288.0,291.45,285.8,290.26,14218285.0
2023-08-29,META,288.585,299.15,288.18,297.99,20844522.0
2023-08-30,META,297.17,298.29,293.43,295.1,17690624.0
