Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,MFC,17.38,17.89,17.38,17.73,3368936.0
2022-11-14,MFC,17.62,17.79,17.54,17.56,3062391.0
2022-11-15,MFC,17.79,17.88,17.54,17.66,3388570.0
2022-11-16,MFC,17.58,17.61,17.41,17.48,2661053.0
2022-11-17,MFC,17.29,17.57,17.27,17.56,2588148.0
2022-11-18,MFC,17.59,17.7,17.55,17.61,11051492.0
2022-11-21,MFC,17.28,17.37,17.07,17.29,6185304.0
2022-11-22,MFC,17.4,17.71,17.36,17.68,2446983.0
2022-11-23,MFC,17.66,17.86,17.64,17.81,1884108.0
2022-11-25,MFC,17.94,18.04,17.8,17.95,1157060.0
2022-11-28,MFC,17.75,17.86,17.47,17.48,2671368.0
2022-11-29,MFC,17.53,17.71,17.46,17.61,2378094.0
2022-11-30,MFC,17.75,18.065,17.525,18.03,3842446.0
2022-12-01,MFC,18.11,18.155,17.91,18.12,1972550.0
2022-12-02,MFC,17.93,18.24,17.92,18.13,2211920.0
2022-12-05,MFC,18.08,18.19,17.77,17.81,2905881.0
2022-12-06,MFC,17.79,17.94,17.59,17.69,3284505.0
2022-12-07,MFC,17.62,17.97,17.59,17.7,2791926.0
2022-12-08,MFC,17.91,17.94,17.63,17.72,2531337.0
2022-12-09,MFC,17.65,17.88,17.64,17.73,1869149.0
2022-12-12,MFC,17.67,17.88,17.49,17.85,3023638.0
2022-12-13,MFC,18.1,18.25,17.951,18.01,3232336.0
2022-12-14,MFC,18.02,18.09,17.75,17.84,3149208.0
2022-12-15,MFC,17.61,17.61,17.345,17.51,4350703.0
2022-12-16,MFC,17.36,17.565,17.3,17.49,4669165.0
2022-12-19,MFC,17.59,17.76,17.385,17.51,5591741.0
2022-12-20,MFC,17.58,17.81,17.52,17.59,5456692.0
2022-12-21,MFC,17.72,18.045,17.71,17.96,3474979.0
2022-12-22,MFC,17.81,17.81,17.5,17.72,3579574.0
2022-12-23,MFC,17.7,17.935,17.64,17.89,2408085.0
2022-12-27,MFC,17.84,17.9964,17.84,17.95,1951925.0
2022-12-28,MFC,17.95,18.01,17.6,17.6,3127387.0
2022-12-29,MFC,17.74,17.985,17.68,17.96,2233418.0
2022-12-30,MFC,17.83,17.97,17.745,17.84,2084394.0
2023-01-03,MFC,17.8,18.0107,17.77,17.82,2900932.0
2023-01-04,MFC,18.08,18.32,17.955,18.27,2726536.0
2023-01-05,MFC,18.19,18.19,17.85,17.98,1893090.0
2023-01-06,MFC,18.15,18.4,18.045,18.34,2150301.0
2023-01-09,MFC,18.39,18.55,18.38,18.38,3083403.0
2023-01-10,MFC,18.39,18.52,18.34,18.43,2052237.0
2023-01-11,MFC,18.42,18.8,18.42,18.74,4330635.0
2023-01-12,MFC,18.85,19.035,18.75,18.94,2422192.0
2023-01-13,MFC,18.76,18.96,18.72,18.95,1740625.0
2023-01-17,MFC,18.94,19.06,18.89,19.02,2073316.0
2023-01-18,MFC,19.02,19.1264,18.68,18.69,2295041.0
2023-01-19,MFC,18.62,18.74,18.56,18.66,2318018.0
2023-01-20,MFC,18.71,19.065,18.62,19.06,2521699.0
2023-01-23,MFC,19.05,19.15,18.97,19.12,2229249.0
2023-01-24,MFC,19.1,19.3,18.99,19.24,2059619.0
2023-01-25,MFC,19.16,19.47,19.1,19.45,3890942.0
2023-01-26,MFC,19.54,19.93,19.51,19.93,4392198.0
2023-01-27,MFC,19.81,19.885,19.63,19.65,3971927.0
2023-01-30,MFC,19.39,19.595,19.39,19.51,3732979.0
2023-01-31,MFC,19.47,19.8,19.335,19.8,3793588.0
2023-02-01,MFC,19.7,20.06,19.5825,20.04,5295475.0
2023-02-02,MFC,20.1,20.15,19.55,19.7,3962931.0
2023-02-03,MFC,19.49,19.7,19.435,19.57,3493572.0
2023-02-06,MFC,19.36,19.47,19.155,19.22,3450913.0
