Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,MFIC,12.38,12.4,12.23,12.27,134367.0
2022-11-14,MFIC,12.25,12.31,12.04,12.21,149132.0
2022-11-15,MFIC,12.31,12.45,12.2,12.27,124168.0
2022-11-16,MFIC,12.24,12.28,12.11,12.18,146736.0
2022-11-17,MFIC,12.13,12.23,11.99,12.22,190351.0
2022-11-18,MFIC,12.26,12.4,12.215,12.28,132222.0
2022-11-21,MFIC,12.23,12.4,12.09,12.35,180191.0
2022-11-22,MFIC,12.31,12.43,12.28,12.38,150257.0
2022-11-23,MFIC,12.32,12.52,12.32,12.45,221376.0
2022-11-25,MFIC,12.42,12.5355,12.4,12.5,46429.0
2022-11-28,MFIC,12.48,12.5,12.15,12.2,207696.0
2022-11-29,MFIC,12.19,12.31,12.19,12.29,110605.0
2022-11-30,MFIC,12.2,12.41,12.18,12.39,156438.0
2022-12-01,MFIC,12.38,12.4699,12.24,12.26,287008.0
2022-12-02,MFIC,12.2,12.36,12.15,12.31,133611.0
2022-12-05,MFIC,12.23,12.3103,12.19,12.2,200951.0
2022-12-06,MFIC,12.15,12.25,12.03,12.05,226477.0
2022-12-07,MFIC,12.01,12.105,11.99,12.01,132626.0
2022-12-08,MFIC,12.0,12.25,12.0,12.13,204714.0
2022-12-09,MFIC,12.1,12.25,12.05,12.1,225070.0
2022-12-12,MFIC,12.1,12.24,12.07,12.15,162566.0
2022-12-13,MFIC,12.4,12.4,12.21,12.26,224040.0
2022-12-14,MFIC,12.26,12.27,12.07,12.15,245368.0
2022-12-15,MFIC,12.09,12.17,11.95,12.08,503894.0
2022-12-16,MFIC,11.57,11.6775,11.21,11.33,575121.0
2022-12-19,MFIC,11.27,11.32,11.02,11.11,309025.0
2022-12-20,MFIC,11.02,11.235,11.02,11.15,215337.0
2022-12-21,MFIC,11.27,11.44,11.24,11.27,171676.0
2022-12-22,MFIC,11.2,11.32,11.02,11.315,215801.0
2022-12-23,MFIC,11.32,11.63,11.3,11.6,248683.0
2022-12-27,MFIC,11.6,11.725,11.54,11.59,278331.0
2022-12-28,MFIC,11.56,11.65,11.35,11.36,244690.0
2022-12-29,MFIC,11.36,11.68,11.36,11.56,228868.0
2022-12-30,MFIC,11.49,11.64,11.31,11.4,215268.0
2023-01-03,MFIC,11.52,11.75,11.52,11.63,225059.0
2023-01-04,MFIC,11.64,11.86,11.64,11.78,172345.0
