Date,Ticker,Open,High,Low,Close,Volume
2023-12-19,MFICL,25.13,25.22,25.09,25.18,223194
2023-12-20,MFICL,25.15,25.29,24.88,25.01,180484
2023-12-21,MFICL,25.13,25.14,25.0,25.06,83444
2023-12-22,MFICL,25.14,25.19,25.02,25.14,60853
2023-12-26,MFICL,25.19,25.45,25.15,25.37,39299
2023-12-27,MFICL,25.2898,25.52,25.2897,25.42,27553
2023-12-28,MFICL,25.22,25.7,25.22,25.5,56566
2023-12-29,MFICL,25.62,25.64,25.39,25.5,23132
2024-01-02,MFICL,25.46,25.49,25.3872,25.44,19685
2024-01-03,MFICL,25.4,25.59,25.38,25.41,24916
2024-01-04,MFICL,25.39,25.4,25.3,25.39,17137
2024-01-05,MFICL,25.39,25.5,25.32,25.41,22630
2024-01-08,MFICL,25.31,25.42,25.24,25.3,49442
2024-01-09,MFICL,25.29,25.38,25.1,25.32,33018
2024-01-10,MFICL,25.25,25.3499,25.2,25.3299,12020
2024-01-11,MFICL,25.3,25.37,25.26,25.37,5684
2024-01-12,MFICL,25.47,25.47,25.31,25.35,9838
2024-01-16,MFICL,25.3,25.45,25.2,25.32,10570
2024-01-17,MFICL,25.2499,25.25,25.12,25.15,68056
2024-01-18,MFICL,25.16,25.25,25.16,25.21,23866
2024-01-19,MFICL,25.26,25.35,25.21,25.31,26423
2024-01-22,MFICL,25.31,25.42,25.27,25.31,36011
2024-01-23,MFICL,25.27,25.38,25.22,25.29,19220
2024-01-24,MFICL,25.25,25.35,25.25,25.26,59851
2024-01-25,MFICL,25.26,25.34,25.26,25.27,60588
2024-01-26,MFICL,25.29,25.37,25.25,25.27,60565
2024-01-29,MFICL,25.28,25.31,25.24,25.25,53339
2024-01-30,MFICL,25.34,25.3799,25.22,25.25,38424
2024-01-31,MFICL,25.2,25.2999,25.2,25.25,46743
2024-02-01,MFICL,25.26,25.32,25.16,25.26,24277
2024-02-02,MFICL,25.27,25.35,25.26,25.3248,13089
2024-02-05,MFICL,25.3,25.3,25.06,25.27,13790
2024-02-06,MFICL,25.3299,25.34,25.26,25.31,5650
2024-02-07,MFICL,25.32,25.35,25.3001,25.33,10043
2024-02-08,MFICL,25.29,25.34,25.29,25.34,5543
2024-02-09,MFICL,25.3102,25.3599,25.25,25.26,18505
2024-02-12,MFICL,25.35,25.35,25.25,25.26,26106
2024-02-13,MFICL,25.23,25.3,25.2101,25.24,14111
