Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,MGY,26.42,27.18,26.37,27.08,1444427.0
2022-11-14,MGY,26.73,27.55,26.64,26.64,2122848.0
2022-11-15,MGY,26.98,27.46,26.4886,27.44,1660840.0
2022-11-16,MGY,27.02,27.05,26.23,26.34,1168234.0
2022-11-17,MGY,26.1,26.13,25.33,26.09,1494555.0
2022-11-18,MGY,25.57,26.31,24.32,26.31,1669416.0
2022-11-21,MGY,25.54,25.71,24.44,25.59,1722052.0
2022-11-22,MGY,26.0,26.72,25.75,26.71,1629177.0
2022-11-23,MGY,26.29,26.5497,25.76,25.9,1483917.0
2022-11-25,MGY,26.19,26.37,25.83,25.89,555263.0
2022-11-28,MGY,24.88,25.28,24.57,24.99,1171959.0
2022-11-29,MGY,25.47,25.73,25.14,25.33,1357450.0
2022-11-30,MGY,25.84,26.1,25.4,26.08,1787575.0
2022-12-01,MGY,26.5,26.785,25.48,25.63,2033786.0
2022-12-02,MGY,25.43,25.91,25.43,25.77,1034435.0
2022-12-05,MGY,26.32,26.37,24.015,24.25,1369439.0
2022-12-06,MGY,24.13,24.56,23.21,23.57,1173235.0
2022-12-07,MGY,23.67,23.9599,23.03,23.28,852819.0
2022-12-08,MGY,23.89,24.23,22.34,22.48,1646410.0
2022-12-09,MGY,22.49,22.84,22.13,22.15,1181094.0
2022-12-12,MGY,22.35,22.95,22.2,22.75,1986474.0
2022-12-13,MGY,23.19,23.69,22.98,23.22,1566582.0
2022-12-14,MGY,23.37,23.71,22.97,23.21,1563157.0
2022-12-15,MGY,22.98,23.37,22.65,23.37,1505259.0
2022-12-16,MGY,22.64,23.12,22.36,22.91,2802033.0
2022-12-19,MGY,23.16,23.365,22.48,22.57,1129366.0
2022-12-20,MGY,22.47,22.8898,22.37,22.71,891550.0
2022-12-21,MGY,23.27,23.46,22.84,23.4,1044894.0
2022-12-22,MGY,23.39,23.39,22.51,23.01,1500847.0
2022-12-23,MGY,23.4,24.1,23.28,24.07,722426.0
2022-12-27,MGY,24.34,24.34,23.84,23.95,745610.0
2022-12-28,MGY,23.74,23.78,22.87,22.94,1125311.0
2022-12-29,MGY,22.76,23.46,22.7,23.34,823832.0
2022-12-30,MGY,23.13,23.47,23.0,23.45,740242.0
2023-01-03,MGY,23.24,23.25,21.785,22.18,1731046.0
2023-01-04,MGY,21.75,22.715,21.52,22.38,1256414.0
2023-01-05,MGY,22.08,22.2,21.15,22.02,2486187.0
