Date,Ticker,Open,High,Low,Close,Volume
2022-11-16,MITAU,9.9,9.9,9.9,9.9,450
2022-11-17,MITAU,9.93,9.93,9.93,9.93,1010
2022-11-21,MITAU,9.96,9.97,9.96,9.97,1030
2022-11-22,MITAU,9.98,10.01,9.975,9.975,1050
2022-11-23,MITAU,9.97,9.97,9.97,9.97,122
2022-11-29,MITAU,9.955,10.0,9.955,9.99,771
2022-11-30,MITAU,9.97,10.02,9.97,10.0199,5800
2022-12-01,MITAU,10.02,10.03,9.92,10.03,23140
2022-12-02,MITAU,9.96,9.965,9.96,9.965,400
2022-12-05,MITAU,10.0,10.03,9.99,10.01,25121
2022-12-06,MITAU,10.005,10.005,9.97,10.005,1000
2022-12-08,MITAU,10.0,10.0,9.99,10.0,3367
2022-12-09,MITAU,10.0,10.0,10.0,10.0,100
2022-12-15,MITAU,10.02,10.02,10.01,10.02,6328
2022-12-22,MITAU,10.02,10.03,10.02,10.03,300
2022-12-23,MITAU,10.04,10.04,10.03,10.04,2224
2022-12-28,MITAU,10.02,10.02,10.02,10.02,1290
2022-12-30,MITAU,10.02,10.04,10.02,10.04,10800
2023-01-03,MITAU,10.03,10.08,10.03,10.08,8057
2023-01-04,MITAU,10.059,10.075,10.04,10.05,13300
2023-01-06,MITAU,10.06,10.07,10.06,10.07,601
2023-01-10,MITAU,10.545,10.545,10.05,10.09,702
2023-01-12,MITAU,10.05,10.07,10.0422,10.05,2800
2023-01-17,MITAU,9.9,10.08,9.9,10.08,3324
2023-01-20,MITAU,10.14,10.335,10.1,10.1,10251
2023-01-24,MITAU,10.15,10.15,10.1101,10.12,1703
2023-01-25,MITAU,10.08,10.6156,10.06,10.1201,5061
2023-01-26,MITAU,10.16,10.625,10.1201,10.14,6150
2023-01-27,MITAU,10.19,10.675,10.1201,10.1911,1252
2023-01-31,MITAU,10.12,10.12,10.1,10.1,1000
2023-02-02,MITAU,10.12,10.14,10.09,10.1234,36035
2023-02-03,MITAU,10.13,10.13,10.11,10.12,9050
2023-02-06,MITAU,10.14,10.17,10.14,10.17,501
2023-02-07,MITAU,10.14,10.15,10.14,10.15,1311
2023-02-08,MITAU,10.14,10.14,10.14,10.14,600
2023-02-09,MITAU,10.145,10.145,10.145,10.145,600
2023-02-14,MITAU,10.15,10.15,10.15,10.15,200
2023-02-15,MITAU,10.17,10.17,10.17,10.17,222
2023-02-16,MITAU,10.17,10.17,10.16,10.17,5500
2023-02-23,MITAU,10.1801,10.1801,10.18,10.18,221
2023-02-24,MITAU,10.17,10.18,10.17,10.18,3200
2023-03-01,MITAU,10.18,10.18,10.18,10.18,3200
2023-03-03,MITAU,10.21,10.22,10.21,10.22,10469
2023-03-06,MITAU,10.2101,10.2101,10.21,10.21,600
2023-03-07,MITAU,10.22,10.23,10.22,10.23,9623
2023-03-09,MITAU,10.23,10.23,10.23,10.23,1000
2023-03-17,MITAU,10.27,10.3229,10.24,10.24,900
2023-03-21,MITAU,10.23,10.3253,10.22,10.2301,1600
2023-03-27,MITAU,10.24,10.2697,10.24,10.2697,1800
2023-03-28,MITAU,10.24,10.24,10.24,10.24,750
2023-04-04,MITAU,10.25,10.25,10.25,10.25,100
2023-04-06,MITAU,10.26,10.26,10.26,10.26,110
2023-04-11,MITAU,10.27,10.27,10.27,10.27,100
2023-04-12,MITAU,10.36,10.36,10.25,10.25,990
2023-04-13,MITAU,10.25,10.25,10.25,10.25,100
2023-04-21,MITAU,10.29,10.29,10.29,10.29,100
2023-04-25,MITAU,10.29,10.29,10.29,10.29,100
2023-04-26,MITAU,10.29,10.29,10.29,10.29,100
2023-04-27,MITAU,10.29,10.29,10.29,10.29,200
2023-05-01,MITAU,10.3,10.3001,10.3,10.3,300
2023-05-08,MITAU,10.3,10.3,10.3,10.3,1600
2023-05-09,MITAU,10.3,10.3,10.3,10.3,3001
2023-05-10,MITAU,10.32,10.32,10.32,10.32,3900
2023-05-11,MITAU,10.32,10.32,10.315,10.32,2700
2023-05-12,MITAU,10.32,10.33,10.32,10.32,63200
2023-05-15,MITAU,10.4,10.4,10.33,10.33,16200
