Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,MOND,10.0,10.0,9.18,9.9,16417.0
2022-11-14,MOND,9.5,9.9,9.5,9.5624,12525.0
2022-11-15,MOND,9.4,9.7499,9.08,9.405,9932.0
2022-11-16,MOND,9.49,9.5,9.16,9.25,4407.0
2022-11-17,MOND,9.05,9.2,8.97,8.9863,34397.0
2022-11-18,MOND,9.0,9.2,8.89,9.18,13781.0
2022-11-21,MOND,8.95,9.3,8.88,9.0,9809.0
2022-11-22,MOND,8.85,9.0,8.507,8.71,10849.0
2022-11-23,MOND,8.4,8.7,8.37,8.5999,31845.0
2022-11-25,MOND,8.5485,8.5485,7.95,8.0,4481.0
2022-11-28,MOND,8.25,8.25,8.0,8.15,13971.0
2022-11-29,MOND,8.01,8.45,7.7,7.9999,108399.0
2022-11-30,MOND,7.8,8.0,7.6,7.705,31306.0
2022-12-01,MOND,7.8616,8.0,7.5,7.6,10798.0
2022-12-02,MOND,7.89,7.95,7.65,7.78,9666.0
2022-12-05,MOND,7.68,7.87,7.24,7.6,19456.0
2022-12-06,MOND,7.85,7.91,7.271,7.8801,19750.0
2022-12-07,MOND,7.605,8.5,7.605,8.4106,36774.0
2022-12-08,MOND,8.34,8.35,7.94,8.12,9613.0
2022-12-09,MOND,8.3,8.35,8.01,8.02,9465.0
2022-12-12,MOND,8.2,9.5,8.125,8.62,45169.0
2022-12-13,MOND,9.48,9.48,7.68,8.73,11043.0
2022-12-14,MOND,9.5,9.5,8.75,9.15,50381.0
2022-12-15,MOND,9.49,10.585,9.19,10.585,33072.0
2022-12-16,MOND,10.19,12.37,9.6001,12.25,229158.0
2022-12-19,MOND,12.0,12.0,10.05,11.3,57622.0
2022-12-20,MOND,11.31,11.63,11.06,11.375,53953.0
2022-12-21,MOND,11.0,11.81,11.0,11.772,38084.0
2022-12-22,MOND,11.5343,11.86,10.27,11.8,30518.0
2022-12-23,MOND,11.5,11.75,11.11,11.75,23640.0
2022-12-27,MOND,11.33,11.5,10.22,10.22,48113.0
2022-12-28,MOND,10.5,10.8725,9.95,9.95,26388.0
2022-12-29,MOND,11.26,11.26,10.3,10.4,6076.0
2022-12-30,MOND,10.8851,10.8851,9.96,10.8806,14523.0
