Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,MSB,18.95,20.73,18.715,20.6,70514
2022-11-14,MSB,20.35,20.54,19.93,20.04,37538
2022-11-15,MSB,19.78,20.375,19.46,20.0,74413
2022-11-16,MSB,19.7,21.21,19.65,20.57,67874
2022-11-17,MSB,20.79,21.48,20.2515,21.12,42084
2022-11-18,MSB,21.13,21.7253,20.4193,20.93,36678
2022-11-21,MSB,20.78,21.28,20.21,20.9,64353
2022-11-22,MSB,20.95,21.6,20.3872,20.83,38484
2022-11-23,MSB,20.4,21.3,20.3801,21.16,26610
2022-11-25,MSB,20.95,21.5,20.68,20.82,15873
2022-11-28,MSB,20.41,20.855,20.0601,20.34,33041
2022-11-29,MSB,20.47,20.56,20.0,20.38,25593
2022-11-30,MSB,20.44,20.6,19.88,20.14,31375
2022-12-01,MSB,20.0,20.69,19.8,19.87,39607
2022-12-02,MSB,19.8,19.8,18.5847,18.96,109848
2022-12-05,MSB,19.0,19.2,18.28,18.44,65477
2022-12-06,MSB,18.45,18.73,18.27,18.56,85718
2022-12-07,MSB,18.48,19.1399,18.33,18.48,49196
2022-12-08,MSB,18.56,19.08,17.75,18.36,76387
2022-12-09,MSB,18.25,18.69,18.02,18.14,61342
2022-12-12,MSB,17.62,18.68,17.35,18.3,109236
2022-12-13,MSB,18.75,18.9499,18.6,18.92,63482
2022-12-14,MSB,18.9,19.2,18.815,18.96,51595
2022-12-15,MSB,18.66,18.75,18.0401,18.12,54911
2022-12-16,MSB,18.0,18.22,17.95,18.1,49809
2022-12-19,MSB,18.07,18.51,17.76,18.07,56429
2022-12-20,MSB,17.91,18.7,17.91,18.16,59821
2022-12-21,MSB,18.21,18.54,17.82,17.95,68090
2022-12-22,MSB,17.71,18.14,17.63,17.91,53095
2022-12-23,MSB,17.94,18.155,17.78,18.09,81005
2022-12-27,MSB,18.24,18.97,18.06,18.71,71448
2022-12-28,MSB,18.67,18.67,17.955,18.07,49200
2022-12-29,MSB,17.99,18.57,17.99,18.16,65012
2022-12-30,MSB,18.03,18.39,17.8724,18.02,53216
2023-01-03,MSB,18.03,18.373,17.9601,18.04,35479
2023-01-04,MSB,17.91,18.39,17.7101,17.78,34425
2023-01-05,MSB,17.78,17.95,17.5,17.81,41010
2023-01-06,MSB,17.86,18.58,17.86,18.3,59963
2023-01-09,MSB,18.41,19.21,18.37,18.97,54611
2023-01-10,MSB,18.79,19.27,18.6,19.09,36496
2023-01-11,MSB,19.2,20.66,19.2,20.64,63514
2023-01-12,MSB,20.72,21.125,20.12,20.73,59584
2023-01-13,MSB,19.83,20.5,19.5,19.8,127128
2023-01-17,MSB,19.65,19.79,19.5,19.71,56774
2023-01-18,MSB,19.77,20.68,19.77,19.89,63820
2023-01-19,MSB,20.13,20.45,19.5,20.285,44601
2023-01-20,MSB,20.2,20.77,20.14,20.41,48711
2023-01-23,MSB,20.51,20.72,20.0153,20.15,53117
2023-01-24,MSB,20.03,20.69,19.99,20.1,42410
2023-01-25,MSB,20.0,21.82,19.9,21.82,100374
2023-01-26,MSB,21.91,22.66,21.45,22.46,63450
2023-01-27,MSB,22.46,24.04,22.46,23.88,94016
2023-01-30,MSB,23.29,23.84,22.9493,23.65,55007
2023-01-31,MSB,23.28,23.52,22.8728,23.03,58846
2023-02-01,MSB,22.9,22.9,21.455,21.96,130505
2023-02-02,MSB,21.99,21.99,20.705,20.84,53636
2023-02-03,MSB,20.41,21.9537,20.351,21.75,73727
2023-02-06,MSB,21.36,21.75,20.71,21.54,63387
2023-02-07,MSB,21.29,22.77,21.02,22.31,88819
2023-02-08,MSB,22.14,22.6,21.85,22.04,47176
2023-02-09,MSB,22.33,22.7699,21.53,21.8,72363
2023-02-10,MSB,21.78,22.48,21.71,22.28,38904
2023-02-13,MSB,22.34,23.328,22.12,22.76,60015
2023-02-14,MSB,22.8,23.5,22.41,23.43,69366
2023-02-15,MSB,23.33,23.71,23.04,23.48,69616
2023-02-16,MSB,23.48,24.55,23.45,24.07,43361
2023-02-17,MSB,23.92,24.25,23.76,24.05,64339
2023-02-21,MSB,24.07,26.25,24.07,25.67,187930
2023-02-22,MSB,25.52,26.99,25.51,26.69,123016
2023-02-23,MSB,26.35,27.67,26.35,27.46,129494
2023-02-24,MSB,26.44,28.2,25.33,27.17,175323
2023-02-27,MSB,26.51,27.0799,24.37,24.5,119418
2023-02-28,MSB,24.19,26.0,23.87,25.48,114820
2023-03-01,MSB,24.61,26.84,24.39,26.62,106859
2023-03-02,MSB,26.16,27.425,26.16,27.13,38012
2023-03-03,MSB,27.69,28.995,27.125,27.87,95871
2023-03-06,MSB,27.46,27.73,26.77,26.93,36830
2023-03-07,MSB,26.96,27.195,26.0802,26.77,32010
2023-03-08,MSB,26.39,27.43,26.1,27.19,45653
2023-03-09,MSB,26.9,27.765,26.5001,26.91,46684
2023-03-10,MSB,26.87,26.87,25.25,25.37,56827
