Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,MTCH,49.02,52.355,48.645,51.44,4649548.0
2022-11-14,MTCH,50.94,50.97,48.61,48.68,3821703.0
2022-11-15,MTCH,51.0,52.34,50.4,51.92,5275245.0
2022-11-16,MTCH,51.0,51.24,49.135,49.34,2210751.0
2022-11-17,MTCH,47.58,48.6,46.61,47.03,2960729.0
2022-11-18,MTCH,47.78,47.89,45.71,46.4,2828010.0
2022-11-21,MTCH,46.02,47.23,45.09,46.98,3045257.0
2022-11-22,MTCH,47.23,47.42,45.97,47.3,2616960.0
2022-11-23,MTCH,47.57,48.58,47.19,48.27,1826747.0
2022-11-25,MTCH,47.71,47.96,46.89,47.27,883505.0
2022-11-28,MTCH,47.03,47.82,46.4,47.46,2906958.0
2022-11-29,MTCH,47.27,48.28,46.36,46.88,2723039.0
2022-11-30,MTCH,46.86,50.72,46.86,50.56,4109931.0
2022-12-01,MTCH,50.79,51.64,49.41,49.96,3791111.0
2022-12-02,MTCH,48.38,49.31,47.6,48.67,3084470.0
2022-12-05,MTCH,48.35,48.785,45.6,45.78,4937979.0
2022-12-06,MTCH,45.73,45.98,41.89,43.33,6039737.0
2022-12-07,MTCH,43.24,43.6,42.24,43.05,3592903.0
2022-12-08,MTCH,43.59,45.11,42.625,44.03,4778703.0
2022-12-09,MTCH,43.71,44.67,43.15,43.58,5697416.0
2022-12-12,MTCH,43.77,44.19,42.49,43.55,4589810.0
2022-12-13,MTCH,46.2,48.12,45.18,46.89,9652627.0
2022-12-14,MTCH,46.79,47.45,44.26,44.56,5289635.0
2022-12-15,MTCH,43.29,43.975,41.685,41.95,4475463.0
2022-12-16,MTCH,41.5,42.18,41.0,41.94,20063109.0
2022-12-19,MTCH,42.23,42.775,39.81,40.37,5160097.0
2022-12-20,MTCH,39.86,41.4146,39.602,40.02,3234578.0
2022-12-21,MTCH,40.235,40.97,39.94,40.71,3670437.0
2022-12-22,MTCH,39.68,40.13,38.665,39.89,3786871.0
2022-12-23,MTCH,39.78,40.65,39.18,40.58,3096437.0
2022-12-27,MTCH,40.25,40.5,39.05,39.18,4565477.0
2022-12-28,MTCH,39.01,39.5669,38.64,39.35,2911932.0
2022-12-29,MTCH,40.2,41.521,39.76,41.09,3056470.0
2022-12-30,MTCH,40.22,41.54,40.14,41.49,2741193.0
2023-01-03,MTCH,42.35,42.87,40.4,41.06,4104219.0
2023-01-04,MTCH,42.16,42.71,41.625,42.26,5475456.0
2023-01-05,MTCH,42.2,42.57,41.3,42.5,3358139.0
2023-01-06,MTCH,42.82,42.82,41.07,42.35,3201074.0
2023-01-09,MTCH,43.24,45.92,43.24,43.87,5451061.0
2023-01-10,MTCH,44.11,44.975,43.58,44.97,3059520.0
2023-01-11,MTCH,44.91,45.82,44.6,45.68,3202929.0
2023-01-12,MTCH,46.06,46.4,44.33,46.06,3011887.0
2023-01-13,MTCH,45.47,46.355,45.3,46.13,2971031.0
2023-01-17,MTCH,46.16,47.79,45.79,47.29,4308091.0
2023-01-18,MTCH,47.8,48.57,46.75,47.21,3401772.0
2023-01-19,MTCH,46.3,47.96,46.16,47.84,2394651.0
2023-01-20,MTCH,48.51,50.9,48.17,50.42,4021770.0
2023-01-23,MTCH,50.78,52.295,50.56,52.07,3649087.0
2023-01-24,MTCH,51.67,52.385,50.71,50.85,2469297.0
