Date,Ticker,Open,High,Low,Close,Volume
2024-04-18,MTEN,4.0,4.0,3.0,3.5,468085
2024-04-19,MTEN,3.28,4.0,3.27,3.7,403433
2024-04-22,MTEN,3.5333,3.7,3.4201,3.55,47255
2024-04-23,MTEN,3.5,4.14,3.47,3.75,308615
2024-04-24,MTEN,3.67,4.07,3.67,4.0,241282
2024-04-25,MTEN,3.93,4.25,3.8,3.99,465962
2024-04-26,MTEN,3.97,4.1,3.9,3.9504,194734
2024-04-29,MTEN,3.9501,4.12,3.85,4.03,104114
2024-04-30,MTEN,4.05,4.355,4.0365,4.1499,279711
2024-05-01,MTEN,4.23,4.23,4.06,4.12,109247
2024-05-02,MTEN,4.05,4.77,4.05,4.5015,170753
2024-05-03,MTEN,4.5,4.79,4.3869,4.61,84907
2024-05-06,MTEN,4.47,5.41,4.41,5.41,151318
2024-05-07,MTEN,5.38,6.9784,5.1,6.5,369354
2024-05-08,MTEN,6.55,7.1299,6.33,7.0,316077
2024-05-09,MTEN,6.33,6.39,5.25,6.01,105804
2024-05-10,MTEN,5.93,6.21,5.34,5.99,59195
2024-05-13,MTEN,5.77,6.7699,5.77,6.61,132284
2024-05-14,MTEN,6.5542,6.95,6.5,6.82,92864
2024-05-15,MTEN,6.78,6.9514,6.51,6.75,139280
2024-05-16,MTEN,6.72,6.9995,6.665,6.85,79156
2024-05-17,MTEN,6.97,7.1,5.65,5.71,128361
2024-05-20,MTEN,5.53,5.99,5.53,5.77,74094
2024-05-21,MTEN,5.67,5.966,5.67,5.92,17250
2024-05-22,MTEN,6.0,6.4563,5.9,6.0874,64027
2024-05-23,MTEN,6.09,6.7,6.09,6.37,140012
2024-05-24,MTEN,6.4,6.6708,6.23,6.29,88396
2024-05-28,MTEN,6.43,6.5,6.1,6.3675,40449
2024-05-29,MTEN,6.48,6.48,5.42,5.68,87232
2024-05-30,MTEN,5.7,5.7,4.73,5.15,87788
2024-05-31,MTEN,5.5,5.5,4.41,5.25,46122
2024-06-03,MTEN,5.2,5.96,5.05,5.65,53415
2024-06-04,MTEN,5.31,5.79,5.21,5.56,123986
2024-06-05,MTEN,5.62,5.802,5.3,5.515,55349
2024-06-06,MTEN,5.5,6.01,5.4,5.8,60960
2024-06-07,MTEN,5.85,6.24,5.6,6.1244,108857
2024-06-10,MTEN,6.2,6.29,5.715,5.95,96366
2024-06-11,MTEN,6.09,6.26,5.1,5.3498,194417
2024-06-12,MTEN,5.49,5.49,4.51,4.79,150987
2024-06-13,MTEN,4.5,4.89,4.41,4.55,112430
2024-06-14,MTEN,4.405,4.9467,4.405,4.75,75499
2024-06-17,MTEN,4.58,4.7354,4.44,4.5,106435
2024-06-18,MTEN,4.491,4.85,4.01,4.4,82047
2024-06-20,MTEN,4.45,4.8255,4.335,4.51,142662
2024-06-21,MTEN,4.56,4.65,4.3101,4.41,127446
2024-06-24,MTEN,4.32,4.645,3.6846,4.08,228305
2024-06-25,MTEN,4.14,4.5,3.75,3.86,135936
2024-06-26,MTEN,3.9,4.0681,3.795,3.91,133029
2024-06-27,MTEN,4.01,4.41,3.02,3.3624,189817
2024-06-28,MTEN,3.2,3.2,2.65,2.85,171563
2024-07-01,MTEN,2.73,2.73,2.5,2.58,18492
2024-07-02,MTEN,2.5963,2.8,2.38,2.45,46911
2024-07-03,MTEN,2.741,2.7464,2.4,2.4,44346
2024-07-05,MTEN,2.4502,2.6786,2.14,2.22,17390
2024-07-08,MTEN,2.23,2.2398,1.805,2.04,101065
2024-07-09,MTEN,1.93,2.34,1.93,2.34,71329
2024-07-10,MTEN,2.1602,2.37,2.1602,2.37,26018
2024-07-11,MTEN,2.4998,2.7752,2.3101,2.45,170724
2024-07-12,MTEN,2.6,3.16,2.4725,2.58,165378
2024-07-15,MTEN,2.44,2.77,2.26,2.26,76368
2024-07-16,MTEN,2.71,2.71,2.28,2.39,76835
2024-07-17,MTEN,2.26,2.525,2.22,2.39,48585
2024-07-18,MTEN,2.37,2.7,2.21,2.46,49453
2024-07-19,MTEN,2.6,2.65,2.3517,2.65,50887
2024-07-22,MTEN,2.64,2.7799,2.5862,2.65,33031
2024-07-23,MTEN,2.78,3.414,2.6,2.7128,361461
2024-07-24,MTEN,2.78,3.605,2.78,3.22,345265
2024-07-25,MTEN,3.42,3.59,3.03,3.4801,207474
2024-07-26,MTEN,3.49,3.78,3.3301,3.77,163978
2024-07-29,MTEN,3.78,3.89,3.36,3.51,179038
2024-07-30,MTEN,3.6,3.73,3.45,3.639,49406
2024-07-31,MTEN,3.6799,3.78,3.63,3.72,54872
2024-08-01,MTEN,3.52,3.78,3.245,3.78,47902
2024-08-02,MTEN,3.79,4.34,3.52,3.73,115778
2024-08-05,MTEN,3.32,3.85,3.32,3.72,56902
2024-08-06,MTEN,3.6248,3.9802,3.6248,3.92,30403
2024-08-07,MTEN,3.8101,4.3155,3.7664,3.93,85012
2024-08-08,MTEN,3.94,4.2,3.8022,3.95,37332
2024-08-09,MTEN,4.0,4.28,3.9052,4.28,48883
2024-08-12,MTEN,4.28,4.39,4.0944,4.38,31155
2024-08-13,MTEN,4.2828,4.71,4.1,4.58,27077
2024-08-14,MTEN,4.405,4.7,4.375,4.48,42914
2024-08-15,MTEN,4.4,5.0632,4.4,4.88,104261
2024-08-16,MTEN,4.92,5.1,4.775,4.84,44455
2024-08-19,MTEN,4.8,5.18,4.75,5.03,80540
2024-08-20,MTEN,5.15,5.21,4.83,5.09,70127
2024-08-21,MTEN,5.025,5.42,5.0,5.185,20049
2024-08-22,MTEN,5.4,5.46,5.05,5.18,19745
2024-08-23,MTEN,5.1859,5.55,5.15,5.24,23121
2024-08-26,MTEN,5.29,5.79,5.2565,5.74,34732
2024-08-27,MTEN,5.67,5.75,5.11,5.4,46168
2024-08-28,MTEN,5.46,5.47,5.27,5.31,26777
2024-08-29,MTEN,5.39,5.6,5.1,5.11,37610
2024-08-30,MTEN,5.14,5.18,4.8,4.8,57717
2024-09-03,MTEN,4.72,4.805,4.01,4.35,46969
2024-09-04,MTEN,4.32,4.87,4.1,4.22,12736
2024-09-05,MTEN,4.2,4.94,4.1143,4.94,14857
2024-09-06,MTEN,5.0,5.0,4.1,4.34,48349
2024-09-09,MTEN,4.26,4.555,4.26,4.5,6414
2024-09-10,MTEN,4.2998,4.499,4.28,4.3,3091
2024-09-11,MTEN,4.42,4.53,4.2,4.39,7791
2024-09-12,MTEN,4.34,4.59,4.34,4.49,3203
2024-09-13,MTEN,4.51,4.65,4.37,4.37,8168
2024-09-16,MTEN,4.51,4.6,4.33,4.41,15126
2024-09-17,MTEN,4.39,4.6,4.3,4.52,14284
2024-09-18,MTEN,4.64,4.75,4.5,4.55,11081
2024-09-19,MTEN,4.66,4.93,4.66,4.67,14563
2024-09-20,MTEN,4.66,4.91,4.55,4.61,17059
2024-09-23,MTEN,4.67,4.8,4.52,4.55,21121
2024-09-24,MTEN,4.57,4.72,4.51,4.51,20885
2024-09-25,MTEN,4.59,4.7,4.52,4.52,21883
2024-09-26,MTEN,4.4063,4.9,4.14,4.51,33111
2024-09-27,MTEN,4.5,4.7822,4.47,4.6836,34483
2024-09-30,MTEN,4.65,4.66,4.305,4.6,54458
2024-10-01,MTEN,4.42,4.67,4.2297,4.46,90319
2024-10-02,MTEN,4.562,4.5804,4.45,4.49,24253
2024-10-03,MTEN,4.51,4.55,4.44,4.46,32480
2024-10-04,MTEN,4.5,4.56,4.15,4.47,57665
2024-10-07,MTEN,4.47,4.587,4.38,4.42,35368
2024-10-08,MTEN,4.43,4.57,4.36,4.44,32777
