Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,MTSI,69.15,71.555,68.5001,71.04,829100.0
2022-11-14,MTSI,70.01,71.93,69.42,70.35,597589.0
2022-11-15,MTSI,71.61,72.64,70.6,71.82,854409.0
2022-11-16,MTSI,70.34,71.21,68.79,69.19,389712.0
2022-11-17,MTSI,67.75,70.09,67.75,69.28,639509.0
2022-11-18,MTSI,70.09,70.8,68.39,69.06,527342.0
2022-11-21,MTSI,68.16,69.0,68.015,68.27,209530.0
2022-11-22,MTSI,68.63,69.29,68.02,69.2,327428.0
2022-11-23,MTSI,69.2,69.44,68.31,69.06,408675.0
2022-11-25,MTSI,68.8,69.29,68.32,68.44,159650.0
2022-11-28,MTSI,67.53,68.46,66.1,66.2,288650.0
2022-11-29,MTSI,66.13,67.13,65.39,65.65,654436.0
2022-11-30,MTSI,65.65,68.71,64.76,68.69,776972.0
2022-12-01,MTSI,68.69,69.8948,67.58,68.35,722087.0
2022-12-02,MTSI,66.94,68.96,66.7,68.77,337172.0
2022-12-05,MTSI,68.56,68.56,66.95,67.64,196982.0
2022-12-06,MTSI,67.46,67.84,66.165,66.69,369985.0
2022-12-07,MTSI,66.26,67.51,66.26,67.13,261700.0
2022-12-08,MTSI,67.47,68.56,66.99,67.98,411232.0
2022-12-09,MTSI,67.46,69.455,66.47,68.75,453092.0
2022-12-12,MTSI,68.48,69.75,68.29,68.94,249461.0
2022-12-13,MTSI,71.29,71.98,68.59,70.02,604989.0
2022-12-14,MTSI,69.91,70.28,67.7,68.36,256974.0
2022-12-15,MTSI,67.4,67.55,65.2,65.68,284223.0
2022-12-16,MTSI,65.09,65.69,64.36,65.53,686561.0
2022-12-19,MTSI,65.58,65.59,63.13,63.69,214515.0
2022-12-20,MTSI,63.3,64.79,62.74,64.21,159258.0
2022-12-21,MTSI,64.94,65.94,64.34,65.94,170297.0
2022-12-22,MTSI,64.65,65.09,62.78,64.14,245684.0
2022-12-23,MTSI,63.82,63.82,62.82,63.27,190872.0
2022-12-27,MTSI,63.09,63.265,61.8,62.1,219410.0
2022-12-28,MTSI,61.66,62.45,60.62,60.75,189566.0
2022-12-29,MTSI,61.95,63.24,61.1,62.87,191601.0
2022-12-30,MTSI,62.47,63.13,61.57,62.98,210233.0
2023-01-03,MTSI,64.36,64.36,61.0,61.57,350018.0
2023-01-04,MTSI,62.79,64.95,62.0163,62.33,237173.0
2023-01-05,MTSI,61.8,62.58,60.51,62.01,249722.0
2023-01-06,MTSI,62.67,65.06,61.64,64.91,220287.0
2023-01-09,MTSI,65.85,67.22,65.3882,65.81,205582.0
2023-01-10,MTSI,65.43,66.5,64.81,65.83,325088.0
2023-01-11,MTSI,62.62,64.04,61.14,64.0,803681.0
2023-01-12,MTSI,64.52,64.89,62.55,63.12,640427.0
2023-01-13,MTSI,62.84,64.41,62.36,64.17,464121.0
2023-01-17,MTSI,64.2,65.06,63.93,64.73,529099.0
2023-01-18,MTSI,65.35,67.17,65.32,65.45,634826.0
2023-01-19,MTSI,65.24,65.59,61.29,61.68,462114.0
2023-01-20,MTSI,62.74,62.88,60.38,62.48,579174.0
2023-01-23,MTSI,63.29,66.065,62.6,65.99,499967.0
2023-01-24,MTSI,65.72,66.615,64.695,66.19,353166.0
2023-01-25,MTSI,64.78,66.62,64.05,66.59,321522.0
2023-01-26,MTSI,67.28,68.22,66.04,68.18,316810.0
2023-01-27,MTSI,67.23,68.74,66.89,68.24,351158.0
2023-01-30,MTSI,66.95,67.7085,65.49,65.88,281586.0
2023-01-31,MTSI,65.76,67.06,65.76,67.02,333994.0
2023-02-01,MTSI,67.75,69.09,66.51,68.53,552838.0
2023-02-02,MTSI,68.5,68.5,65.42,66.52,1055051.0
2023-02-03,MTSI,64.76,68.22,64.57,65.99,587628.0
2023-02-06,MTSI,64.84,67.83,64.58,65.89,498003.0
2023-02-07,MTSI,66.09,68.9,65.58,68.61,472107.0
2023-02-08,MTSI,68.11,68.8,67.025,67.4,338032.0
2023-02-09,MTSI,68.62,69.17,67.35,67.51,311034.0
2023-02-10,MTSI,66.27,66.93,65.84,66.21,343907.0
2023-02-13,MTSI,66.43,67.77,66.06,67.73,315899.0
2023-02-14,MTSI,66.75,68.15,66.58,67.72,362771.0
2023-02-15,MTSI,66.62,68.0,66.18,67.99,362275.0
2023-02-16,MTSI,67.03,68.62,66.07,67.855,380187.0
2023-02-17,MTSI,67.25,68.13,67.01,67.95,420988.0
2023-02-21,MTSI,67.0,67.99,65.03,65.15,330256.0
2023-02-22,MTSI,65.37,65.78,64.43,65.2,291019.0
2023-02-23,MTSI,66.68,67.4,65.9204,67.34,333136.0
2023-02-24,MTSI,66.27,67.15,66.1497,67.07,355064.0
2023-02-27,MTSI,67.82,68.54,67.79,68.11,466145.0
2023-02-28,MTSI,67.51,69.61,67.51,68.54,616549.0
2023-03-01,MTSI,68.8,70.17,68.46,68.83,330548.0
2023-03-02,MTSI,67.7,69.87,67.095,69.86,397017.0
2023-03-03,MTSI,70.0,71.4,69.15,71.3,395491.0
2023-03-06,MTSI,71.58,71.58,70.12,70.45,593765.0
2023-03-07,MTSI,70.12,71.11,69.755,70.49,904122.0
2023-03-08,MTSI,71.0,72.77,70.97,72.37,611398.0
2023-03-09,MTSI,72.77,76.5609,71.73,72.0,879267.0
2023-03-10,MTSI,71.77,72.0,69.13,70.0,793533.0
2023-03-13,MTSI,68.98,70.685,68.63,68.91,674036.0
2023-03-14,MTSI,70.61,72.09,69.45,70.75,560093.0
2023-03-15,MTSI,69.48,69.63,66.43,68.58,588223.0
2023-03-16,MTSI,67.91,71.18,67.69,70.32,549661.0
2023-03-17,MTSI,70.67,70.86,68.06,68.88,988427.0
2023-03-20,MTSI,69.27,71.42,68.67,71.22,263947.0
2023-03-21,MTSI,71.98,72.74,68.85,71.77,216072.0
2023-03-22,MTSI,71.77,72.62,69.92,69.92,322273.0
2023-03-23,MTSI,71.07,72.37,69.86,70.9,391788.0
2023-03-24,MTSI,70.25,70.525,69.01,70.14,415254.0
2023-03-27,MTSI,70.72,71.1,69.6575,70.21,315859.0
2023-03-28,MTSI,69.83,70.155,66.72,67.74,411294.0
2023-03-29,MTSI,68.7,70.0,68.39,69.47,762120.0
2023-03-30,MTSI,70.02,70.28,69.45,69.58,327991.0
2023-03-31,MTSI,69.33,70.93,69.16,70.84,488652.0
2023-04-03,MTSI,70.63,70.91,69.02,70.1,347167.0
