Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,NAII,8.18,8.18,7.82,7.98,7028
2022-11-14,NAII,8.0,8.08,7.94,7.95,2425
2022-11-15,NAII,7.94,8.35,7.909,8.17,20266
2022-11-16,NAII,8.28,8.28,7.57,7.59,13020
2022-11-17,NAII,7.68,7.765,7.56,7.58,4369
2022-11-18,NAII,7.555,7.74,7.49,7.65,3285
2022-11-21,NAII,7.66,7.66,7.53,7.56,2936
2022-11-22,NAII,7.5,7.7546,7.49,7.52,3193
2022-11-23,NAII,7.54,7.81,7.5,7.7534,4967
2022-11-25,NAII,7.79,7.8001,7.79,7.8,1324
2022-11-28,NAII,7.51,7.77,7.4,7.4634,17400
2022-11-29,NAII,7.55,7.74,7.12,7.195,28550
2022-11-30,NAII,7.04,7.8505,7.04,7.35,5717
2022-12-01,NAII,7.55,7.7458,7.26,7.37,2174
2022-12-02,NAII,7.68,7.81,7.68,7.79,3065
2022-12-05,NAII,7.8,8.0,7.61,7.69,8113
2022-12-06,NAII,7.86,7.95,7.62,7.7,18231
2022-12-07,NAII,7.72,7.92,7.72,7.72,12358
2022-12-08,NAII,7.75,7.91,7.5,7.69,23118
2022-12-09,NAII,7.66,7.89,7.66,7.89,6623
2022-12-12,NAII,7.87,7.87,7.56,7.61,1874
2022-12-13,NAII,7.6375,7.9899,7.63,7.63,2399
2022-12-14,NAII,7.81,7.99,7.67,7.81,7917
2022-12-15,NAII,7.83,8.0193,7.54,7.9546,10556
2022-12-16,NAII,7.9818,8.03,7.9,8.0,14370
2022-12-19,NAII,7.95,8.11,7.64,7.77,8632
2022-12-20,NAII,7.9412,8.53,7.91,8.21,27837
2022-12-21,NAII,8.2,8.5267,8.2,8.22,6941
2022-12-22,NAII,8.5,8.74,8.1,8.74,1912
2022-12-23,NAII,8.1331,8.5152,8.11,8.42,9153
2022-12-28,NAII,7.91,8.36,7.9,8.15,9977
2022-12-29,NAII,8.11,8.35,8.015,8.35,5887
2022-12-30,NAII,8.0,8.5,7.92,8.39,10597
2023-01-03,NAII,7.951,8.75,7.951,8.2001,4923
2023-01-04,NAII,8.21,9.2,8.21,8.95,19763
2023-01-05,NAII,8.97,9.38,8.97,9.025,6337
2023-01-06,NAII,8.83,9.425,8.83,9.425,6830
2023-01-09,NAII,9.12,9.7,9.0,9.15,14940
2023-01-10,NAII,9.24,9.57,8.935,9.53,7081
2023-01-11,NAII,9.4175,10.12,9.4175,9.7786,8414
2023-01-12,NAII,9.73,9.92,9.53,9.92,6004
2023-01-13,NAII,9.75,9.8,9.6089,9.75,5685
2023-01-17,NAII,9.75,9.9,9.39,9.42,9940
2023-01-18,NAII,9.16,9.455,9.115,9.17,6383
2023-01-19,NAII,8.96,9.23,8.7218,8.7218,1909
2023-01-20,NAII,8.85,9.1406,8.745,8.82,16691
2023-01-23,NAII,8.96,8.99,8.66,8.76,9284
2023-01-24,NAII,9.76,9.76,8.71,8.76,3250
2023-01-25,NAII,9.0,9.1,9.0,9.1,3439
2023-01-26,NAII,9.1,9.36,8.72,8.99,17524
2023-01-27,NAII,9.2593,9.2593,8.98,9.05,5297
2023-01-30,NAII,8.76,8.77,8.71,8.77,7633
2023-01-31,NAII,8.92,8.92,8.9,8.9,2127
2023-02-01,NAII,8.75,8.754,8.695,8.75,8030
2023-02-02,NAII,8.7,9.04,8.7,9.04,5554
