Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,NARI,77.03,79.76,76.95,78.2,637400.0
2022-11-14,NARI,77.96,80.26,76.665,79.43,602593.0
2022-11-15,NARI,81.4,83.67,79.12,83.62,862895.0
2022-11-16,NARI,83.14,83.84,81.39,82.69,762196.0
2022-11-17,NARI,80.85,81.23,79.0,79.05,718344.0
2022-11-18,NARI,80.69,80.69,75.16,77.93,592265.0
2022-11-21,NARI,77.55,78.35,77.01,77.69,440546.0
2022-11-22,NARI,77.66,77.66,75.27,76.32,404131.0
2022-11-23,NARI,76.32,77.43,75.265,75.75,528968.0
2022-11-25,NARI,75.03,75.38,74.5,75.0,181555.0
2022-11-28,NARI,74.89,76.0175,73.79,73.83,287758.0
2022-11-29,NARI,72.82,73.68,72.12,72.31,386548.0
2022-11-30,NARI,72.49,74.87,71.65,73.58,774393.0
2022-12-01,NARI,73.83,76.54,73.17,75.54,650220.0
2022-12-02,NARI,74.45,75.96,71.835,72.39,482741.0
2022-12-05,NARI,71.57,71.605,69.735,71.11,403446.0
2022-12-06,NARI,70.92,72.29,68.9,69.74,283699.0
2022-12-07,NARI,69.74,71.22,68.84,69.5,329944.0
2022-12-08,NARI,69.73,70.99,68.51,69.99,426018.0
2022-12-09,NARI,69.72,69.84,68.3,68.41,627538.0
2022-12-12,NARI,68.98,70.2225,68.2,69.66,588761.0
2022-12-13,NARI,72.84,73.1,69.81,70.34,752202.0
2022-12-14,NARI,70.14,71.73,68.85,69.19,741770.0
2022-12-15,NARI,67.99,68.73,65.625,65.82,667450.0
2022-12-16,NARI,64.94,66.615,64.41,66.15,793019.0
2022-12-19,NARI,66.03,67.545,65.57,66.63,694542.0
2022-12-20,NARI,65.91,69.77,65.91,68.4,1115277.0
2022-12-21,NARI,68.9,69.63,67.72,68.4,599310.0
2022-12-22,NARI,67.7,69.55,67.42,68.56,490771.0
2022-12-23,NARI,68.28,69.87,66.14,66.74,236237.0
2022-12-27,NARI,66.54,66.54,62.35,62.74,693142.0
2022-12-28,NARI,62.54,63.78,61.2,61.23,420014.0
2022-12-29,NARI,62.12,63.77,61.135,63.28,475415.0
2022-12-30,NARI,62.69,63.81,61.65,63.56,286788.0
2023-01-03,NARI,64.22,64.675,59.95,60.74,688103.0
2023-01-04,NARI,61.55,63.99,60.8,63.07,588889.0
2023-01-05,NARI,62.86,63.61,61.03,63.42,687679.0
2023-01-06,NARI,63.88,67.23,63.17,67.17,898158.0
2023-01-09,NARI,68.73,68.73,62.8,64.0,856962.0
2023-01-10,NARI,70.765,71.37,67.13,67.56,1858555.0
2023-01-11,NARI,67.56,70.2599,65.45,66.67,939470.0
2023-01-12,NARI,66.78,66.84,64.93,65.87,704422.0
2023-01-13,NARI,65.06,68.31,65.02,67.05,676118.0
2023-01-17,NARI,66.78,68.27,64.03,68.12,689554.0
2023-01-18,NARI,69.02,69.7,64.67,65.29,527604.0
2023-01-19,NARI,64.57,64.87,61.65,61.65,811522.0
2023-01-20,NARI,62.16,62.93,60.5,62.39,786652.0
2023-01-23,NARI,62.24,62.9,61.26,62.49,682121.0
2023-01-24,NARI,62.23,63.36,61.49,62.01,356121.0
2023-01-25,NARI,60.96,64.0,60.265,63.79,456102.0
2023-01-26,NARI,64.65,64.98,62.33,63.17,1349443.0
2023-01-27,NARI,63.06,64.29,58.26,58.67,1690434.0
2023-01-30,NARI,58.4,59.245,57.01,57.57,935306.0
2023-01-31,NARI,57.41,58.36,56.315,57.05,1134933.0
2023-02-01,NARI,56.83,58.0,55.55,57.39,842566.0
2023-02-02,NARI,58.06,59.6677,57.1,58.7,972587.0
2023-02-03,NARI,58.07,59.735,57.705,58.62,665491.0
2023-02-06,NARI,57.99,58.425,56.0,56.25,561389.0
2023-02-07,NARI,55.75,56.68,54.5,56.54,1018629.0
2023-02-08,NARI,56.05,56.64,55.15,55.4,757297.0
2023-02-09,NARI,55.66,56.42,53.22,53.43,879185.0
2023-02-10,NARI,53.24,54.8,52.59,53.77,782959.0
2023-02-13,NARI,54.13,54.38,53.05,53.92,494871.0
2023-02-14,NARI,53.33,55.72,52.84,55.63,864560.0
2023-02-15,NARI,55.98,59.965,55.64,59.13,1412320.0
2023-02-16,NARI,58.17,59.0999,57.16,57.32,561999.0
2023-02-17,NARI,57.33,57.5,55.42,56.0,843598.0
2023-02-21,NARI,55.57,55.79,53.8,54.2,827170.0
2023-02-22,NARI,54.52,55.99,54.52,55.13,989694.0
2023-02-23,NARI,55.4,56.44,54.35,54.87,588629.0
2023-02-24,NARI,53.85,57.78,52.99,56.36,1289917.0
2023-02-27,NARI,56.56,58.61,56.02,57.36,1182320.0
2023-02-28,NARI,59.87,59.87,55.21,56.26,1639810.0
2023-03-01,NARI,56.42,57.79,55.26,56.76,614909.0
2023-03-02,NARI,56.75,56.75,53.675,54.73,640127.0
2023-03-03,NARI,55.15,56.29,54.4403,55.84,928751.0
2023-03-06,NARI,57.06,57.25,54.78,56.02,737689.0
2023-03-07,NARI,56.1,56.25,54.265,54.64,573267.0
2023-03-08,NARI,54.46,55.49,53.95,54.09,584957.0
2023-03-09,NARI,54.26,58.175,53.75,57.85,1590994.0
2023-03-10,NARI,57.47,58.95,56.0,56.59,1293097.0
2023-03-13,NARI,56.34,59.61,55.78,59.12,771423.0
2023-03-14,NARI,60.38,63.37,59.5001,63.17,1224077.0
