Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,NEON,3.795,3.87,3.76,3.85,10456.0
2022-11-14,NEON,3.86,3.9,3.6501,3.76,22516.0
2022-11-15,NEON,3.76,3.92,3.7,3.81,14523.0
2022-11-16,NEON,3.81,3.95,3.8,3.88,5908.0
2022-11-17,NEON,3.8,3.95,3.73,3.9,10601.0
2022-11-18,NEON,4.0,4.0,3.78,3.9415,6842.0
2022-11-21,NEON,3.95,3.95,3.71,3.84,14596.0
2022-11-22,NEON,3.84,4.0,3.84,3.99,10975.0
2022-11-23,NEON,4.0,4.37,4.0,4.28,25806.0
2022-11-25,NEON,4.35,4.65,4.11,4.29,25122.0
2022-11-28,NEON,4.29,4.75,4.29,4.365,37710.0
2022-11-29,NEON,4.5,4.6,4.3001,4.355,29465.0
2022-11-30,NEON,4.4,4.55,3.65,4.1,68506.0
2022-12-01,NEON,4.1,5.99,4.072,5.93,3533395.0
2022-12-02,NEON,6.1,6.56,5.59,5.85,1495002.0
2022-12-05,NEON,5.85,5.85,5.05,5.2,332996.0
2022-12-06,NEON,5.2,5.27,4.77,4.92,166165.0
2022-12-07,NEON,4.92,5.15,4.75,5.01,100459.0
2022-12-08,NEON,5.2,5.2,4.84,5.05,76044.0
2022-12-09,NEON,5.09,5.1,4.8,4.98,44590.0
2022-12-12,NEON,4.91,4.97,4.61,4.88,80694.0
2022-12-13,NEON,4.86,5.0,4.68,4.72,52448.0
2022-12-14,NEON,4.7,4.9,4.61,4.63,26660.0
2022-12-15,NEON,4.6,5.65,4.48,5.55,616416.0
2022-12-16,NEON,5.65,5.7,5.1109,5.45,136639.0
2022-12-19,NEON,5.45,5.5,5.0708,5.39,52665.0
2022-12-20,NEON,5.35,5.4,5.2501,5.35,58859.0
2022-12-21,NEON,5.35,5.59,5.35,5.46,65236.0
2022-12-22,NEON,5.5,5.55,5.2,5.48,52488.0
2022-12-23,NEON,5.49,5.65,5.48,5.6,70891.0
2022-12-27,NEON,5.6,5.6,5.26,5.36,52450.0
2022-12-28,NEON,5.34,5.64,5.34,5.48,43399.0
2022-12-29,NEON,5.5,5.62,5.4,5.45,25335.0
2022-12-30,NEON,5.5,5.5813,5.36,5.5,40317.0
2023-01-03,NEON,5.5,5.6,5.28,5.53,94678.0
2023-01-04,NEON,5.55,5.59,5.45,5.57,73248.0
2023-01-05,NEON,5.57,5.57,5.2213,5.33,91696.0
2023-01-06,NEON,5.45,5.54,5.3,5.5,42551.0
2023-01-09,NEON,5.7,5.95,5.5,5.73,157741.0
2023-01-10,NEON,5.83,7.1,5.76,6.9,450436.0
2023-01-11,NEON,7.11,11.4299,5.9,8.5,6296935.0
2023-01-12,NEON,8.64,8.9,8.16,8.85,801717.0
2023-01-13,NEON,9.1,9.85,8.98,9.85,467000.0
2023-01-17,NEON,10.07,10.83,10.07,10.68,813514.0
2023-01-18,NEON,11.0,13.76,11.0,12.9,1790620.0
2023-01-19,NEON,12.75,14.75,11.13,11.36,2519445.0
2023-01-20,NEON,11.5,13.2,11.25,12.73,636476.0
2023-01-23,NEON,12.73,12.94,10.11,10.68,948639.0
2023-01-24,NEON,10.65,11.3,9.61,10.11,508237.0
2023-01-25,NEON,10.01,10.895,10.01,10.3,299094.0
2023-01-26,NEON,10.4,10.92,9.75,10.4,368300.0
2023-01-27,NEON,10.55,10.87,9.77,9.93,291253.0
2023-01-30,NEON,9.89,9.9,9.05,9.29,382910.0
2023-01-31,NEON,9.36,9.38,7.895,8.27,637403.0
2023-02-01,NEON,8.26,8.99,8.11,8.87,247969.0
2023-02-02,NEON,8.84,9.3,8.61,9.03,194781.0
2023-02-03,NEON,8.96,9.35,8.75,8.75,102393.0
2023-02-06,NEON,8.7,8.83,8.09,8.42,133545.0
2023-02-07,NEON,8.42,8.75,8.35,8.62,90075.0
2023-02-08,NEON,8.62,9.4825,8.6,9.27,155675.0
