Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,NESR,7.07,7.44,7.07,7.15,212609.0
2022-11-14,NESR,6.88,7.29,6.88,7.01,238558.0
2022-11-15,NESR,7.1,7.2,6.99,7.06,148801.0
2022-11-16,NESR,6.99,7.035,6.73,6.84,204099.0
2022-11-17,NESR,6.68,6.92,6.54,6.81,170205.0
2022-11-18,NESR,6.82,6.82,6.58,6.71,128420.0
2022-11-21,NESR,6.58,6.635,6.125,6.38,226458.0
2022-11-22,NESR,6.44,6.73,6.41,6.6,130870.0
2022-11-23,NESR,6.36,6.42,6.225,6.28,119382.0
2022-11-25,NESR,6.28,6.42,6.13,6.35,58368.0
2022-11-28,NESR,6.2,6.51,6.15,6.31,271694.0
2022-11-29,NESR,6.33,6.44,6.19,6.22,183826.0
2022-11-30,NESR,6.3,6.43,6.11,6.39,301988.0
2022-12-01,NESR,6.46,6.46,6.11,6.12,246621.0
2022-12-02,NESR,6.08,6.56,6.03,6.51,326154.0
2022-12-05,NESR,6.52,6.75,6.1475,6.15,185552.0
2022-12-06,NESR,6.13,6.37,6.11,6.17,225310.0
2022-12-07,NESR,6.17,6.26,5.89,5.95,240172.0
2022-12-08,NESR,6.18,6.27,5.88,6.11,215516.0
2022-12-09,NESR,6.06,6.4,5.81,5.86,203810.0
2022-12-12,NESR,5.9001,6.07,5.8,5.98,178362.0
2022-12-13,NESR,6.19,6.39,6.05,6.08,177536.0
2022-12-14,NESR,6.18,6.78,5.95,6.34,600938.0
2022-12-15,NESR,6.31,6.39,6.165,6.34,225776.0
2022-12-16,NESR,6.19,6.38,6.16,6.28,263821.0
2022-12-19,NESR,6.3,6.405,6.075,6.17,465235.0
2022-12-20,NESR,6.15,6.53,6.15,6.44,159302.0
2022-12-21,NESR,6.57,6.63,6.34,6.57,278604.0
2022-12-22,NESR,6.58,6.6,6.27,6.38,330968.0
2022-12-23,NESR,6.47,6.52,6.25,6.49,309901.0
2022-12-27,NESR,6.56,6.77,6.24,6.74,459731.0
2022-12-28,NESR,6.73,6.8,6.44,6.55,210658.0
2022-12-29,NESR,6.53,6.76,6.53,6.73,245628.0
2022-12-30,NESR,6.65,6.99,6.6198,6.94,250381.0
2023-01-03,NESR,6.92,7.03,6.54,6.68,222659.0
2023-01-04,NESR,6.6,6.74,6.53,6.66,188895.0
2023-01-05,NESR,6.59,6.83,6.41,6.775,177894.0
2023-01-06,NESR,6.87,7.1,6.87,6.94,191986.0
2023-01-09,NESR,6.97,7.18,6.96,7.11,168967.0
2023-01-10,NESR,7.17,7.3,7.06,7.22,266055.0
2023-01-11,NESR,7.24,7.535,7.21,7.49,295835.0
2023-01-12,NESR,7.57,7.73,7.46,7.61,269049.0
2023-01-13,NESR,7.68,7.68,7.325,7.64,159539.0
2023-01-17,NESR,7.66,7.69,7.52,7.58,97503.0
2023-01-18,NESR,7.54,7.65,7.175,7.27,191668.0
2023-01-19,NESR,7.17,7.33,7.02,7.25,137188.0
2023-01-20,NESR,7.33,7.44,7.21,7.27,159248.0
2023-01-23,NESR,7.31,7.48,7.2,7.42,136544.0
2023-01-24,NESR,7.4556,7.49,7.16,7.24,115005.0
2023-01-25,NESR,7.25,7.49,7.07,7.35,132132.0
2023-01-26,NESR,7.42,7.42,7.19,7.345,109588.0
2023-01-27,NESR,7.3,7.48,7.19,7.44,141993.0
2023-01-30,NESR,7.31,7.46,7.1664,7.36,94775.0
2023-01-31,NESR,7.37,7.56,7.22,7.56,153687.0
2023-02-01,NESR,7.56,7.6391,7.26,7.38,225806.0
2023-02-02,NESR,7.32,7.32,7.125,7.19,198356.0
2023-02-03,NESR,7.18,7.355,7.14,7.27,149098.0
2023-02-06,NESR,7.23,7.41,6.8809,7.19,122939.0
2023-02-07,NESR,7.14,7.37,7.11,7.35,196874.0
2023-02-08,NESR,7.35,7.61,7.21,7.57,269412.0
2023-02-09,NESR,7.63,7.63,7.2,7.21,195116.0
2023-02-10,NESR,7.24,7.35,7.12,7.32,201885.0
2023-02-13,NESR,7.29,7.37,7.18,7.32,139623.0
2023-02-14,NESR,7.29,7.4,7.14,7.35,119795.0
2023-02-15,NESR,7.34,7.36,7.155,7.34,117756.0
2023-02-16,NESR,7.26,7.4525,7.245,7.36,188261.0
2023-02-17,NESR,7.32,7.43,7.03,7.21,235507.0
2023-02-21,NESR,7.13,7.27,6.9,6.9,192375.0
2023-02-22,NESR,6.89,6.935,6.66,6.75,163152.0
2023-02-23,NESR,6.81,6.92,6.68,6.82,100694.0
2023-02-24,NESR,6.71,6.88,6.31,6.85,102910.0
2023-02-27,NESR,6.89,7.05,6.82,6.85,248325.0
2023-02-28,NESR,6.86,6.9,6.46,6.46,302117.0
2023-03-01,NESR,6.46,6.53,6.35,6.44,196349.0
2023-03-02,NESR,6.42,6.665,6.365,6.64,181700.0
2023-03-03,NESR,6.57,6.695,6.51,6.67,119438.0
2023-03-06,NESR,6.65,6.67,6.49,6.53,283312.0
2023-03-07,NESR,6.53,6.53,6.38,6.41,167696.0
2023-03-08,NESR,6.41,6.505,6.3,6.4,246817.0
2023-03-09,NESR,6.44,6.48,6.13,6.13,309241.0
2023-03-10,NESR,6.19,6.19,5.83,5.89,319027.0
2023-03-13,NESR,5.74,5.79,5.49,5.59,323865.0
2023-03-14,NESR,5.74,5.74,5.37,5.45,265836.0
2023-03-15,NESR,5.42,5.45,5.14,5.24,429042.0
2023-03-16,NESR,5.13,5.24,4.98,5.21,332206.0
2023-03-17,NESR,5.12,5.21,5.0,5.04,581391.0
2023-03-20,NESR,5.12,5.15,4.98,4.98,319304.0
2023-03-21,NESR,5.11,5.62,4.98,5.08,207644.0
2023-03-22,NESR,5.07,5.21,4.85,4.86,269008.0
2023-03-23,NESR,4.87,5.01,4.75,4.81,285778.0
2023-03-24,NESR,4.71,4.88,4.52,4.87,233009.0
2023-03-27,NESR,4.94,5.057,4.9,5.04,175934.0
2023-03-28,NESR,5.0,5.35,5.0,5.34,312732.0
2023-03-29,NESR,5.39,5.48,5.21,5.28,322787.0
2023-03-30,NESR,5.31,5.4618,5.21,5.29,170654.0
2023-03-31,NESR,5.28,5.43,5.22,5.26,188747.0
2023-04-03,NESR,5.41,5.98,5.21,5.23,551867.0
2023-04-04,NESR,5.18,5.29,4.98,5.08,614414.0
2023-04-05,NESR,5.03,5.1,4.91,5.01,303473.0
2023-04-06,NESR,4.97,5.01,4.82,4.85,234684.0
2023-04-10,NESR,4.84,5.11,4.83,4.96,188563.0
2023-04-11,NESR,4.96,5.13,4.895,5.08,351877.0
2023-04-12,NESR,5.09,5.2,5.052,5.17,386872.0
2023-04-13,NESR,5.19,5.24,4.905,4.96,516999.0
2023-04-14,NESR,4.98,5.01,4.63,4.72,428177.0
2023-04-17,NESR,4.73,4.81,4.64,4.67,390560.0
2023-04-18,NESR,4.67,4.67,4.185,4.275,596630.0
2023-04-19,NESR,4.28,4.585,4.205,4.465,462575.0
2023-04-20,NESR,4.38,4.39,4.2,4.24,256452.0
2023-04-21,NESR,4.2,4.37,4.13,4.29,389649.0
2023-04-24,NESR,4.29,4.46,4.12,4.3,561545.0
2023-04-25,NESR,4.27,4.27,3.5901,3.62,625706.0
2023-04-26,NESR,3.63,3.73,3.26,3.305,558546.0
2023-04-27,NESR,2.45,3.18,2.44,2.65,11073649.0
2023-04-28,NESR,2.8,3.19,2.5,3.05,2899831.0
2023-05-01,NESR,3.04,3.95,2.99,3.45,1557790.0
2023-05-02,NESR,3.5,3.5,3.2,3.3,652603.0
2023-05-03,NESR,3.3,3.6,3.3,3.4,179184.0
2023-05-04,NESR,3.1,3.5,3.01,3.01,827255.0
2023-05-05,NESR,3.4,3.6,3.12,3.3,207497.0
2023-05-08,NESR,3.1,3.75,3.1,3.2,203243.0
2023-05-09,NESR,3.2,3.4,3.05,3.08,583059.0
2023-05-10,NESR,3.55,3.55,3.01,3.01,413807.0
2023-05-11,NESR,2.95,3.1,2.69,3.0,315650.0
2023-05-12,NESR,3.0,3.0,2.76,2.95,478375.0
2023-05-15,NESR,2.8,3.3,2.66,2.9,779391.0
2023-05-16,NESR,2.82,3.15,2.82,2.85,114680.0
2023-05-17,NESR,2.7,2.95,2.7,2.85,216584.0
2023-05-18,NESR,3.55,3.55,2.88,3.0,21192.0
2023-05-19,NESR,2.8,3.08,2.8,2.98,60954.0
2023-05-22,NESR,2.98,3.03,2.96,3.03,29491.0
2023-05-23,NESR,2.97,3.03,2.92,2.95,305921.0
2023-05-24,NESR,2.95,2.99,2.95,2.99,195372.0
2023-05-25,NESR,2.93,2.98,2.93,2.94,9482.0
2023-05-26,NESR,2.94,2.94,2.78,2.87,169488.0
2023-05-30,NESR,2.8,3.5,2.8,3.1,18812.0
2023-05-31,NESR,2.88,3.02,2.88,3.0,238313.0
2023-06-01,NESR,3.0,3.0,2.93,2.93,4939.0
2023-06-02,NESR,2.8,3.0,2.8,2.95,336615.0
2023-06-05,NESR,2.88,2.91,2.84,2.91,58135.0
2023-06-06,NESR,2.9,3.07,2.9,3.07,309491.0
2023-06-07,NESR,3.05,3.45,3.05,3.15,103956.0
2023-06-08,NESR,3.0,3.2,2.9,3.15,131477.0
2023-06-09,NESR,2.95,3.15,2.9,2.91,46917.0
2023-06-12,NESR,2.9,3.2,2.9,2.97,89411.0
2023-06-13,NESR,3.05,3.25,3.05,3.05,54752.0
2023-06-14,NESR,2.9,3.2,2.9,3.09,55668.0
2023-06-15,NESR,3.05,3.25,3.05,3.25,10673.0
2023-06-16,NESR,3.25,3.39,3.09,3.2,39847.0
2023-06-20,NESR,3.17,3.3,3.05,3.14,80821.0
2023-06-21,NESR,3.05,3.15,3.0,3.1,770298.0
2023-06-22,NESR,3.1,3.1,2.92,2.92,77394.0
2023-06-23,NESR,3.48,3.55,2.93,2.93,65993.0
2023-06-26,NESR,2.93,3.08,2.93,2.95,6716.0
2023-06-27,NESR,2.88,2.95,2.85,2.88,269667.0
2023-06-28,NESR,2.88,3.0,2.88,3.0,9432.0
2023-06-29,NESR,3.2,3.3,2.88,2.95,12122.0
2023-06-30,NESR,2.95,3.0,2.91,2.95,51811.0
2023-07-03,NESR,2.9,2.95,2.85,2.85,5033.0
2023-07-05,NESR,2.91,3.5,2.9,2.98,8088.0
2023-07-06,NESR,2.98,2.98,2.98,2.98,50005.0
2023-07-07,NESR,3.0,3.0,2.98,3.0,122066.0
2023-07-10,NESR,2.98,3.3,2.98,3.15,18707.0
2023-07-11,NESR,3.17,3.18,3.17,3.18,43086.0
2023-07-12,NESR,3.25,3.4,3.25,3.4,7851.0
2023-07-13,NESR,3.3,4.2,3.3,3.7,8746.0
2023-07-14,NESR,3.68,3.8,3.6,3.6,3138.0
2023-07-17,NESR,3.55,3.6,3.55,3.55,77400.0
2023-07-18,NESR,3.2,3.55,3.2,3.55,744.0
2023-07-19,NESR,3.55,3.55,3.55,3.55,3691.0
2023-07-20,NESR,3.6,4.17,3.5,3.7,35580.0
2023-07-21,NESR,3.6,3.75,3.5,3.57,129837.0
2023-07-24,NESR,3.2,3.55,3.2,3.55,24756.0
2023-07-25,NESR,3.525,3.525,3.525,3.525,1772.0
2023-07-26,NESR,3.6,3.65,3.2,3.52,14162.0
2023-07-27,NESR,3.55,3.55,2.95,3.3,67921.0
2023-07-28,NESR,3.3,3.31,3.3,3.3,11941.0
2023-07-31,NESR,3.05,3.05,3.05,3.05,200.0
2023-08-01,NESR,3.21,3.45,3.21,3.26,3811.0
2023-08-02,NESR,3.25,4.18,3.25,3.3,2704.0
2023-08-03,NESR,3.6,3.65,3.6,3.62,2263.0
2023-08-04,NESR,4.0,4.18,3.75,3.75,9939.0
2023-08-07,NESR,3.4,4.18,3.4,4.17,21730.0
2023-08-10,NESR,4.0,4.05,4.0,4.05,47283.0
2023-08-11,NESR,3.8,3.99,3.8,3.99,15167.0
2023-08-14,NESR,3.98,4.18,3.9,4.05,3154.0
2023-08-15,NESR,4.01,4.18,3.9,4.01,30464.0
2023-08-16,NESR,3.8,4.1,3.26,4.05,17620.0
2023-08-17,NESR,3.78,4.0,3.78,3.8,3872.0
2023-08-18,NESR,4.0,4.05,4.0,4.0,7506.0
2023-08-21,NESR,3.55,4.18,3.55,4.14,35983.0
2023-08-22,NESR,3.8,4.1,3.8,4.1,7014.0
2023-08-23,NESR,4.05,4.25,4.0,4.2,57010.0
2023-08-24,NESR,3.8,4.3,3.8,4.26,5462.0
2023-08-28,NESR,4.35,4.35,4.15,4.26,4955.0
2023-08-29,NESR,4.24,4.3,4.24,4.3,104882.0
2023-08-30,NESR,4.55,4.55,4.48,4.48,2184.0
2023-08-31,NESR,4.55,4.55,4.45,4.55,2613.0
2023-09-01,NESR,5.6,5.6,4.9,4.98,14484.0
2023-09-05,NESR,5.05,5.05,5.0,5.0,2789.0
2023-09-06,NESR,4.95,4.95,4.95,4.95,1121.0
2023-09-07,NESR,4.75,4.95,4.75,4.75,11343.0
2023-09-08,NESR,4.8,4.8,4.75,4.75,10590.0
2023-09-11,NESR,4.5,4.74,4.5,4.74,1623.0
2023-09-12,NESR,4.55,4.7,4.45,4.7,6486.0
2023-09-13,NESR,4.1,4.7,4.1,4.7,2304.0
2023-09-14,NESR,4.7,5.0,4.55,5.0,123312.0
2023-09-15,NESR,4.75,5.0,4.75,4.75,29106.0
2023-09-18,NESR,5.5,5.5,5.0,5.01,3835.0
2023-09-19,NESR,5.0,5.0,5.0,5.0,1109.0
2023-09-20,NESR,4.9,5.0,4.9,5.0,26436.0
2023-09-21,NESR,5.0,5.0,5.0,5.0,5045.0
2023-09-25,NESR,5.0,5.0,5.0,5.0,13593.0
2023-09-26,NESR,4.6,5.0,4.6,5.0,13519.0
2023-09-27,NESR,5.2,5.2,5.2,5.2,9556.0
