Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,NG,5.7,5.7042,5.555,5.59,1678709.0
2022-11-14,NG,5.54,5.63,5.52,5.56,1578620.0
2022-11-15,NG,5.57,5.615,5.42,5.44,1426794.0
2022-11-16,NG,5.42,5.435,5.33,5.38,1118182.0
2022-11-17,NG,5.31,5.347,5.23,5.33,967904.0
2022-11-18,NG,5.45,5.45,5.3,5.44,1002057.0
2022-11-21,NG,5.38,5.44,5.235,5.4,1133983.0
2022-11-22,NG,5.51,5.6599,5.5,5.61,1712882.0
2022-11-23,NG,5.6,5.83,5.57,5.83,1555993.0
2022-11-25,NG,5.84,5.845,5.71,5.72,517787.0
2022-11-28,NG,5.67,5.73,5.4,5.45,2267458.0
2022-11-29,NG,5.45,5.67,5.45,5.64,1067467.0
2022-11-30,NG,5.62,5.845,5.615,5.77,1816887.0
2022-12-01,NG,5.82,6.11,5.82,6.03,1434425.0
2022-12-02,NG,5.91,6.135,5.87,6.11,999015.0
2022-12-05,NG,6.05,6.065,5.9,5.95,918973.0
2022-12-06,NG,5.98,6.05,5.815,5.83,912148.0
2022-12-07,NG,5.87,6.025,5.87,5.96,1072490.0
2022-12-08,NG,5.98,6.085,5.9199,5.95,1091572.0
2022-12-09,NG,5.99,6.145,5.93,5.96,993057.0
2022-12-12,NG,5.89,5.94,5.82,5.89,815241.0
2022-12-13,NG,6.08,6.1899,5.9649,6.03,1416401.0
2022-12-14,NG,6.04,6.04,5.81,5.92,1123599.0
2022-12-15,NG,5.78,5.79,5.62,5.64,1204549.0
2022-12-16,NG,5.58,5.82,5.57,5.73,2227864.0
2022-12-19,NG,5.71,5.755,5.6195,5.73,1024443.0
2022-12-20,NG,5.8,6.195,5.8,6.09,1772012.0
2022-12-21,NG,6.15,6.22,6.07,6.15,1083492.0
2022-12-22,NG,6.12,6.12,5.935,6.09,1146837.0
2022-12-23,NG,6.14,6.24,5.97,6.16,1013820.0
2022-12-27,NG,6.21,6.41,6.17,6.31,808885.0
2022-12-28,NG,6.29,6.29,6.0,6.04,805074.0
2022-12-29,NG,6.15,6.15,6.0,6.04,797104.0
2022-12-30,NG,6.03,6.06,5.92,5.98,737123.0
2023-01-03,NG,6.04,6.245,6.01,6.05,949288.0
2023-01-04,NG,6.11,6.58,6.11,6.55,1305070.0
2023-01-05,NG,6.45,6.74,6.39,6.72,1267361.0
2023-01-06,NG,6.85,6.86,6.6801,6.76,1581020.0
2023-01-09,NG,6.88,6.88,6.63,6.66,1034464.0
2023-01-10,NG,6.68,6.83,6.6363,6.83,627956.0
2023-01-11,NG,6.84,6.845,6.66,6.76,1042802.0
2023-01-12,NG,6.76,6.95,6.76,6.79,1234590.0
2023-01-13,NG,6.8,6.94,6.775,6.8,1532279.0
2023-01-17,NG,6.7,6.77,6.46,6.47,1513216.0
2023-01-18,NG,6.59,6.69,6.485,6.49,1382658.0
2023-01-19,NG,6.52,6.7101,6.495,6.59,1529561.0
2023-01-20,NG,6.64,6.79,6.48,6.79,1164509.0
2023-01-23,NG,6.74,6.8,6.6111,6.8,833970.0
2023-01-24,NG,6.75,6.97,6.68,6.94,969777.0
2023-01-25,NG,6.85,6.97,6.8,6.95,906846.0
2023-01-26,NG,6.98,6.98,6.43,6.5,1481687.0
2023-01-27,NG,6.46,6.4662,6.28,6.32,936238.0
2023-01-30,NG,6.33,6.365,6.23,6.23,868365.0
2023-01-31,NG,6.2,6.355,6.152,6.31,1834245.0
2023-02-01,NG,6.27,6.54,6.23,6.42,1475020.0
2023-02-02,NG,6.44,6.5,6.2503,6.39,1591428.0
2023-02-03,NG,6.32,6.32,6.125,6.2,1047637.0
2023-02-06,NG,6.16,6.205,6.065,6.16,1176555.0
2023-02-07,NG,6.15,6.275,6.08,6.19,1034373.0
2023-02-08,NG,6.18,6.26,6.09,6.1,750342.0
2023-02-09,NG,6.18,6.25,6.05,6.08,1174939.0
2023-02-10,NG,6.12,6.15,6.02,6.05,667327.0
2023-02-13,NG,6.08,6.08,6.0,6.03,588352.0
2023-02-14,NG,6.0,6.14,5.925,6.04,840117.0
2023-02-15,NG,5.92,5.935,5.7601,5.87,927766.0
2023-02-16,NG,5.78,5.91,5.665,5.84,1285316.0
2023-02-17,NG,5.84,5.88,5.69,5.83,712005.0
2023-02-21,NG,5.79,5.9,5.635,5.69,797478.0
2023-02-22,NG,5.69,5.69,5.57,5.6,606931.0
2023-02-23,NG,5.6,5.65,5.51,5.54,551311.0
2023-02-24,NG,5.5,5.505,5.4,5.5,805014.0
2023-02-27,NG,5.55,5.625,5.51,5.54,595877.0
2023-02-28,NG,5.54,5.65,5.48,5.59,960593.0
2023-03-01,NG,5.62,5.79,5.6,5.75,706325.0
2023-03-02,NG,5.69,5.745,5.655,5.71,365625.0
2023-03-03,NG,5.77,5.82,5.7,5.8,507954.0
2023-03-06,NG,5.8,5.8,5.61,5.66,674467.0
2023-03-07,NG,5.61,5.61,5.435,5.45,786065.0
2023-03-08,NG,5.45,5.49,5.3225,5.4,747504.0
2023-03-09,NG,5.45,5.51,5.315,5.32,743524.0
2023-03-10,NG,5.37,5.56,5.31,5.32,793508.0
2023-03-13,NG,5.48,5.73,5.455,5.63,1138820.0
2023-03-14,NG,5.7,5.715,5.59,5.67,1604313.0
2023-03-15,NG,5.73,5.73,5.495,5.6,1237895.0
2023-03-16,NG,5.58,5.62,5.49,5.6,815742.0
2023-03-17,NG,5.69,5.92,5.64,5.77,4438963.0
2023-03-20,NG,5.81,5.94,5.73,5.91,1295359.0
2023-03-21,NG,5.84,5.87,5.59,5.66,732451.0
2023-03-22,NG,5.7,5.86,5.63,5.69,1045309.0
2023-03-23,NG,5.73,5.91,5.725,5.82,930663.0
2023-03-24,NG,5.85,6.03,5.835,5.99,962491.0
2023-03-27,NG,5.91,5.945,5.8,5.94,831701.0
2023-03-28,NG,5.95,6.12,5.8999,6.11,640956.0
2023-03-29,NG,6.11,6.18,6.04,6.11,969101.0
2023-03-30,NG,6.17,6.26,6.12,6.26,1069968.0
2023-03-31,NG,6.25,6.29,6.1,6.22,1232935.0
2023-04-03,NG,6.23,6.395,6.18,6.35,1249664.0
2023-04-04,NG,6.33,6.68,6.27,6.55,2000658.0
2023-04-05,NG,6.53,6.62,5.83,6.03,2451836.0
2023-04-06,NG,6.0,6.04,5.85,6.04,1005665.0
2023-04-10,NG,5.97,6.04,5.8501,5.94,1525590.0
2023-04-11,NG,6.1,6.21,5.97,6.11,1505628.0
2023-04-12,NG,6.23,6.26,6.14,6.21,1025985.0
2023-04-13,NG,6.36,6.51,6.35,6.41,1267648.0
2023-04-14,NG,6.38,6.39,6.14,6.22,1084432.0
2023-04-17,NG,6.13,6.14,5.86,5.86,944171.0
2023-04-18,NG,5.9,5.975,5.75,5.88,1068343.0
2023-04-19,NG,5.75,5.8,5.615,5.65,1282222.0
2023-04-20,NG,5.65,5.74,5.62,5.67,741837.0
2023-04-21,NG,5.6,5.645,5.5,5.56,825092.0
2023-04-24,NG,5.53,5.57,5.48,5.57,660371.0
2023-04-25,NG,5.53,5.54,5.42,5.54,729448.0
2023-04-26,NG,5.57,5.6,5.39,5.42,998393.0
