Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,NISN,5.05,5.05,4.78,4.85,7179.6
2022-11-14,NISN,4.8,5.079,4.7,4.75,14549.3
2022-11-15,NISN,4.9,5.37,4.8,5.229,52729.4
2022-11-16,NISN,5.149,5.447,5.035,5.072,2719.9
2022-11-17,NISN,5.1011,5.3,5.1011,5.25,5855.8
2022-11-18,NISN,5.25,5.5,5.0,5.326,9085.5
2022-11-21,NISN,5.35,5.5,4.8,4.9495,11627.6
2022-11-22,NISN,4.912,5.1,4.82,5.0,5636.7
2022-11-23,NISN,5.0,5.05,4.8,4.81,10632.6
2022-11-25,NISN,4.85,5.1,4.85,5.002,3730.1
2022-11-28,NISN,5.064,5.45,4.9,5.15,32413.4
2022-11-29,NISN,5.2,5.4,5.1555,5.327,4436.7
2022-11-30,NISN,5.3,5.49,5.2,5.3,10807.2
2022-12-01,NISN,5.303,5.498,5.301,5.301,16628.2
2022-12-02,NISN,5.3,6.165,5.3,5.858,22793.1
2022-12-05,NISN,6.1,6.5,5.899,6.259,25075.3
2022-12-06,NISN,6.4,6.4,5.914,6.209,15676.0
2022-12-07,NISN,6.1,6.2,5.903,5.904,10707.2
2022-12-08,NISN,6.0,6.5,5.908,6.131,3308.1
2022-12-09,NISN,6.22,6.401,6.0,6.2,10823.8
2022-12-12,NISN,6.2,6.599,6.1,6.2,7202.6
2022-12-13,NISN,6.4,6.969,5.95,6.7,22646.1
2022-12-14,NISN,6.9,6.9,6.4,6.599,11892.9
2022-12-15,NISN,6.7,7.1,6.403,7.1,21907.0
2022-12-16,NISN,6.9,7.0,6.35,6.36,12024.0
2022-12-19,NISN,6.197,6.36,6.01,6.12,22815.8
2022-12-20,NISN,6.103,6.199,5.513,5.85,24837.8
2022-12-21,NISN,6.0,6.0,5.305,5.841,19800.7
2022-12-22,NISN,6.0,6.4,5.46,5.622,12877.7
2022-12-23,NISN,5.51,6.4,5.313,6.17,11386.6
2022-12-27,NISN,6.1,6.165,5.7,6.149,27966.2
2022-12-28,NISN,6.69,7.0,5.73,6.2,49460.6
2022-12-29,NISN,6.099,6.099,5.3,5.475,35679.1
2022-12-30,NISN,5.54,5.85,5.5,5.696,16763.1
2023-01-03,NISN,5.788,6.0,5.011,5.011,31010.3
2023-01-04,NISN,5.06,5.338,5.06,5.151,38342.4
2023-01-05,NISN,5.3,5.84,5.2,5.6,16441.1
2023-01-06,NISN,5.325,6.166,5.322,5.715,21520.6
2023-01-09,NISN,5.98,6.1,5.7,6.1,12282.4
2023-01-10,NISN,5.974,6.2,5.974,6.149,12317.4
2023-01-11,NISN,6.2,6.489,6.18,6.4,15027.8
2023-01-12,NISN,6.39,6.43,6.23,6.399,5376.9
2023-01-13,NISN,6.3,6.43,6.2,6.33,11445.3
2023-01-17,NISN,6.39,6.6605,6.367,6.6,21472.6
2023-01-18,NISN,6.6,6.9,6.039,6.379,11232.6
2023-01-19,NISN,6.29,6.29,6.01,6.06,4932.2
2023-01-20,NISN,6.3,6.3,6.001,6.189,10754.1
2023-01-23,NISN,6.6,6.6,6.297,6.299,8947.4
2023-01-24,NISN,6.5,6.5,6.16,6.191,2784.2
2023-01-25,NISN,6.1,6.3,6.01,6.29,5722.1
2023-01-26,NISN,6.01,6.323,6.01,6.229,9522.9
2023-01-27,NISN,6.1,6.26,5.8,5.95,19520.5
2023-01-30,NISN,6.051,6.2,5.976,6.001,9388.9
2023-01-31,NISN,6.1,6.299,6.0,6.112,6879.8
2023-02-01,NISN,6.3,6.3,5.911,6.011,2986.3
2023-02-02,NISN,6.1,6.3,6.02,6.196,13183.9
2023-02-03,NISN,6.126,6.299,5.9853,6.115,12610.1
2023-02-06,NISN,6.0,6.388,6.0,6.384,12365.2
2023-02-07,NISN,6.201,6.392,6.11,6.388,8640.6
2023-02-08,NISN,6.201,6.35,5.9,5.977,9047.5
2023-02-09,NISN,6.1665,6.1665,5.71,5.744,10301.1
2023-02-10,NISN,5.8,5.8,5.22,5.44,22482.1
2023-02-13,NISN,5.302,5.652,5.291,5.45,6525.9
2023-02-14,NISN,5.4,5.675,5.3,5.674,4611.3
2023-02-15,NISN,5.5315,5.77,5.5,5.706,3894.4
2023-02-16,NISN,5.699,5.968,5.5518,5.798,6199.8
2023-02-17,NISN,5.501,5.999,5.501,5.749,6812.9
2023-02-21,NISN,5.7,5.99,5.6,5.94,4063.3
2023-02-22,NISN,5.715,5.94,5.301,5.895,6536.9
2023-02-23,NISN,5.6,5.97,5.5,5.85,9274.0
2023-02-24,NISN,5.85,5.9,5.305,5.305,8314.8
2023-02-27,NISN,5.4,5.79,5.312,5.451,10700.9
2023-02-28,NISN,5.321,5.6,5.302,5.307,2533.9
2023-03-01,NISN,5.492,5.6,5.308,5.5,2567.9
2023-03-02,NISN,5.5082,5.6,5.4,5.6,2243.3
2023-03-03,NISN,5.501,5.598,5.304,5.55,1532.8
2023-03-06,NISN,5.4,5.42,5.101,5.287,20409.8
2023-03-07,NISN,5.3,5.499,5.0,5.004,8256.7
2023-03-08,NISN,5.0,5.299,4.95,5.098,4177.9
2023-03-09,NISN,5.0,5.1,4.8,5.009,18574.0
2023-03-10,NISN,5.0,5.048,4.707,4.707,8391.0
2023-03-13,NISN,4.707,5.1,4.303,4.707,12861.4
2023-03-14,NISN,4.566,5.043,4.5,4.576,9954.0
2023-03-15,NISN,4.4,4.75,4.303,4.65,17835.2
2023-03-16,NISN,4.7,4.722,4.601,4.603,2879.5
2023-03-17,NISN,4.7005,4.7005,4.305,4.39,5474.7
2023-03-20,NISN,4.5,4.5,4.037,4.2,25463.8
2023-03-21,NISN,4.11,4.5,4.11,4.301,26345.2
2023-03-22,NISN,4.33,4.443,4.111,4.205,22936.6
2023-03-23,NISN,4.299,4.75,4.204,4.3,12503.6
2023-03-24,NISN,4.3,4.66,4.214,4.66,4310.9
2023-03-27,NISN,4.55,4.997,4.301,4.9,4523.6
2023-03-28,NISN,4.9,4.9,4.586,4.6,10970.7
2023-03-29,NISN,4.405,4.997,4.405,4.996,8228.1
2023-03-30,NISN,4.9,5.0,4.8,4.99,3053.4
2023-03-31,NISN,4.9,4.925,4.455,4.785,10128.0
2023-04-03,NISN,4.764,4.805,4.6,4.79,2323.5
2023-04-04,NISN,4.8,4.909,4.3,4.5,11298.1
2023-04-05,NISN,4.5,5.14,4.4245,4.98,58162.6
2023-04-06,NISN,4.831,5.34,4.801,5.2,9805.5
2023-04-10,NISN,5.4,5.97,5.35,5.9,45603.6
2023-04-11,NISN,6.0,6.1,5.65,5.9,35842.9
2023-04-12,NISN,5.9,6.0,5.02,5.23,12781.8
2023-04-13,NISN,5.0,5.855,5.0,5.735,18602.7
2023-04-14,NISN,5.6,6.463,5.6,6.13,58942.6
2023-04-17,NISN,6.2,6.231,5.023,5.201,25473.9
2023-04-18,NISN,5.2,5.4,5.131,5.138,12136.2
2023-04-19,NISN,5.02,5.039,4.807,4.822,11187.6
2023-04-20,NISN,4.799,5.05,4.799,4.85,2794.5
2023-04-21,NISN,4.5,5.05,4.5,4.86,2037.6
2023-04-24,NISN,4.8,4.8,4.381,4.455,10666.1
2023-04-25,NISN,4.6,4.89,4.5,4.501,2232.6
2023-04-26,NISN,4.83,4.832,4.4,4.499,2870.6
2023-04-27,NISN,4.97,4.97,4.4,4.699,3120.1
2023-04-28,NISN,5.103,5.2,4.705,5.1,112385.1
2023-05-01,NISN,5.2,5.5,5.0,5.291,30745.1
2023-05-02,NISN,5.1,5.284,4.652,5.118,21710.2
2023-05-03,NISN,4.7,5.4,4.7,5.197,31445.0
2023-05-04,NISN,5.38,5.38,4.7835,5.0,10422.4
2023-05-05,NISN,5.0,5.3,4.82,5.1,10869.2
2023-05-08,NISN,5.172,5.198,4.811,4.814,9456.3
2023-05-09,NISN,4.814,4.95,4.651,4.946,8350.0
2023-05-10,NISN,5.0,5.15,4.911,5.075,3683.1
2023-05-11,NISN,5.199,5.199,4.832,5.01,4298.6
2023-05-12,NISN,4.741,5.0,4.71,4.8,6056.7
2023-05-15,NISN,4.9,5.016,4.71,4.9,6680.0
2023-05-16,NISN,4.8,4.8,4.4,4.731,10183.7
2023-05-17,NISN,4.7,4.739,4.3,4.51,48999.5
2023-05-18,NISN,4.33,4.599,4.05,4.4079,35608.0
2023-05-19,NISN,4.395,4.57,4.22,4.43,18815.0
2023-05-22,NISN,4.58,4.58,4.22,4.245,11859.0
2023-05-23,NISN,4.22,4.319,4.05,4.1,18370.0
2023-05-24,NISN,4.07,4.6,4.07,4.16,95642.0
2023-05-25,NISN,4.0201,4.19,3.69,3.77,46448.0
2023-05-26,NISN,3.97,3.97,3.77,3.84,13293.0
2023-05-30,NISN,3.65,3.8,3.65,3.694,18241.0
2023-05-31,NISN,3.6,3.88,3.38,3.69,46295.0
2023-06-01,NISN,3.715,3.9299,3.715,3.72,3495.0
2023-06-02,NISN,3.95,3.95,3.74,3.74,3887.0
2023-06-05,NISN,3.76,3.8127,3.72,3.8101,11296.0
2023-06-06,NISN,3.81,3.9273,3.76,3.82,9300.0
2023-06-07,NISN,3.79,3.9561,3.79,3.86,11230.0
2023-06-08,NISN,4.09,4.2999,4.01,4.2,56142.0
2023-06-09,NISN,4.245,4.245,3.89,3.95,24812.0
2023-06-12,NISN,3.98,4.19,3.8811,4.11,16610.0
2023-06-13,NISN,4.21,4.468,4.15,4.37,24276.0
2023-06-14,NISN,4.4,4.4091,4.18,4.32,20379.0
2023-06-15,NISN,4.18,4.4199,4.1733,4.1733,8185.0
2023-06-16,NISN,4.3,4.3,4.051,4.24,8699.0
2023-06-20,NISN,4.19,4.2,4.09,4.1799,1877.0
2023-06-21,NISN,4.18,4.18,4.0292,4.13,189648.0
2023-06-22,NISN,4.12,4.12,3.88,3.88,9566.0
2023-06-23,NISN,3.8,3.86,3.5855,3.7799,9333.0
2023-06-26,NISN,3.6657,3.74,3.6657,3.72,941.0
2023-06-27,NISN,3.8343,3.8343,3.72,3.72,2590.0
2023-06-28,NISN,3.8133,3.8999,3.7964,3.89,7338.0
2023-06-29,NISN,3.75,3.85,3.6,3.74,6561.0
2023-06-30,NISN,3.73,3.73,3.59,3.6866,7109.0
2023-07-03,NISN,3.66,3.67,3.635,3.64,4582.0
2023-07-05,NISN,3.6601,3.89,3.6601,3.89,8681.0
2023-07-06,NISN,3.8,3.8801,3.799,3.88,3008.0
2023-07-10,NISN,3.7336,3.93,3.7336,3.87,12838.0
2023-07-11,NISN,3.9475,3.9475,3.83,3.9,2162.0
2023-07-12,NISN,3.94,3.94,3.79,3.79,2011.0
2023-07-13,NISN,3.82,4.0,3.82,3.9857,8327.0
2023-07-14,NISN,3.88,3.88,3.8301,3.8301,341.0
2023-07-17,NISN,3.8,3.999,3.7903,3.89,10467.0
2023-07-18,NISN,3.98,3.98,3.82,3.82,5329.0
2023-07-19,NISN,3.88,3.96,3.65,3.78,11881.0
2023-07-20,NISN,3.73,3.73,3.73,3.73,336.0
2023-07-21,NISN,3.8,3.8,3.68,3.69,4460.0
2023-07-24,NISN,3.69,3.9,3.6,3.86,13984.0
2023-07-25,NISN,3.86,3.88,3.72,3.73,5027.0
2023-07-26,NISN,3.73,3.75,3.6,3.73,13473.0
2023-07-27,NISN,3.76,3.76,3.64,3.73,3371.0
2023-07-28,NISN,3.64,3.66,3.54,3.6,19075.0
2023-07-31,NISN,3.7001,3.71,3.54,3.61,8187.0
2023-08-01,NISN,3.52,3.59,3.51,3.53,11436.0
2023-08-02,NISN,3.69,3.69,3.4473,3.52,7975.0
2023-08-03,NISN,3.46,3.46,3.1184,3.15,36105.0
2023-08-04,NISN,3.08,3.08,2.97,2.99,18634.0
2023-08-07,NISN,3.05,3.1662,3.01,3.12,5509.0
2023-08-08,NISN,3.1,3.1288,3.01,3.1,6620.0
2023-08-09,NISN,3.14,3.14,2.98,3.12,17404.0
2023-08-10,NISN,3.09,3.14,2.98,3.07,21581.0
2023-08-11,NISN,3.12,3.265,3.08,3.15,13857.0
2023-08-14,NISN,3.1501,3.285,3.06,3.28,12345.0
2023-08-15,NISN,3.19,3.272,3.15,3.15,4500.0
2023-08-16,NISN,3.13,3.178,2.97,3.01,20015.0
2023-08-17,NISN,3.0503,3.1381,3.04,3.1,3313.0
2023-08-18,NISN,3.04,3.1004,3.03,3.03,1558.0
2023-08-21,NISN,3.06,3.06,2.92,2.92,6872.0
2023-08-22,NISN,2.99,3.0262,2.8744,2.89,15021.0
2023-08-23,NISN,2.89,2.89,2.84,2.84,3234.0
2023-08-24,NISN,2.89,2.894,2.85,2.86,1390.0
2023-08-25,NISN,2.9567,2.98,2.75,2.77,17935.0
2023-08-28,NISN,2.75,2.87,2.75,2.87,8463.0
2023-08-29,NISN,2.76,2.82,2.5,2.77,33424.0
2023-08-30,NISN,2.73,2.73,2.6,2.68,3950.0
2023-08-31,NISN,2.71,2.72,2.59,2.68,3743.0
2023-09-01,NISN,2.67,2.75,2.64,2.64,3377.0
2023-09-05,NISN,2.64,2.6912,2.64,2.67,3379.0
2023-09-06,NISN,2.7,2.7171,2.69,2.7171,831.0
2023-09-07,NISN,2.72,2.72,2.71,2.72,1051.0
2023-09-08,NISN,2.6101,2.7599,2.6101,2.7599,1425.0
2023-09-11,NISN,2.71,2.76,2.71,2.75,2039.0
2023-09-12,NISN,2.81,2.8999,2.81,2.81,5123.0
2023-09-13,NISN,2.89,2.89,2.75,2.845,3818.0
2023-09-14,NISN,2.82,2.9,2.79,2.86,5736.0
2023-09-15,NISN,2.81,2.87,2.81,2.87,807.0
2023-09-18,NISN,2.82,2.8609,2.77,2.77,1696.0
2023-09-19,NISN,2.7403,2.82,2.71,2.79,2773.0
2023-09-20,NISN,2.85,2.99,2.82,2.884,22128.0
2023-09-21,NISN,2.8101,2.8107,2.7,2.74,1807.0
2023-09-25,NISN,2.7,2.7,2.62,2.6962,12345.0
2023-09-26,NISN,2.67,2.67,2.6201,2.6501,3527.0
2023-09-27,NISN,2.68,2.68,2.68,2.68,133.0
2023-09-28,NISN,2.63,2.64,2.28,2.4,20055.0
2023-09-29,NISN,2.41,2.5001,2.39,2.39,3135.0
2023-10-02,NISN,2.39,2.7176,2.35,2.36,12024.0
2023-10-03,NISN,2.32,2.35,2.31,2.31,8353.0
2023-10-04,NISN,2.33,2.37,2.28,2.33,8496.0
2023-10-05,NISN,2.35,2.42,2.35,2.3601,12264.0
2023-10-06,NISN,2.4,2.4595,2.38,2.38,12551.0
2023-10-09,NISN,2.4,2.4,2.3068,2.32,11089.0
2023-10-10,NISN,2.35,2.36,2.3,2.32,8941.0
2023-10-11,NISN,2.29,2.34,2.29,2.3,6987.0
2023-10-12,NISN,2.28,2.3408,2.18,2.18,26666.0
2023-10-13,NISN,2.19,2.24,2.18,2.18,10193.0
2023-10-16,NISN,2.2258,2.4,2.224,2.33,33905.0
2023-10-17,NISN,2.39,2.39,2.2514,2.2589,9921.0
2023-10-18,NISN,2.3,2.3961,2.1904,2.34,28529.0
2023-10-19,NISN,2.3011,2.365,2.1875,2.34,28695.0
2023-10-20,NISN,2.33,2.41,2.29,2.35,24185.0
2023-10-23,NISN,2.29,2.31,2.16,2.24,26404.0
2023-10-24,NISN,2.24,2.32,2.2205,2.2546,50070.0
2023-10-25,NISN,2.24,2.2835,2.2,2.2782,46258.0
2023-10-26,NISN,2.282,2.311,2.19,2.19,46854.0
