Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,NNVC,1.75,1.77,1.6926,1.73,24956.0
2022-11-14,NNVC,1.71,1.77,1.71,1.71,13867.0
2022-11-15,NNVC,1.736,1.75,1.67,1.74,10674.0
2022-11-16,NNVC,1.69,1.7395,1.68,1.69,14801.0
2022-11-17,NNVC,1.69,1.76,1.69,1.76,13904.0
2022-11-18,NNVC,1.62,1.75,1.62,1.65,27888.0
2022-11-21,NNVC,1.75,1.75,1.58,1.58,19394.0
2022-11-22,NNVC,1.6232,1.63,1.58,1.58,16114.0
2022-11-23,NNVC,1.56,1.67,1.56,1.65,8228.0
2022-11-25,NNVC,1.69,1.71,1.669,1.68,4552.0
2022-11-28,NNVC,1.62,1.715,1.62,1.65,24786.0
2022-11-29,NNVC,1.61,1.666,1.6,1.64,26698.0
2022-11-30,NNVC,1.615,1.65,1.56,1.59,45116.0
2022-12-01,NNVC,1.58,1.6103,1.5,1.61,123951.0
2022-12-02,NNVC,1.54,1.76,1.54,1.69,72594.0
2022-12-05,NNVC,1.73,1.73,1.6345,1.64,17171.0
2022-12-06,NNVC,1.64,1.6552,1.5142,1.5599,29594.0
2022-12-07,NNVC,1.54,1.54,1.49,1.5339,31954.0
2022-12-08,NNVC,1.5,1.5178,1.45,1.45,29399.0
2022-12-09,NNVC,1.6,1.6,1.43,1.455,87883.0
2022-12-12,NNVC,1.47,1.4899,1.41,1.4289,46102.0
2022-12-13,NNVC,1.42,1.4641,1.25,1.3387,63681.0
2022-12-14,NNVC,1.3312,1.3902,1.3,1.3048,40758.0
2022-12-15,NNVC,1.31,1.38,1.28,1.3558,71693.0
2022-12-16,NNVC,1.31,1.312,1.2404,1.27,42620.0
2022-12-19,NNVC,1.2945,1.3,1.27,1.27,21375.0
2022-12-20,NNVC,1.3,1.3,1.27,1.29,25072.0
2022-12-21,NNVC,1.3,1.3435,1.29,1.3,21808.0
2022-12-22,NNVC,1.31,1.31,1.161,1.21,35723.0
2022-12-23,NNVC,1.2,1.2621,1.1971,1.2,25331.0
2022-12-27,NNVC,1.2,1.2,1.1001,1.13,71388.0
2022-12-28,NNVC,1.15,1.1746,1.11,1.1239,63458.0
2022-12-29,NNVC,1.11,1.17,1.07,1.16,100143.0
2022-12-30,NNVC,1.19,1.2,1.11,1.11,181445.0
2023-01-03,NNVC,1.05,1.17,1.05,1.13,26013.0
