Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,NSA,41.0,41.22,40.295,40.39,1011298.0
2022-11-14,NSA,40.28,40.53,39.12,39.12,602720.0
2022-11-15,NSA,39.83,40.0525,38.89,39.19,550340.0
2022-11-16,NSA,38.85,39.31,38.8,39.14,518418.0
2022-11-17,NSA,38.54,39.11,38.13,38.63,598416.0
2022-11-18,NSA,39.29,39.39,38.67,39.32,369452.0
2022-11-21,NSA,39.03,39.5673,38.82,39.5,712905.0
2022-11-22,NSA,39.57,39.8,39.07,39.47,852119.0
2022-11-23,NSA,39.32,39.56,38.74,38.91,398557.0
2022-11-25,NSA,39.16,39.29,38.865,38.98,114878.0
2022-11-28,NSA,38.78,39.0,37.53,37.67,574386.0
2022-11-29,NSA,37.79,38.53,37.54,38.53,448714.0
2022-11-30,NSA,38.33,39.89,37.95,39.81,535983.0
2022-12-01,NSA,40.18,40.5,39.01,39.76,495806.0
2022-12-02,NSA,39.09,39.6,39.05,39.18,464046.0
2022-12-05,NSA,38.87,39.46,38.65,38.77,542245.0
2022-12-06,NSA,38.5,38.85,37.81,38.23,606530.0
2022-12-07,NSA,38.09,38.83,38.01,38.41,459719.0
2022-12-08,NSA,38.5,39.72,38.5,38.86,623752.0
2022-12-09,NSA,38.72,39.14,38.44,38.47,511475.0
2022-12-12,NSA,38.53,39.03,38.26,39.03,591578.0
2022-12-13,NSA,40.34,40.52,39.025,39.37,913091.0
2022-12-14,NSA,38.72,39.38,37.93,38.06,1041027.0
2022-12-15,NSA,37.88,38.38,37.38,37.97,1323012.0
2022-12-16,NSA,37.39,37.39,35.76,36.56,2156207.0
2022-12-19,NSA,36.64,36.64,35.625,35.81,832706.0
2022-12-20,NSA,35.69,36.42,35.37,36.23,963628.0
2022-12-21,NSA,36.45,36.84,36.22,36.33,694294.0
2022-12-22,NSA,35.98,36.26,35.42,36.11,627695.0
2022-12-23,NSA,36.04,36.57,35.84,36.52,465105.0
2022-12-27,NSA,36.6,36.63,36.06,36.42,771836.0
2022-12-28,NSA,36.64,36.79,35.68,35.73,641540.0
2022-12-29,NSA,36.07,36.78,35.86,36.61,429286.0
2022-12-30,NSA,36.25,36.46,35.67,36.12,477822.0
2023-01-03,NSA,36.27,36.45,34.9,35.19,937801.0
2023-01-04,NSA,35.44,36.64,35.38,36.51,1432657.0
2023-01-05,NSA,36.25,36.255,35.43,35.83,1057482.0
2023-01-06,NSA,35.82,36.96,35.56,36.47,1176109.0
2023-01-09,NSA,36.47,37.02,36.26,36.49,956979.0
2023-01-10,NSA,36.35,36.41,35.63,36.06,578313.0
2023-01-11,NSA,36.3,37.89,36.3,37.88,653964.0
2023-01-12,NSA,38.18,38.53,37.63,38.38,471389.0
2023-01-13,NSA,37.91,38.34,37.81,37.88,578290.0
2023-01-17,NSA,38.08,38.8,37.85,38.57,515806.0
2023-01-18,NSA,38.55,38.66,37.69,37.87,453953.0
2023-01-19,NSA,37.53,38.08,37.53,37.8,409596.0
2023-01-20,NSA,37.85,38.44,37.38,38.36,527633.0
2023-01-23,NSA,38.4,38.76,38.045,38.41,392953.0
2023-01-24,NSA,38.4,38.95,38.17,38.58,452559.0
2023-01-25,NSA,38.41,38.91,38.04,38.66,523084.0
2023-01-26,NSA,38.73,39.66,38.73,39.65,529247.0
2023-01-27,NSA,39.61,40.76,39.59,40.43,889121.0
2023-01-30,NSA,40.14,40.56,39.72,39.78,505329.0
2023-01-31,NSA,39.71,40.99,39.62,40.8,804064.0
2023-02-01,NSA,40.53,41.17,40.03,40.99,677698.0
2023-02-02,NSA,41.5,42.96,41.5,42.47,689698.0
2023-02-03,NSA,41.83,42.08,41.41,42.04,560040.0
2023-02-06,NSA,42.2,43.22,42.05,42.81,996469.0
2023-02-07,NSA,42.23,43.48,41.9949,43.18,1221346.0
2023-02-08,NSA,42.93,43.2,42.56,42.58,963565.0
2023-02-09,NSA,42.88,42.93,41.62,41.69,1162944.0
2023-02-10,NSA,41.38,41.65,40.83,41.37,914872.0
2023-02-13,NSA,41.47,41.84,41.28,41.57,718547.0
2023-02-14,NSA,41.28,41.84,40.94,40.96,701722.0
2023-02-15,NSA,40.69,41.725,40.4338,41.68,547001.0
2023-02-16,NSA,41.06,41.78,40.57,41.5,827810.0
2023-02-17,NSA,41.39,42.035,40.96,41.91,597100.0
2023-02-21,NSA,41.66,41.84,41.11,41.33,551717.0
2023-02-22,NSA,41.52,41.61,40.19,40.41,555342.0
2023-02-23,NSA,40.63,40.92,40.19,40.72,716360.0
2023-02-24,NSA,40.37,41.435,40.07,41.41,968094.0
2023-02-27,NSA,41.91,42.07,41.015,41.2,787187.0
2023-02-28,NSA,41.29,43.23,40.67,42.3,1296346.0
2023-03-01,NSA,41.82,42.965,41.74,42.77,1433366.0
2023-03-02,NSA,42.52,43.87,42.36,43.77,1276683.0
2023-03-03,NSA,44.06,44.785,44.06,44.58,908720.0
2023-03-06,NSA,44.64,44.735,43.675,43.88,731899.0
2023-03-07,NSA,43.81,44.06,42.87,43.28,608186.0
2023-03-08,NSA,43.08,43.895,42.9501,43.29,562440.0
2023-03-09,NSA,43.3,43.7,42.16,42.22,594384.0
2023-03-10,NSA,42.33,42.33,39.75,40.44,1020929.0
2023-03-13,NSA,40.14,42.015,40.11,41.24,1179674.0
2023-03-14,NSA,41.25,41.76,41.01,41.73,1284341.0
2023-03-15,NSA,41.38,42.18,41.23,41.88,940656.0
2023-03-16,NSA,41.64,42.4472,41.2,41.93,1126165.0
2023-03-17,NSA,41.74,42.01,41.41,41.47,967544.0
2023-03-20,NSA,41.7,42.23,41.36,42.19,401167.0
2023-03-21,NSA,42.58,42.58,40.58,41.05,666067.0
2023-03-22,NSA,40.76,40.78,39.03,39.07,1275139.0
2023-03-23,NSA,39.375,39.83,38.63,38.71,656739.0
2023-03-24,NSA,38.63,40.06,38.63,40.05,480025.0
2023-03-27,NSA,40.41,40.7,40.045,40.13,430842.0
2023-03-28,NSA,39.7,40.04,39.2,39.47,420236.0
2023-03-29,NSA,39.95,40.45,39.725,40.45,654353.0
2023-03-30,NSA,40.91,41.09,40.48,40.7,666310.0
2023-03-31,NSA,40.99,41.82,40.99,41.78,675270.0
2023-04-03,NSA,41.82,43.16,41.75,42.28,1301241.0
2023-04-04,NSA,42.42,42.8324,42.2,42.76,563873.0
2023-04-05,NSA,42.75,42.825,41.845,42.45,627841.0
2023-04-06,NSA,42.71,42.87,41.95,42.84,417616.0
2023-04-10,NSA,42.43,42.97,42.43,42.96,344680.0
2023-04-11,NSA,43.0,43.28,42.7,42.77,607115.0
2023-04-12,NSA,43.02,43.19,42.56,42.72,518176.0
2023-04-13,NSA,42.18,42.18,40.255,40.37,980768.0
2023-04-14,NSA,40.52,41.14,39.21,39.24,889867.0
2023-04-17,NSA,39.44,39.95,38.93,39.93,698145.0
2023-04-18,NSA,39.79,40.26,39.22,39.56,718224.0
2023-04-19,NSA,39.35,39.64,39.15,39.26,614595.0
2023-04-20,NSA,38.93,39.095,38.41,38.65,632584.0
2023-04-21,NSA,38.89,39.36,38.63,38.94,418311.0
