Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,NSC,246.35,252.71,244.57,250.91,1641146.0
2022-11-14,NSC,248.75,256.19,248.75,251.68,1546609.0
2022-11-15,NSC,254.73,254.94,245.56,248.14,1937160.0
2022-11-16,NSC,248.4,251.93,248.11,249.72,1406766.0
2022-11-17,NSC,245.48,247.04,241.94,245.56,1079763.0
2022-11-18,NSC,247.74,248.2238,245.335,246.76,889255.0
2022-11-21,NSC,246.07,249.32,242.65,249.26,1113517.0
2022-11-22,NSC,250.88,253.9099,248.58,251.1,1088191.0
2022-11-23,NSC,249.67,253.08,249.04,251.11,896381.0
2022-11-25,NSC,252.03,254.49,251.72,252.32,347481.0
2022-11-28,NSC,249.99,252.35,247.37,248.55,948796.0
2022-11-29,NSC,250.68,253.51,249.37,253.36,855203.0
2022-11-30,NSC,252.88,257.35,249.17,256.5,1577898.0
2022-12-01,NSC,258.35,258.975,253.91,256.36,1314399.0
2022-12-02,NSC,252.84,255.55,250.38,254.07,1127603.0
2022-12-05,NSC,251.29,251.695,247.18,247.31,1181052.0
2022-12-06,NSC,247.33,248.13,236.93,242.55,1756490.0
2022-12-07,NSC,242.47,244.55,240.28,241.55,1445129.0
2022-12-08,NSC,242.77,246.51,242.51,245.67,897754.0
2022-12-09,NSC,245.03,246.245,243.95,244.05,697619.0
2022-12-12,NSC,245.16,253.39,244.02,253.05,1402547.0
2022-12-13,NSC,259.37,261.06,255.19,257.93,1929546.0
2022-12-14,NSC,257.51,261.71,256.35,258.42,1482075.0
2022-12-15,NSC,254.63,256.19,250.74,252.29,1316030.0
2022-12-16,NSC,248.28,251.06,246.13,250.6,2077465.0
2022-12-19,NSC,250.83,252.22,245.37,247.0,1036294.0
2022-12-20,NSC,246.1,246.48,240.67,242.92,1369427.0
2022-12-21,NSC,245.18,246.72,243.01,246.7,1144562.0
2022-12-22,NSC,244.71,245.56,242.72,245.45,927578.0
2022-12-23,NSC,244.9,248.5,244.9,247.5,545336.0
2022-12-27,NSC,248.1,250.07,247.001,249.52,750027.0
2022-12-28,NSC,249.73,250.41,245.45,245.79,560491.0
2022-12-29,NSC,247.24,249.48,246.16,248.21,520034.0
2022-12-30,NSC,246.67,247.69,243.94,246.42,637686.0
2023-01-03,NSC,247.11,248.3,244.7,247.7,941607.0
2023-01-04,NSC,246.52,251.5,246.23,250.9,988259.0
2023-01-05,NSC,249.36,250.95,246.79,247.48,982643.0
2023-01-06,NSC,250.43,256.6,248.55,255.79,897057.0
2023-01-09,NSC,256.49,257.5,253.03,254.23,1098794.0
2023-01-10,NSC,254.11,254.86,251.13,254.65,618311.0
2023-01-11,NSC,256.28,256.38,252.67,256.14,800159.0
2023-01-12,NSC,257.59,257.59,254.08,254.17,1127089.0
2023-01-13,NSC,251.72,255.835,251.54,255.13,929275.0
2023-01-17,NSC,256.4,259.57,253.86,256.66,1526409.0
2023-01-18,NSC,256.89,260.2,254.0,254.67,1237282.0
2023-01-19,NSC,253.28,253.8,249.2625,249.88,985854.0
2023-01-20,NSC,250.94,254.41,249.48,253.66,3084000.0
2023-01-23,NSC,252.68,259.67,252.46,256.44,1397891.0
2023-01-24,NSC,253.13,257.76,250.16,255.88,1429846.0
2023-01-25,NSC,251.25,251.925,240.17,242.97,2643968.0
2023-01-26,NSC,243.86,245.41,235.42,241.18,1676503.0
2023-01-27,NSC,241.22,244.66,237.74,238.81,1690864.0
2023-01-30,NSC,237.17,240.94,237.17,238.21,1070062.0
2023-01-31,NSC,238.92,245.98,238.37,245.81,2112790.0
