Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,NWBI,15.15,15.23,14.76,14.85,561733.0
2022-11-14,NWBI,14.82,15.14,14.79,14.91,839707.0
2022-11-15,NWBI,14.98,15.13,14.81,15.02,671503.0
2022-11-16,NWBI,15.02,15.11,14.85,14.89,557845.0
2022-11-17,NWBI,14.78,14.87,14.62,14.78,454465.0
2022-11-18,NWBI,15.02,15.02,14.735,14.79,637723.0
2022-11-21,NWBI,14.81,15.06,14.79,15.05,440427.0
2022-11-22,NWBI,15.11,15.21,15.0509,15.15,494487.0
2022-11-23,NWBI,15.12,15.17,15.04,15.13,446634.0
2022-11-25,NWBI,15.22,15.35,15.145,15.23,368118.0
2022-11-28,NWBI,15.14,15.21,14.935,14.97,474560.0
2022-11-29,NWBI,14.98,15.09,14.87,15.06,407420.0
2022-11-30,NWBI,15.0,15.32,14.85,15.29,860933.0
2022-12-01,NWBI,15.29,15.29,15.095,15.11,502763.0
2022-12-02,NWBI,15.0,15.13,14.96,15.13,572871.0
2022-12-05,NWBI,15.06,15.06,14.24,14.31,922417.0
2022-12-06,NWBI,14.31,14.36,14.2021,14.26,543830.0
2022-12-07,NWBI,14.25,14.345,14.12,14.29,544135.0
2022-12-08,NWBI,14.35,14.485,14.33,14.46,411759.0
2022-12-09,NWBI,14.45,14.45,14.2501,14.32,385550.0
2022-12-12,NWBI,14.35,14.45,14.135,14.38,678948.0
2022-12-13,NWBI,14.55,14.74,14.165,14.25,829050.0
2022-12-14,NWBI,14.25,14.39,13.955,13.98,826695.0
2022-12-15,NWBI,13.92,14.05,13.825,13.87,1125949.0
2022-12-16,NWBI,13.79,13.94,13.6,13.7,3809178.0
2022-12-19,NWBI,13.76,13.96,13.63,13.9,710793.0
2022-12-20,NWBI,13.91,14.035,13.9,13.93,441198.0
2022-12-21,NWBI,14.04,14.2,13.98,14.16,448791.0
2022-12-22,NWBI,14.13,14.13,13.815,13.92,561965.0
2022-12-23,NWBI,13.93,14.08,13.93,14.03,424960.0
2022-12-27,NWBI,14.1,14.1,13.97,14.01,438372.0
2022-12-28,NWBI,14.07,14.075,13.905,13.91,367607.0
2022-12-29,NWBI,13.97,14.07,13.93,14.01,337718.0
2022-12-30,NWBI,14.01,14.01,13.9,13.98,535653.0
2023-01-03,NWBI,14.0,14.09,13.75,13.94,488612.0
2023-01-04,NWBI,14.0,14.08,13.8621,13.99,659831.0
2023-01-05,NWBI,13.91,13.98,13.76,13.82,571914.0
2023-01-06,NWBI,13.9,14.2,13.9,14.19,409070.0
2023-01-09,NWBI,14.15,14.19,13.91,13.98,388673.0
2023-01-10,NWBI,14.03,14.11,13.87,14.05,456898.0
2023-01-11,NWBI,14.05,14.17,14.0,14.15,458681.0
2023-01-12,NWBI,14.2,14.42,14.1,14.29,455427.0
2023-01-13,NWBI,14.2,14.4,14.03,14.34,550819.0
2023-01-17,NWBI,14.38,14.42,14.155,14.2,453367.0
2023-01-18,NWBI,14.17,14.17,13.75,13.77,628835.0
2023-01-19,NWBI,13.68,13.86,13.6,13.74,501349.0
2023-01-20,NWBI,13.89,13.89,13.665,13.81,700089.0
2023-01-23,NWBI,13.74,13.88,13.53,13.56,668497.0
2023-01-24,NWBI,13.59,13.76,13.47,13.75,442881.0
2023-01-25,NWBI,13.59,13.67,13.34,13.41,795720.0
2023-01-26,NWBI,13.46,13.548,13.305,13.42,499731.0
2023-01-27,NWBI,13.52,13.95,13.465,13.9,863750.0
2023-01-30,NWBI,13.91,13.99,13.74,13.76,760745.0
2023-01-31,NWBI,13.84,14.24,13.83,14.14,1970748.0
2023-02-01,NWBI,13.91,14.35,13.81,14.14,962944.0
2023-02-02,NWBI,14.14,14.53,14.14,14.52,649578.0
2023-02-03,NWBI,14.46,14.64,14.435,14.59,811782.0
2023-02-06,NWBI,14.59,14.62,14.26,14.41,661426.0
2023-02-07,NWBI,14.33,14.52,14.25,14.43,523967.0
2023-02-08,NWBI,14.38,14.43,14.24,14.26,468913.0
2023-02-09,NWBI,14.37,14.39,13.9,13.95,588817.0
2023-02-10,NWBI,13.98,14.2,13.93,14.15,558428.0
2023-02-13,NWBI,14.16,14.25,14.09,14.21,304879.0
2023-02-14,NWBI,14.24,14.25,13.99,14.11,465725.0
2023-02-15,NWBI,14.0,14.2,14.0,14.18,320930.0
2023-02-16,NWBI,14.04,14.125,13.97,14.04,374139.0
2023-02-17,NWBI,14.06,14.12,13.98,14.06,623124.0
2023-02-21,NWBI,13.95,13.98,13.7,13.72,548216.0
2023-02-22,NWBI,13.72,13.965,13.6961,13.88,1048213.0
2023-02-23,NWBI,13.9,13.96,13.71,13.92,597663.0
2023-02-24,NWBI,13.86,13.89,13.735,13.83,586135.0
2023-02-27,NWBI,13.92,13.98,13.76,13.78,413375.0
2023-02-28,NWBI,13.83,13.955,13.81,13.82,630033.0
2023-03-01,NWBI,13.75,13.81,13.67,13.74,501068.0
2023-03-02,NWBI,13.69,13.705,13.57,13.68,558208.0
2023-03-03,NWBI,13.79,13.81,13.6,13.79,399462.0
2023-03-06,NWBI,13.77,13.85,13.35,13.43,755177.0
2023-03-07,NWBI,13.38,13.4,13.265,13.29,495255.0
2023-03-08,NWBI,13.35,13.36,13.18,13.29,403016.0
2023-03-09,NWBI,13.22,13.25,12.61,12.75,837502.0
2023-03-10,NWBI,12.45,12.92,12.275,12.76,1245710.0
2023-03-13,NWBI,12.29,13.33,11.73,12.85,2346001.0
2023-03-14,NWBI,13.42,13.94,12.83,12.97,1421157.0
2023-03-15,NWBI,12.51,13.01,12.4574,12.8,1460821.0
2023-03-16,NWBI,12.63,13.48,12.485,13.18,1258671.0
2023-03-17,NWBI,12.95,13.035,12.37,12.52,4086845.0
2023-03-20,NWBI,13.05,13.05,12.59,12.65,1101650.0
2023-03-21,NWBI,13.05,13.308,12.91,13.01,915046.0
2023-03-22,NWBI,12.98,13.03,12.28,12.32,1432858.0
2023-03-23,NWBI,12.45,12.65,12.105,12.15,1087433.0
2023-03-24,NWBI,12.19,12.635,12.1,12.62,1303292.0
2023-03-27,NWBI,12.83,12.89,12.345,12.35,1019832.0
2023-03-28,NWBI,12.34,12.4525,12.2,12.28,582019.0
2023-03-29,NWBI,12.41,12.41,12.16,12.3,796250.0
2023-03-30,NWBI,12.42,12.42,11.88,12.01,794643.0
2023-03-31,NWBI,12.13,12.14,11.91,12.03,781781.0
2023-04-03,NWBI,12.07,12.12,11.82,11.88,714321.0
2023-04-04,NWBI,11.89,11.9,11.45,11.64,887519.0
2023-04-05,NWBI,11.51,11.66,11.48,11.56,671216.0
2023-04-06,NWBI,11.51,11.755,11.51,11.67,707281.0
2023-04-10,NWBI,11.7,11.85,11.6,11.75,742729.0
2023-04-11,NWBI,11.79,11.83,11.645,11.67,537337.0
2023-04-12,NWBI,11.74,11.77,11.54,11.59,460184.0
2023-04-13,NWBI,11.56,11.67,11.46,11.59,643348.0
2023-04-14,NWBI,11.77,11.85,11.36,11.45,777854.0
2023-04-17,NWBI,11.45,11.67,11.28,11.67,645514.0
2023-04-18,NWBI,11.67,11.778,11.31,11.4,527507.0
2023-04-19,NWBI,11.43,11.7,11.38,11.6,615155.0
2023-04-20,NWBI,11.53,11.59,11.39,11.51,598156.0
2023-04-21,NWBI,11.47,11.5675,11.36,11.46,580395.0
2023-04-24,NWBI,11.42,11.705,11.42,11.61,600366.0
2023-04-25,NWBI,11.37,11.5,11.13,11.2,881340.0
2023-04-26,NWBI,11.16,11.3761,11.13,11.31,1038372.0
2023-04-27,NWBI,11.4,11.72,11.375,11.72,760362.0
2023-04-28,NWBI,11.76,11.845,11.62,11.69,642643.0
2023-05-01,NWBI,11.68,11.75,11.3,11.33,989406.0
2023-05-02,NWBI,11.35,11.35,10.6505,10.86,1141033.0
2023-05-03,NWBI,10.68,10.92,10.58,10.62,1333345.0
2023-05-04,NWBI,10.38,10.46,9.91,10.34,1108809.0
2023-05-05,NWBI,10.7,10.72,10.395,10.64,1081438.0
2023-05-08,NWBI,10.76,10.76,10.37,10.39,723243.0
2023-05-09,NWBI,10.34,10.4487,10.18,10.33,795232.0
2023-05-10,NWBI,10.54,10.54,10.26,10.4,736420.0
2023-05-11,NWBI,10.32,10.41,10.23,10.32,655052.0
2023-05-12,NWBI,10.39,10.6,10.26,10.59,683365.0
2023-05-15,NWBI,10.6,10.79,10.54,10.64,921037.0
2023-05-16,NWBI,10.69,10.79,10.54,10.54,626469.0
2023-05-17,NWBI,10.72,11.22,10.66,11.15,987112.0
2023-05-18,NWBI,11.05,11.21,10.96,11.05,706408.0
2023-05-19,NWBI,11.18,11.188,10.675,10.77,552521.0
2023-05-22,NWBI,10.88,10.9,10.685,10.79,1009440.0
2023-05-23,NWBI,10.82,11.17,10.8,10.85,813657.0
2023-05-24,NWBI,10.79,10.88,10.63,10.76,660017.0
2023-05-25,NWBI,10.62,10.75,10.545,10.66,626341.0
2023-05-26,NWBI,10.69,10.76,10.55,10.75,417605.0
2023-05-30,NWBI,10.78,10.78,10.535,10.75,509114.0
2023-05-31,NWBI,10.68,10.71,10.41,10.51,734750.0
2023-06-01,NWBI,10.55,10.85,10.49,10.77,557594.0
2023-06-02,NWBI,10.91,11.409,10.81,11.36,790202.0
2023-06-05,NWBI,11.33,11.33,10.9,10.95,726742.0
2023-06-06,NWBI,10.94,11.51,10.94,11.38,682480.0
2023-06-07,NWBI,11.52,11.9,11.45,11.78,884196.0
2023-06-08,NWBI,11.74,11.77,11.45,11.58,537258.0
2023-06-09,NWBI,11.6,11.66,11.38,11.45,455011.0
2023-06-12,NWBI,11.49,11.73,11.395,11.45,693986.0
2023-06-13,NWBI,11.52,11.79,11.45,11.71,614659.0
2023-06-14,NWBI,11.69,11.825,11.465,11.5,782656.0
2023-06-15,NWBI,11.44,11.73,11.41,11.69,597980.0
2023-06-16,NWBI,11.77,11.77,11.35,11.59,3198526.0
2023-06-20,NWBI,11.58,11.59,11.28,11.31,679952.0
2023-06-21,NWBI,11.31,11.31,10.98,11.0,716028.0
2023-06-22,NWBI,10.96,11.01,10.64,10.68,743676.0
2023-06-23,NWBI,10.62,10.74,10.37,10.51,2438424.0
2023-06-26,NWBI,10.51,10.7,10.5,10.63,788065.0
2023-06-27,NWBI,10.62,10.81,10.51,10.65,522808.0
2023-06-28,NWBI,10.67,10.7,10.51,10.62,542300.0
2023-06-29,NWBI,10.73,10.8509,10.73,10.76,410354.0
2023-06-30,NWBI,10.78,10.82,10.59,10.6,482563.0
2023-07-03,NWBI,10.6,10.82,10.6,10.73,305808.0
