Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,NYMTM,19.65,20.73,19.65,20.43,16706
2022-11-14,NYMTM,20.43,20.43,20.0506,20.1595,10449
2022-11-15,NYMTM,20.29,20.85,20.29,20.82,23262
2022-11-16,NYMTM,20.64,20.9469,20.64,20.79,13503
2022-11-17,NYMTM,20.74,20.74,20.3,20.3,3704
2022-11-18,NYMTM,20.15,20.67,20.15,20.35,18555
2022-11-21,NYMTM,20.35,20.71,20.35,20.58,16724
2022-11-22,NYMTM,20.8,20.8343,20.48,20.48,11500
2022-11-23,NYMTM,20.53,20.6989,20.53,20.55,9028
2022-11-25,NYMTM,20.56,20.59,20.51,20.53,4437
2022-11-28,NYMTM,20.57,20.72,20.57,20.67,7618
2022-11-29,NYMTM,20.625,20.7,20.51,20.55,12713
2022-11-30,NYMTM,20.6,20.9,20.54,20.9,19813
2022-12-01,NYMTM,20.78,20.99,20.7,20.97,15643
2022-12-02,NYMTM,20.8704,20.97,20.76,20.93,3667
2022-12-05,NYMTM,20.9,20.949,20.63,20.67,12435
2022-12-06,NYMTM,20.67,20.73,20.41,20.73,9951
2022-12-07,NYMTM,20.67,20.8,20.67,20.73,4220
2022-12-08,NYMTM,20.705,20.78,20.63,20.7499,3912
2022-12-09,NYMTM,20.6268,20.65,20.41,20.41,2354
2022-12-12,NYMTM,20.18,20.4199,20.0,20.15,14166
2022-12-13,NYMTM,20.37,20.37,20.0,20.18,9645
2022-12-14,NYMTM,20.15,20.3,19.6816,20.05,15637
2022-12-15,NYMTM,19.8,20.15,19.73,20.0,7806
2022-12-16,NYMTM,20.0398,20.0398,19.66,19.6881,9729
2022-12-19,NYMTM,19.68,20.0,19.65,19.745,7263
2022-12-20,NYMTM,19.75,19.75,19.3484,19.6,7586
2022-12-21,NYMTM,19.5,19.6,19.5,19.57,4119
2022-12-22,NYMTM,19.64,19.7,19.25,19.25,6060
2022-12-23,NYMTM,19.25,19.4399,18.74,18.885,9555
2022-12-27,NYMTM,18.85,19.2,18.85,18.95,22417
2022-12-28,NYMTM,18.95,19.12,18.0,18.59,43853
2022-12-29,NYMTM,17.63,18.6207,17.55,18.571,79723
2022-12-30,NYMTM,18.45,18.57,18.3,18.31,31366
