Date,Ticker,Open,High,Low,Close,Volume
2022-11-17,OCCIN,21.63,22.65,21.63,22.15,1545
2022-11-18,OCCIN,22.3,22.3,22.15,22.15,1122
2022-11-29,OCCIN,21.45,22.0,21.4001,22.0,800
2022-12-06,OCCIN,22.98,22.98,22.98,22.98,101
2022-12-07,OCCIN,22.2312,22.2312,22.2312,22.2312,253
2022-12-15,OCCIN,22.2399,22.2399,22.162,22.162,527
2022-12-16,OCCIN,21.6,22.24,21.6,22.24,351
2022-12-21,OCCIN,22.14,22.22,21.55,22.22,621
2022-12-27,OCCIN,21.75,22.12,21.61,22.12,1474
2022-12-29,OCCIN,21.9357,21.9357,21.9357,21.9357,1627
2022-12-30,OCCIN,21.76,22.22,21.76,22.22,459
2023-01-04,OCCIN,21.995,22.24,21.995,22.24,394
2023-01-05,OCCIN,22.2,22.2,22.2,22.2,2084
2023-01-06,OCCIN,21.9284,22.22,21.75,22.19,7078
2023-01-11,OCCIN,22.05,22.18,22.05,22.13,349
2023-01-18,OCCIN,22.0,22.0,22.0,22.0,1551
2023-01-19,OCCIN,22.22,22.23,22.1213,22.2297,1806
2023-01-20,OCCIN,22.24,22.24,22.0753,22.2001,3056
2023-01-23,OCCIN,23.17,23.17,22.8568,23.04,786
2023-01-24,OCCIN,22.1572,22.38,22.1572,22.38,850
2023-01-25,OCCIN,22.47,23.5536,22.47,23.5064,2687
2023-01-26,OCCIN,22.58,23.0,22.11,22.99,639
2023-01-30,OCCIN,22.62,23.1955,22.62,23.1456,1919
2023-01-31,OCCIN,22.06,23.05,22.06,22.8028,1752
2023-02-02,OCCIN,22.4,22.53,22.4,22.53,523
2023-02-03,OCCIN,22.7049,22.7049,22.51,22.675,928
2023-02-06,OCCIN,22.24,22.53,22.22,22.5295,6965
2023-02-13,OCCIN,22.516,22.516,22.516,22.516,118
2023-02-15,OCCIN,22.7,22.75,22.7,22.75,439
2023-02-16,OCCIN,22.5502,22.6873,22.55,22.6873,668
2023-02-17,OCCIN,22.55,22.8,22.4901,22.4901,1315
2023-02-21,OCCIN,22.49,22.49,22.49,22.49,2345
2023-02-22,OCCIN,22.25,22.475,22.25,22.475,400
2023-02-24,OCCIN,22.5,22.5,22.5,22.5,128
2023-02-28,OCCIN,22.33,22.75,22.33,22.75,211
2023-03-02,OCCIN,22.77,22.77,22.77,22.77,460
2023-03-03,OCCIN,22.37,22.77,22.32,22.77,641
2023-03-06,OCCIN,22.77,22.77,22.76,22.77,846
2023-03-07,OCCIN,22.44,22.8,22.35,22.78,1121
2023-03-10,OCCIN,22.7199,22.7199,22.2,22.2,503
2023-03-13,OCCIN,22.15,22.46,22.15,22.37,533
2023-03-22,OCCIN,22.22,22.35,22.22,22.35,6293
2023-03-28,OCCIN,22.05,22.38,22.05,22.38,287
2023-03-29,OCCIN,22.4,22.4,22.4,22.4,302
2023-03-30,OCCIN,22.49,22.55,22.49,22.55,991
2023-03-31,OCCIN,22.79,23.24,22.79,23.2,4060
2023-04-05,OCCIN,22.6,22.6,22.6,22.6,330
2023-04-10,OCCIN,22.99,22.99,22.99,22.99,117
2023-04-12,OCCIN,22.4,22.97,22.35,22.97,413
2023-04-14,OCCIN,22.3101,22.99,22.3101,22.99,502
2023-04-24,OCCIN,22.5,22.8352,22.5,22.8,2872
2023-04-25,OCCIN,22.52,22.74,22.11,22.74,5422
2023-04-26,OCCIN,22.495,22.495,22.495,22.495,647
2023-04-28,OCCIN,22.45,22.83,22.18,22.83,774
2023-05-03,OCCIN,22.3,22.67,22.3,22.67,523
2023-05-05,OCCIN,22.12,22.12,22.12,22.12,293
2023-05-09,OCCIN,22.16,22.16,22.16,22.16,100
2023-05-10,OCCIN,22.2,22.2,22.06,22.06,400
2023-05-11,OCCIN,22.08,22.32,22.08,22.32,461
2023-05-17,OCCIN,22.04,22.54,22.04,22.54,375
2023-05-19,OCCIN,22.08,22.45,22.06,22.45,811
2023-05-24,OCCIN,21.9266,22.46,21.7901,22.46,602
2023-05-30,OCCIN,21.8,21.9,21.8,21.9,1243
2023-05-31,OCCIN,21.84,22.2316,21.84,22.2316,320
2023-06-01,OCCIN,21.84,22.19,21.81,22.19,3208
