Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,OCX,13.2,13.2,9.016,9.4,82145.7
2022-11-14,OCX,9.6,9.748,8.0,8.2,63055.5
2022-11-15,OCX,8.38,8.89,7.534,8.168,30861.1
2022-11-16,OCX,8.412,8.75,7.09,7.742,33707.3
2022-11-17,OCX,7.974,8.6,7.2,8.524,33490.15
2022-11-18,OCX,8.524,8.8,8.0,8.8,42079.65
2022-11-21,OCX,8.952,8.952,8.4,8.456,14679.3
2022-11-22,OCX,8.4,9.06,8.4,9.0,12112.15
2022-11-23,OCX,9.2,9.6,8.901,9.52,6004.35
2022-11-25,OCX,9.61,9.61,9.204,9.39,3471.3
2022-11-28,OCX,9.6,9.638,9.0,9.022,7703.25
2022-11-29,OCX,9.028,9.52,9.0,9.0,7292.85
2022-11-30,OCX,9.2,9.6,9.2,9.402,9436.5
2022-12-01,OCX,9.4,9.754,9.024,9.504,27607.65
2022-12-02,OCX,9.6,10.0,9.0,9.976,31313.6
2022-12-05,OCX,9.8,9.98,9.024,9.602,14621.45
2022-12-06,OCX,9.4,9.84,9.4,9.6,4545.0
2022-12-07,OCX,9.6,9.798,8.62,9.288,10894.65
2022-12-08,OCX,9.2,9.6,8.28,9.202,17989.45
2022-12-09,OCX,9.05,9.398,9.0,9.002,6226.0
2022-12-12,OCX,8.8,8.992,8.228,8.44,14795.35
2022-12-13,OCX,8.4,8.8346,7.75,8.398,12474.65
2022-12-14,OCX,8.4,8.95,8.4,8.4,14582.35
2022-12-15,OCX,7.8,8.78,7.8,8.0,16042.2
2022-12-16,OCX,8.36,9.09,6.244,6.244,74802.7
2022-12-19,OCX,7.4,7.4,5.554,5.652,31529.8
2022-12-20,OCX,5.634,6.0,4.836,5.08,47076.5
2022-12-21,OCX,5.272,5.705,5.002,5.262,40875.5
2022-12-22,OCX,5.204,6.172,5.0,5.892,37230.15
2022-12-23,OCX,5.8,8.568,5.8,7.6,54651.35
2022-12-27,OCX,7.8,8.18,6.296,6.42,21658.85
2022-12-28,OCX,6.25,6.398,6.0,6.0,10983.25
2022-12-29,OCX,6.004,7.882,5.9,6.76,24849.8
2022-12-30,OCX,6.02,7.346,5.6,6.418,53122.5
2023-01-03,OCX,6.8,7.43,6.51,6.9,11767.8
2023-01-04,OCX,6.9,7.0,6.724,6.946,10727.8
2023-01-05,OCX,7.0,7.606,6.808,7.4,25550.65
2023-01-06,OCX,7.6,7.802,7.4,7.762,16572.05
2023-01-09,OCX,7.8,8.196,7.4,7.602,9103.3
2023-01-10,OCX,7.8,7.998,7.64,7.98,4357.3
