Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,OESX,1.63,1.66,1.601,1.66,27975.0
2022-11-14,OESX,1.65,1.69,1.63,1.69,28560.0
2022-11-15,OESX,1.71,1.73,1.7,1.71,55674.0
2022-11-16,OESX,1.72,1.74,1.71,1.72,55755.0
2022-11-17,OESX,1.71,1.77,1.68,1.77,70453.0
2022-11-18,OESX,1.76,1.77,1.71,1.75,19072.0
2022-11-21,OESX,1.77,1.77,1.7,1.74,50242.0
2022-11-22,OESX,1.75,1.8,1.75,1.79,63650.0
2022-11-23,OESX,1.81,1.91,1.7975,1.91,152865.0
2022-11-25,OESX,1.9,1.94,1.858,1.94,134299.0
2022-11-28,OESX,1.91,2.0,1.91,1.9701,94690.0
2022-11-29,OESX,1.97,2.1,1.97,2.09,68637.0
2022-11-30,OESX,2.1,2.14,2.01,2.12,97345.0
2022-12-01,OESX,2.15,2.2,2.14,2.15,51784.0
2022-12-02,OESX,2.15,2.19,2.1,2.19,46279.0
2022-12-05,OESX,2.14,2.2,2.14,2.15,30263.0
2022-12-06,OESX,2.15,2.1828,2.12,2.17,39076.0
2022-12-07,OESX,2.17,2.2,2.11,2.2,25602.0
2022-12-08,OESX,2.2,2.2,2.15,2.19,37682.0
2022-12-09,OESX,2.16,2.1824,2.15,2.1824,22732.0
2022-12-12,OESX,2.16,2.23,2.1301,2.19,36143.0
2022-12-13,OESX,2.22,2.45,2.17,2.27,210221.0
2022-12-14,OESX,2.27,2.42,2.27,2.37,95252.0
2022-12-15,OESX,2.36,2.4019,2.27,2.3,70134.0
2022-12-16,OESX,2.27,2.32,2.21,2.25,85038.0
2022-12-19,OESX,2.23,2.24,2.21,2.21,19952.0
2022-12-20,OESX,2.2,2.24,2.18,2.18,26631.0
2022-12-21,OESX,2.17,2.2199,2.05,2.06,49410.0
2022-12-22,OESX,2.04,2.061,1.98,2.0,58497.0
2022-12-23,OESX,1.97,1.99,1.92,1.95,44164.0
2022-12-27,OESX,1.91,2.01,1.9,1.93,52727.0
2022-12-28,OESX,1.94,1.9585,1.7544,1.83,57736.0
2022-12-29,OESX,1.8,1.81,1.75,1.77,58554.0
2022-12-30,OESX,1.74,1.86,1.74,1.82,85312.0
2023-01-03,OESX,1.86,1.9099,1.8065,1.8201,16000.0
2023-01-04,OESX,1.8201,1.87,1.81,1.86,20968.0
