Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,ONTF,7.61,8.11,7.6,8.02,427851.0
2022-11-14,ONTF,7.92,8.06,7.83,7.86,256050.0
2022-11-15,ONTF,8.0,8.13,7.8496,7.93,284868.0
2022-11-16,ONTF,7.81,7.97,7.73,7.8,311139.0
2022-11-17,ONTF,7.6,7.7,7.5,7.59,357380.0
2022-11-18,ONTF,7.8,7.8,7.46,7.61,701874.0
2022-11-21,ONTF,7.67,7.67,7.395,7.46,675988.0
2022-11-22,ONTF,7.42,7.485,7.23,7.39,511855.0
2022-11-23,ONTF,7.36,7.49,7.22,7.43,820342.0
2022-11-25,ONTF,7.4,7.53,7.38,7.42,456524.0
2022-11-28,ONTF,7.32,7.68,7.32,7.57,709179.0
2022-11-29,ONTF,7.51,7.58,7.35,7.4,559979.0
2022-11-30,ONTF,7.37,7.695,7.28,7.65,747627.0
2022-12-01,ONTF,7.62,8.11,7.62,8.04,566831.0
2022-12-02,ONTF,7.86,8.14,7.37,7.56,1381117.0
2022-12-05,ONTF,7.53,7.755,7.375,7.59,983787.0
2022-12-06,ONTF,7.55,7.61,7.35,7.47,650352.0
2022-12-07,ONTF,7.45,7.84,7.445,7.71,680774.0
2022-12-08,ONTF,7.72,7.93,7.54,7.79,734607.0
2022-12-09,ONTF,7.72,7.76,7.58,7.6,579271.0
2022-12-12,ONTF,7.59,7.76,7.52,7.7,311341.0
2022-12-13,ONTF,7.94,8.09,7.765,7.8,435379.0
2022-12-14,ONTF,7.76,8.03,7.76,7.98,549210.0
2022-12-15,ONTF,7.85,8.17,7.85,7.96,704604.0
2022-12-16,ONTF,7.87,8.44,7.87,8.29,782629.0
2022-12-19,ONTF,8.27,8.27,7.9,7.99,583408.0
2022-12-20,ONTF,7.99,8.16,7.92,7.95,572141.0
2022-12-21,ONTF,8.03,8.19,7.99,8.1,387724.0
2022-12-22,ONTF,8.03,8.16,7.98,8.06,392019.0
2022-12-23,ONTF,8.0,8.27,7.97,8.21,317619.0
2022-12-27,ONTF,8.18,8.2,7.89,7.9,321440.0
2022-12-28,ONTF,7.86,8.15,7.75,8.03,315652.0
2022-12-29,ONTF,8.05,8.44,8.04,8.44,376384.0
2022-12-30,ONTF,8.3,8.7,8.28,8.63,296303.0
2023-01-03,ONTF,8.6,8.89,8.335,8.48,248242.0
2023-01-04,ONTF,8.61,8.835,8.51,8.65,286758.0
2023-01-05,ONTF,8.64,8.68,8.44,8.5,190617.0
2023-01-06,ONTF,8.48,8.63,8.44,8.51,190384.0
2023-01-09,ONTF,8.56,8.72,8.475,8.49,207617.0
2023-01-10,ONTF,8.43,8.74,8.41,8.6,236031.0
2023-01-11,ONTF,8.6,8.61,8.32,8.46,333077.0
2023-01-12,ONTF,8.5,8.93,8.22,8.79,511511.0
2023-01-13,ONTF,8.74,8.93,8.74,8.82,180250.0
2023-01-17,ONTF,8.78,8.98,8.69,8.92,186758.0
2023-01-18,ONTF,8.96,9.04,8.54,8.71,260462.0
2023-01-19,ONTF,8.69,8.82,8.565,8.71,249764.0
2023-01-20,ONTF,8.74,8.93,8.6,8.89,288644.0
2023-01-23,ONTF,8.92,9.02,8.74,8.9,293937.0
2023-01-24,ONTF,8.87,8.93,8.74,8.87,274924.0
