Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,OPK,1.61,1.67,1.565,1.65,3700544.0
2022-11-14,OPK,1.66,1.72,1.64,1.7,2174876.0
2022-11-15,OPK,1.74,1.78,1.72,1.76,2066879.0
2022-11-16,OPK,1.72,1.75,1.68,1.7,1759671.0
2022-11-17,OPK,1.65,1.675,1.58,1.63,2165550.0
2022-11-18,OPK,1.68,1.68,1.58,1.62,1831114.0
2022-11-21,OPK,1.59,1.61,1.56,1.59,1991756.0
2022-11-22,OPK,1.56,1.57,1.43,1.47,4681219.0
2022-11-23,OPK,1.47,1.51,1.46,1.5,2243602.0
2022-11-25,OPK,1.5,1.5,1.44,1.47,1682207.0
2022-11-28,OPK,1.44,1.44,1.36,1.4,3463567.0
2022-11-29,OPK,1.4,1.45,1.38,1.41,6271262.0
2022-11-30,OPK,1.43,1.51,1.38,1.5,4436798.0
2022-12-01,OPK,1.5,1.55,1.42,1.46,2571988.0
2022-12-02,OPK,1.42,1.48,1.39,1.47,2365114.0
2022-12-05,OPK,1.46,1.47,1.39,1.42,1538034.0
2022-12-06,OPK,1.41,1.415,1.36,1.38,1651483.0
2022-12-07,OPK,1.37,1.38,1.32,1.36,1846545.0
2022-12-08,OPK,1.36,1.39,1.31,1.35,1642246.0
2022-12-09,OPK,1.36,1.37,1.32,1.33,1086754.0
2022-12-12,OPK,1.33,1.33,1.28,1.31,1511715.0
2022-12-13,OPK,1.34,1.365,1.29,1.31,2834005.0
2022-12-14,OPK,1.29,1.33,1.29,1.29,1572423.0
2022-12-15,OPK,1.31,1.35,1.24,1.25,3018357.0
2022-12-16,OPK,1.23,1.2699,1.195,1.25,5134948.0
2022-12-19,OPK,1.25,1.25,1.14,1.15,3261835.0
2022-12-20,OPK,1.15,1.19,1.13,1.18,2329310.0
2022-12-21,OPK,1.19,1.22,1.15,1.17,3122152.0
2022-12-22,OPK,1.15,1.18,1.12,1.18,2377834.0
2022-12-23,OPK,1.16,1.19,1.11,1.14,1196734.0
2022-12-27,OPK,1.13,1.13,1.05,1.07,2419749.0
2022-12-28,OPK,1.06,1.09,1.0301,1.05,2963388.0
2022-12-29,OPK,1.07,1.24,1.05,1.24,3578110.0
2022-12-30,OPK,1.21,1.25,1.18,1.25,3093800.0
2023-01-03,OPK,1.27,1.28,1.17,1.22,3154573.0
2023-01-04,OPK,1.22,1.29,1.2,1.28,2393960.0
2023-01-05,OPK,1.27,1.28,1.21,1.23,1911448.0
2023-01-06,OPK,1.23,1.28,1.2,1.26,1353667.0
2023-01-09,OPK,1.25,1.275,1.2,1.24,2658745.0
2023-01-10,OPK,1.23,1.27,1.22,1.27,1275518.0
2023-01-11,OPK,1.26,1.32,1.26,1.31,1750602.0
2023-01-12,OPK,1.31,1.33,1.285,1.33,1406118.0
2023-01-13,OPK,1.34,1.6,1.325,1.57,5511710.0
2023-01-17,OPK,1.56,1.67,1.515,1.59,3838328.0
2023-01-18,OPK,1.6,1.68,1.59,1.61,2576569.0
2023-01-19,OPK,1.58,1.6,1.46,1.47,2574692.0
2023-01-20,OPK,1.5,1.5199,1.44,1.49,2182067.0
2023-01-23,OPK,1.44,1.46,1.3716,1.4,2958459.0
2023-01-24,OPK,1.4,1.4,1.285,1.33,2593448.0
2023-01-25,OPK,1.3,1.33,1.25,1.305,3368380.0
2023-01-26,OPK,1.29,1.29,1.22,1.26,2462103.0
2023-01-27,OPK,1.25,1.29,1.22,1.26,3159542.0
2023-01-30,OPK,1.23,1.27,1.22,1.23,1998910.0
2023-01-31,OPK,1.26,1.3,1.25,1.29,2290709.0
2023-02-01,OPK,1.29,1.44,1.27,1.38,4629082.0
2023-02-02,OPK,1.42,1.45,1.325,1.44,3262218.0
2023-02-03,OPK,1.46,1.51,1.39,1.39,2257218.0
2023-02-06,OPK,1.37,1.41,1.32,1.35,1910833.0
2023-02-07,OPK,1.35,1.37,1.31,1.35,1723367.0
2023-02-08,OPK,1.35,1.35,1.28,1.28,1275789.0
2023-02-09,OPK,1.3,1.32,1.24,1.25,1855009.0
2023-02-10,OPK,1.24,1.27,1.22,1.25,1482646.0
2023-02-13,OPK,1.27,1.27,1.22,1.25,1975107.0
2023-02-14,OPK,1.25,1.26,1.17,1.19,2798287.0
2023-02-15,OPK,1.18,1.22,1.18,1.21,1824518.0
2023-02-16,OPK,1.2,1.22,1.17,1.19,2337096.0
2023-02-17,OPK,1.21,1.21,1.15,1.18,1590165.0
2023-02-21,OPK,1.16,1.165,1.08,1.09,2976146.0
2023-02-22,OPK,1.11,1.1101,1.05,1.06,2446767.0
2023-02-23,OPK,1.1,1.125,1.06,1.12,2819440.0
2023-02-24,OPK,1.08,1.08,1.0,1.06,4933261.0
2023-02-27,OPK,1.09,1.15,1.08,1.13,2701394.0
2023-02-28,OPK,1.14,1.16,1.1,1.14,2819888.0
2023-03-01,OPK,1.15,1.17,1.115,1.17,3229644.0
2023-03-02,OPK,1.15,1.21,1.14,1.2,2222404.0
2023-03-03,OPK,1.19,1.21,1.15,1.16,1740387.0
2023-03-06,OPK,1.17,1.17,1.11,1.12,1081709.0
2023-03-07,OPK,1.12,1.12,1.06,1.06,1382909.0
2023-03-08,OPK,1.28,1.32,1.11,1.13,30261349.0
2023-03-09,OPK,1.14,1.32,1.1329,1.21,10829964.0
2023-03-10,OPK,1.22,1.3,1.19,1.24,5182077.0
2023-03-13,OPK,1.21,1.28,1.2,1.25,4755809.0
2023-03-14,OPK,1.26,1.35,1.25,1.34,5070909.0
2023-03-15,OPK,1.32,1.36,1.3,1.36,2582409.0
2023-03-16,OPK,1.34,1.4,1.32,1.39,2352954.0
2023-03-17,OPK,1.41,1.4172,1.33,1.36,3689164.0
2023-03-20,OPK,1.38,1.38,1.28,1.35,4410179.0
2023-03-21,OPK,1.38,1.4,1.32,1.36,1969970.0
2023-03-22,OPK,1.34,1.3791,1.3,1.32,2366616.0
2023-03-23,OPK,1.34,1.36,1.25,1.26,3260046.0
2023-03-24,OPK,1.25,1.31,1.23,1.3,1849952.0
2023-03-27,OPK,1.32,1.36,1.285,1.32,1213158.0
2023-03-28,OPK,1.32,1.44,1.315,1.39,2386959.0
2023-03-29,OPK,1.42,1.43,1.365,1.4,2400325.0
2023-03-30,OPK,1.41,1.43,1.35,1.39,1956296.0
2023-03-31,OPK,1.41,1.49,1.39,1.46,4763295.0
2023-04-03,OPK,1.51,1.55,1.48,1.54,3662576.0
2023-04-04,OPK,1.54,1.5404,1.42,1.46,3015596.0
