Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,OTMOW,0.021,0.03,0.021,0.0222,12669
2022-11-14,OTMOW,0.0221,0.0245,0.0221,0.0245,12706
2022-11-15,OTMOW,0.0221,0.03,0.0221,0.0222,4000
2022-11-16,OTMOW,0.021,0.033,0.021,0.022,30484
2022-11-17,OTMOW,0.0221,0.032,0.0221,0.0222,9764
2022-11-18,OTMOW,0.0221,0.0221,0.018,0.019,80700
2022-11-21,OTMOW,0.018,0.022801,0.0179,0.022801,41133
2022-11-22,OTMOW,0.0181,0.0191,0.0181,0.0191,2250
2022-11-23,OTMOW,0.0177,0.02,0.0177,0.0181,5700
2022-11-28,OTMOW,0.0295,0.0295,0.0182,0.0184,37133
2022-11-29,OTMOW,0.018,0.0181,0.018,0.018,21508
2022-11-30,OTMOW,0.019,0.0246,0.019,0.0246,2705
2022-12-01,OTMOW,0.0192,0.0292,0.0192,0.0193,2100
2022-12-02,OTMOW,0.028999,0.0291,0.0193,0.02415,10800
2022-12-05,OTMOW,0.02,0.0289,0.0197,0.0289,10721
2022-12-07,OTMOW,0.0251,0.0253,0.0205,0.021,29492
2022-12-08,OTMOW,0.024,0.0298,0.024,0.0297,10000
2022-12-09,OTMOW,0.0298,0.0319,0.025,0.0252,6644
2022-12-15,OTMOW,0.0252,0.0252,0.025,0.025,1930
2022-12-16,OTMOW,0.027,0.027,0.0208,0.0217,62975
2022-12-19,OTMOW,0.0206,0.026,0.0203,0.026,3499
2022-12-21,OTMOW,0.0209,0.031,0.0208,0.031,300
2022-12-23,OTMOW,0.0201,0.0309,0.0201,0.0309,2150
2022-12-27,OTMOW,0.03,0.03,0.02,0.0204,26674
2022-12-28,OTMOW,0.025651,0.025651,0.0205,0.0205,3649
2022-12-29,OTMOW,0.0201,0.0203,0.0201,0.0202,3936
2022-12-30,OTMOW,0.0203,0.0298,0.02,0.0298,308500
2023-01-03,OTMOW,0.0296,0.0296,0.0294,0.0294,622
2023-01-05,OTMOW,0.0201,0.03,0.0201,0.03,6882
2023-01-06,OTMOW,0.022101,0.029,0.0201,0.029,8058
2023-01-09,OTMOW,0.0204,0.026,0.02,0.026,12153
2023-01-10,OTMOW,0.02,0.0292,0.02,0.0292,4745
