Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,OZK,46.84,47.46,46.55,46.99,871293.0
2022-11-14,OZK,47.34,48.28,47.055,47.58,1013583.0
2022-11-15,OZK,47.85,48.5,47.27,47.84,643570.0
2022-11-16,OZK,47.74,47.81,46.48,46.61,578690.0
2022-11-17,OZK,46.23,46.45,45.63,46.1,525981.0
2022-11-18,OZK,46.85,46.85,45.715,46.25,377404.0
2022-11-21,OZK,46.17,46.48,45.71,46.26,425212.0
2022-11-22,OZK,46.49,46.95,46.4,46.65,502529.0
2022-11-23,OZK,46.59,46.99,45.99,46.61,387588.0
2022-11-25,OZK,46.52,47.08,45.8812,47.08,211744.0
2022-11-28,OZK,46.71,46.83,45.54,45.73,491504.0
2022-11-29,OZK,45.77,46.34,45.64,45.93,369161.0
2022-11-30,OZK,45.86,46.2,44.35,46.15,826540.0
2022-12-01,OZK,46.2,46.5,45.25,45.7,426127.0
2022-12-02,OZK,45.39,45.58,45.02,45.36,347815.0
2022-12-05,OZK,45.27,45.27,42.26,42.59,814361.0
2022-12-06,OZK,42.59,42.96,41.91,42.38,788901.0
2022-12-07,OZK,42.35,42.84,41.7,42.3,640064.0
2022-12-08,OZK,42.64,42.64,41.28,41.49,795819.0
2022-12-09,OZK,41.28,41.43,40.87,41.01,793001.0
2022-12-12,OZK,41.1,42.1,40.95,41.73,650047.0
2022-12-13,OZK,42.61,42.835,40.81,41.17,784230.0
2022-12-14,OZK,41.25,41.58,40.43,40.7,824958.0
2022-12-15,OZK,40.27,40.36,39.765,39.84,1043816.0
2022-12-16,OZK,38.0,40.16,38.0,39.28,1847993.0
2022-12-19,OZK,39.31,39.77,38.86,39.23,845431.0
2022-12-20,OZK,39.14,39.77,39.07,39.09,780736.0
2022-12-21,OZK,39.3,40.2,39.3,39.71,1210928.0
2022-12-22,OZK,39.39,39.6446,38.63,39.6,857813.0
2022-12-23,OZK,39.77,40.375,39.12,40.34,679353.0
2022-12-27,OZK,40.34,40.43,39.91,40.04,370719.0
2022-12-28,OZK,40.05,40.16,39.34,39.37,638399.0
2022-12-29,OZK,39.54,40.43,39.4,40.33,551834.0
2022-12-30,OZK,40.0,40.3899,39.74,40.06,755644.0
2023-01-03,OZK,40.28,40.48,39.18,39.3,657926.0
2023-01-04,OZK,39.79,40.37,39.65,40.08,766081.0
2023-01-05,OZK,39.78,39.8299,38.97,39.05,1389522.0
2023-01-06,OZK,39.39,40.55,39.23,40.42,683418.0
2023-01-09,OZK,40.58,40.68,40.13,40.3,655847.0
2023-01-10,OZK,40.39,41.12,40.26,41.01,1053843.0
2023-01-11,OZK,41.18,41.885,41.18,41.8,1005585.0
2023-01-12,OZK,42.09,42.28,41.83,42.15,935292.0
2023-01-13,OZK,41.34,41.98,40.57,41.65,693791.0
2023-01-17,OZK,41.8,42.05,41.19,41.61,854424.0
2023-01-18,OZK,41.31,41.39,40.02,40.15,1111699.0
2023-01-19,OZK,39.88,40.24,39.47,40.15,1237996.0
2023-01-20,OZK,41.6,43.27,40.9169,43.13,2281590.0
2023-01-23,OZK,43.47,44.45,42.99,44.02,1308947.0
2023-01-24,OZK,44.08,44.08,43.35,43.99,861865.0
2023-01-25,OZK,43.44,43.9671,43.0,43.56,937585.0
2023-01-26,OZK,43.89,44.85,43.615,44.68,864936.0
2023-01-27,OZK,44.79,45.25,44.59,44.82,529519.0
2023-01-30,OZK,44.47,44.86,44.16,44.33,511689.0
2023-01-31,OZK,44.35,45.71,44.2948,45.67,1758345.0
2023-02-01,OZK,45.34,46.83,45.28,46.38,693568.0
2023-02-02,OZK,46.7,48.78,46.25,48.69,1182573.0
2023-02-03,OZK,48.24,49.52,47.625,48.26,1476538.0
2023-02-06,OZK,47.75,48.1105,46.705,47.07,846021.0
