Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,PAGP,13.17,13.2,12.875,12.99,2357334.0
2022-11-14,PAGP,12.94,13.2074,12.92,12.93,1387768.0
2022-11-15,PAGP,12.98,13.3595,12.8817,12.93,2755598.0
2022-11-16,PAGP,12.83,12.85,12.625,12.77,2547898.0
2022-11-17,PAGP,12.68,12.85,12.545,12.84,2649225.0
2022-11-18,PAGP,12.71,13.02,12.635,13.01,4373915.0
2022-11-21,PAGP,12.59,12.785,12.375,12.74,4876900.0
2022-11-22,PAGP,12.92,13.13,12.74,13.06,1898131.0
2022-11-23,PAGP,12.9,12.95,12.8,12.86,1519616.0
2022-11-25,PAGP,12.96,13.04,12.875,12.94,936028.0
2022-11-28,PAGP,12.68,12.81,12.61,12.73,1887018.0
2022-11-29,PAGP,12.83,13.095,12.7601,13.08,1966956.0
2022-11-30,PAGP,13.11,13.28,12.895,13.23,6851053.0
2022-12-01,PAGP,13.36,13.415,12.95,12.96,2277200.0
2022-12-02,PAGP,12.88,13.02,12.8501,13.0,1621838.0
2022-12-05,PAGP,13.11,13.21,12.79,12.88,2075883.0
2022-12-06,PAGP,12.82,13.03,12.55,12.62,3451678.0
2022-12-07,PAGP,12.64,12.68,12.36,12.39,3673277.0
2022-12-08,PAGP,12.59,12.65,12.26,12.26,2423042.0
2022-12-09,PAGP,12.31,12.35,11.96,12.0,2207329.0
2022-12-12,PAGP,12.05,12.27,12.0,12.24,1642448.0
2022-12-13,PAGP,12.51,12.53,12.255,12.46,4330353.0
2022-12-14,PAGP,12.52,12.52,12.065,12.37,3306053.0
2022-12-15,PAGP,12.3,12.37,12.14,12.33,3677206.0
2022-12-16,PAGP,12.13,12.17,11.95,12.15,3251219.0
2022-12-19,PAGP,12.21,12.32,11.985,12.11,2742666.0
2022-12-20,PAGP,12.08,12.21,12.01,12.05,2774795.0
2022-12-21,PAGP,12.22,12.25,12.075,12.24,2207356.0
2022-12-22,PAGP,12.23,12.23,11.805,12.02,2495656.0
2022-12-23,PAGP,12.13,12.47,12.06,12.47,1770241.0
2022-12-27,PAGP,12.5,12.55,12.395,12.48,1295751.0
2022-12-28,PAGP,12.46,12.46,12.115,12.18,3878481.0
2022-12-29,PAGP,12.2,12.405,12.13,12.39,2088284.0
2022-12-30,PAGP,12.3,12.46,12.2,12.44,1980809.0
2023-01-03,PAGP,12.4,12.495,12.07,12.19,2098975.0
2023-01-04,PAGP,12.07,12.36,12.06,12.24,2068001.0
2023-01-05,PAGP,12.21,12.25,12.08,12.24,2531691.0
2023-01-06,PAGP,12.42,12.63,12.39,12.47,2129215.0
2023-01-09,PAGP,12.63,12.63,12.44,12.47,1794784.0
2023-01-10,PAGP,12.48,12.7,12.46,12.65,1970732.0
2023-01-11,PAGP,12.68,12.75,12.51,12.7,2070753.0
2023-01-12,PAGP,12.835,12.89,12.725,12.89,3080525.0
2023-01-13,PAGP,12.86,12.93,12.78,12.88,899722.0
2023-01-17,PAGP,12.98,13.025,12.79,12.87,2472325.0
2023-01-18,PAGP,12.97,13.075,12.7815,12.91,2358529.0
2023-01-19,PAGP,12.84,13.02,12.82,12.96,3399690.0
2023-01-20,PAGP,13.03,13.13,12.89,13.04,1975818.0
2023-01-23,PAGP,13.13,13.345,13.1,13.21,4610574.0
2023-01-24,PAGP,13.17,13.3,13.02,13.27,2343326.0
2023-01-25,PAGP,13.27,13.345,13.155,13.28,2927371.0
2023-01-26,PAGP,13.38,13.52,13.33,13.46,2786255.0
2023-01-27,PAGP,13.53,13.63,13.46,13.54,2223506.0
2023-01-30,PAGP,13.26,13.27,13.0,13.01,1822215.0
2023-01-31,PAGP,13.05,13.09,12.77,13.09,6831291.0
2023-02-01,PAGP,13.07,13.26,12.8,13.18,3383658.0
2023-02-02,PAGP,13.24,13.44,13.11,13.39,1663286.0
2023-02-03,PAGP,13.48,13.66,13.35,13.38,2063941.0
2023-02-06,PAGP,13.38,13.42,13.13,13.14,2540934.0
2023-02-07,PAGP,13.13,13.22,13.0,13.21,2818046.0
2023-02-08,PAGP,13.42,13.42,12.9738,13.2,3206514.0
2023-02-09,PAGP,13.38,13.49,13.03,13.05,4347910.0
2023-02-10,PAGP,13.13,13.4,13.09,13.38,2947708.0
2023-02-13,PAGP,13.26,13.48,13.26,13.42,1490003.0
2023-02-14,PAGP,13.46,13.685,13.37,13.65,2114269.0
2023-02-15,PAGP,13.58,13.71,13.455,13.7,1870377.0
2023-02-16,PAGP,13.6,13.7,13.525,13.65,1961557.0
2023-02-17,PAGP,13.54,13.54,13.255,13.4,3196227.0
2023-02-21,PAGP,13.37,13.45,13.2,13.35,2882769.0
2023-02-22,PAGP,13.32,13.475,13.21,13.39,3419619.0
2023-02-23,PAGP,13.54,13.65,13.39,13.62,3187133.0
2023-02-24,PAGP,13.56,13.72,13.425,13.7,2630309.0
2023-02-27,PAGP,13.73,13.87,13.66,13.87,3986013.0
2023-02-28,PAGP,13.9,14.08,13.785,13.91,5890392.0
2023-03-01,PAGP,13.84,13.88,13.61,13.8,3424233.0
2023-03-02,PAGP,13.84,14.05,13.685,14.05,2432349.0
2023-03-03,PAGP,14.01,14.17,13.95,14.08,2013155.0
