Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,PATK,54.58,56.36,54.02,55.45,166752.0
2022-11-14,PATK,55.08,56.33,54.37,54.51,183776.0
2022-11-15,PATK,55.56,56.55,54.19,54.32,166469.0
2022-11-16,PATK,53.57,53.77,52.48,53.41,166503.0
2022-11-17,PATK,52.55,54.045,52.55,53.84,180988.0
2022-11-18,PATK,55.12,55.875,53.29,54.37,144569.0
2022-11-21,PATK,54.08,54.08,53.01,53.5,157256.0
2022-11-22,PATK,53.79,55.29,53.79,55.03,143674.0
2022-11-23,PATK,54.99,55.22,54.75,55.22,86743.0
2022-11-25,PATK,54.95,55.425,54.77,55.15,39813.0
2022-11-28,PATK,54.75,54.94,53.94,54.47,227621.0
2022-11-29,PATK,54.28,55.5,54.28,55.01,92973.0
2022-11-30,PATK,54.72,55.96,53.01,55.93,210456.0
2022-12-01,PATK,56.6,57.65,56.22,57.42,196990.0
2022-12-02,PATK,55.92,57.965,55.86,57.76,138695.0
2022-12-05,PATK,57.32,57.69,56.11,57.62,201048.0
2022-12-06,PATK,57.37,58.2474,56.9,57.52,227269.0
2022-12-07,PATK,57.21,57.79,55.34,56.35,215271.0
2022-12-08,PATK,56.39,57.71,55.97,56.64,221519.0
2022-12-09,PATK,56.1,57.71,56.1,56.39,167596.0
2022-12-12,PATK,56.23,58.01,55.91,58.01,165863.0
2022-12-13,PATK,59.71,60.38,57.56,58.2,345634.0
2022-12-14,PATK,60.44,63.32,59.67,62.42,327807.0
2022-12-15,PATK,61.58,62.695,61.055,62.11,203847.0
2022-12-16,PATK,61.7,62.78,61.1,61.9,1132124.0
2022-12-19,PATK,61.57,61.68,58.34,58.92,249574.0
2022-12-20,PATK,58.88,60.21,57.59,58.26,223806.0
2022-12-21,PATK,58.53,60.37,58.53,60.37,139510.0
2022-12-22,PATK,59.54,60.76,57.674,60.64,230928.0
2022-12-23,PATK,60.61,61.49,60.14,61.17,159992.0
2022-12-27,PATK,60.98,62.83,60.27,61.9,187139.0
2022-12-28,PATK,62.13,62.335,59.865,59.97,181450.0
2022-12-29,PATK,60.86,62.31,60.78,61.49,165998.0
2022-12-30,PATK,61.0,61.4,60.29,60.6,104932.0
2023-01-03,PATK,60.94,62.66,60.56,60.95,150702.0
2023-01-04,PATK,61.28,62.13,60.0,60.61,153144.0
2023-01-05,PATK,60.12,62.34,59.44,62.2,291432.0
2023-01-06,PATK,62.91,64.41,62.36,63.58,156969.0
2023-01-09,PATK,63.96,66.41,63.77,64.57,206836.0
2023-01-10,PATK,64.61,65.72,64.4,65.42,107134.0
2023-01-11,PATK,65.74,66.36,64.83,65.96,145184.0
2023-01-12,PATK,66.24,67.235,65.16,65.95,152197.0
2023-01-13,PATK,65.6,66.56,65.145,66.24,115192.0
2023-01-17,PATK,65.76,66.64,64.8975,65.48,156128.0
2023-01-18,PATK,66.08,66.33,63.085,63.63,295398.0
2023-01-19,PATK,63.03,64.1,62.41,63.6,159298.0
2023-01-20,PATK,63.92,65.22,62.24,65.09,145301.0
2023-01-23,PATK,65.59,67.19,65.54,66.99,116816.0
2023-01-24,PATK,66.45,68.15,66.13,67.7,128497.0
2023-01-25,PATK,66.94,68.19,66.2,68.0,95109.0
2023-01-26,PATK,68.14,68.25,66.44,68.21,187308.0
2023-01-27,PATK,68.13,69.25,68.13,68.61,153321.0
2023-01-30,PATK,68.07,69.19,67.23,68.94,162190.0
2023-01-31,PATK,69.06,71.515,69.06,70.97,237559.0
2023-02-01,PATK,70.92,73.11,70.65,72.53,221007.0
2023-02-02,PATK,73.11,76.44,73.11,75.5,424205.0
2023-02-03,PATK,74.5,77.96,74.5,77.19,285537.0
2023-02-06,PATK,76.0,77.08,73.62,74.89,172695.0
2023-02-07,PATK,74.39,75.27,73.53,75.01,146825.0
2023-02-08,PATK,74.27,74.97,72.935,73.34,169795.0
2023-02-09,PATK,71.5,75.64,71.42,73.63,264330.0
2023-02-10,PATK,73.99,75.49,73.57,74.42,244317.0
2023-02-13,PATK,74.25,76.06,73.7785,75.83,132243.0
2023-02-14,PATK,75.13,75.6,74.0,75.0,106478.0
2023-02-15,PATK,74.17,75.62,73.91,74.89,118191.0
2023-02-16,PATK,74.31,75.97,74.125,75.18,107855.0
2023-02-17,PATK,74.84,74.84,73.27,74.07,160841.0
2023-02-21,PATK,72.95,73.5,71.06,71.41,181590.0
2023-02-22,PATK,71.61,73.58,71.61,72.58,179474.0
2023-02-23,PATK,73.09,73.4,71.29,72.79,111797.0
2023-02-24,PATK,71.5,72.82,71.1,72.82,164980.0
2023-02-27,PATK,73.28,74.03,72.63,72.79,76195.0
2023-02-28,PATK,73.0,73.51,72.07,72.85,162134.0
2023-03-01,PATK,72.69,73.59,72.13,72.85,112429.0
2023-03-02,PATK,72.54,73.23,72.22,73.13,131910.0
2023-03-03,PATK,73.86,75.105,73.13,74.02,150337.0
2023-03-06,PATK,74.33,74.43,72.215,73.1,196139.0
2023-03-07,PATK,71.8,72.37,69.31,71.89,191040.0
2023-03-08,PATK,71.9,72.71,70.965,72.38,119911.0
2023-03-09,PATK,72.35,72.35,70.85,71.26,124286.0
2023-03-10,PATK,70.8,71.04,68.5882,69.34,282081.0
2023-03-13,PATK,67.9,68.47,66.5,67.32,146951.0
2023-03-14,PATK,69.25,69.77,67.09,68.19,212026.0
2023-03-15,PATK,66.5,68.38,66.48,68.26,170666.0
2023-03-16,PATK,67.25,70.415,67.25,69.7,151227.0
2023-03-17,PATK,68.54,69.59,67.42,67.81,517509.0
2023-03-20,PATK,68.55,69.84,67.485,67.73,188713.0
2023-03-21,PATK,69.01,70.45,68.85,69.17,238034.0
2023-03-22,PATK,69.44,69.87,67.87,67.95,166491.0
2023-03-23,PATK,68.51,68.51,65.72,66.75,211614.0
2023-03-24,PATK,66.2,66.74,64.885,66.17,132716.0
2023-03-27,PATK,67.03,67.85,65.69,66.2,136177.0
2023-03-28,PATK,66.03,67.3,66.03,67.17,145989.0
2023-03-29,PATK,67.87,67.88,66.1,66.78,106088.0
2023-03-30,PATK,67.48,68.1,66.43,66.75,78803.0
2023-03-31,PATK,67.16,69.11,67.16,68.81,126430.0
2023-04-03,PATK,68.9,69.5399,67.88,68.59,119474.0
2023-04-04,PATK,68.0,68.095,65.105,66.07,200470.0
2023-04-05,PATK,65.58,65.58,64.1,64.84,183488.0
2023-04-06,PATK,65.07,65.18,64.05,64.22,123417.0
2023-04-10,PATK,64.15,67.02,64.15,66.07,168258.0
2023-04-11,PATK,66.68,69.21,66.11,68.9,179808.0
2023-04-12,PATK,69.49,69.71,67.91,68.45,97345.0
2023-04-13,PATK,68.8,68.98,67.53,68.64,143093.0
2023-04-14,PATK,68.63,69.765,68.03,68.88,136949.0
2023-04-17,PATK,69.0,69.48,68.22,69.28,55923.0
2023-04-18,PATK,68.88,69.77,68.88,69.36,85816.0
2023-04-19,PATK,69.79,70.805,68.96,70.6,138494.0
2023-04-20,PATK,69.98,71.05,69.5,70.46,121175.0
2023-04-21,PATK,70.19,70.2,69.06,69.49,96165.0
2023-04-24,PATK,69.43,70.385,69.05,69.31,77961.0
2023-04-25,PATK,68.89,68.89,66.92,67.79,162427.0
2023-04-26,PATK,67.31,67.52,64.2,64.56,218165.0
2023-04-27,PATK,65.61,69.585,64.9,68.51,342466.0
2023-04-28,PATK,68.28,69.7,68.28,68.63,159609.0
2023-05-01,PATK,68.4,69.71,68.1578,69.26,141110.0
2023-05-02,PATK,68.74,68.74,65.43,67.76,131263.0
2023-05-03,PATK,67.97,69.68,66.27,66.66,233350.0
2023-05-04,PATK,66.0,66.0,64.17,64.55,124021.0
2023-05-05,PATK,65.53,66.8899,65.232,66.57,114966.0
2023-05-08,PATK,66.65,67.02,65.285,65.71,93364.0
2023-05-09,PATK,65.52,65.71,64.79,64.99,101635.0
2023-05-10,PATK,66.05,66.89,64.35,65.36,100524.0
2023-05-11,PATK,64.85,66.845,63.57,65.15,85462.0
2023-05-12,PATK,65.52,65.7,64.0,64.58,113668.0
2023-05-15,PATK,64.89,65.81,64.44,65.74,109012.0
2023-05-16,PATK,65.23,65.41,64.08,64.95,118406.0
2023-05-17,PATK,65.45,68.91,65.45,68.77,160059.0
2023-05-18,PATK,68.6,69.63,67.87,69.38,108754.0
2023-05-19,PATK,70.17,70.2,67.8,68.78,121268.0
2023-05-22,PATK,68.83,69.27,68.265,68.72,106008.0
2023-05-23,PATK,68.54,69.54,67.97,69.01,139572.0
2023-05-24,PATK,68.73,69.01,68.13,68.48,133072.0
2023-05-25,PATK,68.07,69.43,67.6,69.34,107953.0
2023-05-26,PATK,69.31,71.02,69.31,70.75,115684.0
2023-05-30,PATK,71.32,71.32,66.15,66.4,122981.0
2023-05-31,PATK,65.98,65.98,64.28,65.53,141395.0
2023-06-01,PATK,65.45,68.03,64.96,67.99,120593.0
2023-06-02,PATK,69.02,72.71,69.0,72.66,161985.0
2023-06-05,PATK,72.06,72.58,68.965,69.41,243636.0
2023-06-06,PATK,69.91,75.91,69.38,75.3,264418.0
2023-06-07,PATK,75.32,78.56,75.095,77.65,212480.0
2023-06-08,PATK,77.25,77.97,75.45,77.53,211805.0
2023-06-09,PATK,77.08,78.12,76.05,77.31,117536.0
2023-06-12,PATK,77.82,79.15,77.24,77.78,113471.0
2023-06-13,PATK,77.31,80.84,77.31,80.56,174905.0
2023-06-14,PATK,80.69,81.49,78.12,78.62,156267.0
2023-06-15,PATK,78.03,80.04,77.63,79.96,104943.0
2023-06-16,PATK,79.96,80.6221,76.99,78.23,433932.0
2023-06-20,PATK,78.19,78.88,77.09,77.73,100559.0
2023-06-21,PATK,74.94,77.915,74.94,77.42,96508.0
2023-06-22,PATK,77.42,77.99,75.72,76.03,105093.0
2023-06-23,PATK,74.58,75.85,73.52,74.56,369353.0
2023-06-26,PATK,74.48,76.764,74.48,75.23,166613.0
2023-06-27,PATK,75.16,78.85,74.575,78.43,81115.0
2023-06-28,PATK,78.45,79.265,77.75,78.99,117037.0
2023-06-29,PATK,79.16,80.29,78.5856,79.42,56533.0
2023-06-30,PATK,80.49,80.76,79.05,80.0,80163.0
2023-07-03,PATK,79.65,81.31,79.22,79.98,43569.0
2023-07-05,PATK,79.88,79.88,78.09,78.15,103021.0
2023-07-06,PATK,76.96,77.66,75.93,77.15,100962.0
2023-07-07,PATK,77.49,79.24,77.49,78.36,73932.0
2023-07-10,PATK,78.43,80.12,78.43,79.65,72538.0
2023-07-11,PATK,80.41,81.65,80.05,81.47,76236.0
2023-07-12,PATK,83.32,83.36,81.94,82.43,97527.0
2023-07-13,PATK,82.69,83.81,81.81,83.63,92607.0
2023-07-14,PATK,83.95,84.19,82.81,83.51,100369.0
2023-07-17,PATK,83.75,84.55,82.24,84.4,82537.0
2023-07-18,PATK,84.32,86.53,84.31,84.79,96017.0
2023-07-19,PATK,84.64,85.97,83.33,85.56,82740.0
2023-07-20,PATK,85.4,85.94,84.23,85.66,239176.0
2023-07-21,PATK,86.36,86.4,81.79,82.78,179561.0
2023-07-24,PATK,83.28,84.665,82.97,83.36,106266.0
2023-07-25,PATK,83.07,84.3,82.45,83.36,61791.0
2023-07-26,PATK,83.22,84.34,82.875,83.94,111765.0
2023-07-27,PATK,84.65,87.36,83.88,84.79,126396.0
2023-07-28,PATK,86.49,87.14,85.44,85.78,120605.0
2023-07-31,PATK,86.34,87.26,85.54,86.55,121753.0
2023-08-01,PATK,86.16,86.99,85.71,85.95,192603.0
2023-08-02,PATK,84.75,85.88,84.75,85.13,86399.0
2023-08-03,PATK,84.9,85.38,84.04,84.72,164286.0
2023-08-04,PATK,84.69,85.31,84.06,85.21,111383.0
2023-08-07,PATK,85.5,85.985,84.25,84.59,102074.0
2023-08-08,PATK,83.12,84.22,81.748,83.96,122535.0
2023-08-09,PATK,83.89,83.89,82.45,83.06,62342.0
2023-08-10,PATK,83.37,84.08,81.8,83.06,90923.0
2023-08-11,PATK,82.67,83.16,81.51,81.94,142994.0
2023-08-14,PATK,81.26,82.65,80.48,82.6,84799.0
2023-08-15,PATK,81.96,82.26,81.24,81.41,105496.0
2023-08-16,PATK,81.35,82.68,80.665,80.79,84779.0
2023-08-17,PATK,80.82,82.4,78.95,79.25,87192.0
2023-08-18,PATK,78.34,80.54,78.05,80.35,69768.0
2023-08-21,PATK,80.54,80.92,78.755,79.62,95561.0
2023-08-22,PATK,79.92,80.25,78.8901,80.02,106478.0
2023-08-23,PATK,79.91,81.775,79.52,81.31,69545.0
2023-08-24,PATK,81.07,81.89,80.06,80.18,80723.0
2023-08-25,PATK,80.09,80.47,78.69,79.88,43683.0
2023-08-28,PATK,80.19,81.46,80.02,80.74,43074.0
2023-08-29,PATK,80.85,84.75,80.25,84.67,85978.0
2023-08-30,PATK,84.17,85.42,83.34,84.18,83471.0
2023-08-31,PATK,84.27,85.2932,83.21,83.64,95240.0
2023-09-01,PATK,84.19,85.7299,84.14,84.67,119666.0
2023-09-05,PATK,83.67,83.9375,78.58,78.65,155360.0
2023-09-06,PATK,78.84,80.165,78.84,79.5,141366.0
2023-09-07,PATK,79.12,79.27,77.86,78.38,113367.0
2023-09-08,PATK,78.19,78.19,76.66,77.44,82291.0
2023-09-11,PATK,77.85,78.09,76.26,77.04,93772.0
2023-09-12,PATK,77.04,78.2675,77.04,77.96,94006.0
2023-09-13,PATK,77.96,78.07,76.735,77.63,89557.0
2023-09-14,PATK,78.53,80.99,77.93,80.99,95252.0
2023-09-15,PATK,80.8,80.8,77.14,77.8,579685.0
2023-09-18,PATK,77.94,79.34,77.94,78.62,97857.0
2023-09-19,PATK,78.62,79.995,78.62,79.34,94636.0
2023-09-20,PATK,79.87,80.2,78.24,78.37,101784.0
2023-09-21,PATK,77.77,78.18,76.775,76.955,124614.0
2023-09-22,PATK,76.99,77.065,75.11,75.88,156330.0
2023-09-25,PATK,75.2,76.8,75.2,76.33,137977.0
2023-09-26,PATK,75.48,76.0,73.44,73.91,275951.0
2023-09-27,PATK,74.59,75.885,74.59,75.53,119006.0
2023-09-28,PATK,75.33,76.87,75.33,76.24,136020.0
2023-09-29,PATK,76.79,77.7,74.87,75.06,115113.0
2023-10-02,PATK,74.93,75.34,74.64,75.04,100199.0
2023-10-03,PATK,74.59,75.14,73.18,74.06,120207.0
2023-10-04,PATK,73.93,74.81,73.3744,74.49,89021.0
2023-10-05,PATK,74.49,74.73,72.31,72.5,144979.0
2023-10-06,PATK,72.0,73.359,70.6106,71.59,125594.0
2023-10-09,PATK,71.22,72.26,70.5,72.25,166325.0
2023-10-10,PATK,72.74,74.4776,72.505,73.76,99659.0
2023-10-11,PATK,73.71,74.5,72.81,73.66,54834.0
2023-10-12,PATK,73.83,73.83,70.56,71.71,122919.0
2023-10-13,PATK,71.92,72.55,71.45,72.15,127297.0
2023-10-16,PATK,72.88,74.7999,72.85,74.01,158769.0
2023-10-17,PATK,73.29,76.17,73.29,75.9,110068.0
2023-10-18,PATK,74.78,76.14,72.18,75.12,146853.0
2023-10-19,PATK,74.68,74.975,73.205,73.42,73767.0
2023-10-20,PATK,73.54,74.93,73.25,73.73,84562.0
2023-10-23,PATK,73.43,74.43,72.78,72.98,88096.0
2023-10-24,PATK,73.42,73.7679,72.42,72.44,84780.0
2023-10-25,PATK,72.0,72.25,71.07,71.73,164640.0
2023-10-26,PATK,70.5,73.0,70.15,72.52,151418.0
2023-10-27,PATK,72.12,73.47,71.41,71.74,125992.0
2023-10-30,PATK,72.48,73.94,71.8,73.55,94766.0
2023-10-31,PATK,73.26,75.31,73.26,75.15,90815.0
2023-11-01,PATK,75.1,77.42,74.72,77.23,90350.0
2023-11-02,PATK,78.33,79.72,77.45,79.46,135904.0
2023-11-03,PATK,80.15,81.59,79.53,81.3,192339.0
2023-11-06,PATK,81.23,81.23,79.01,79.33,130326.0
2023-11-07,PATK,78.85,79.31,78.105,79.21,121191.0
2023-11-08,PATK,79.69,79.69,77.39,77.54,95393.0
2023-11-09,PATK,78.42,78.42,75.9,76.49,82117.0
2023-11-10,PATK,76.67,78.45,75.01,78.0,116414.0
2023-11-13,PATK,77.42,78.37,76.587,78.29,116349.0
2023-11-14,PATK,80.0,83.47,78.7,83.13,150388.0
2023-11-15,PATK,83.26,84.795,83.15,83.99,137340.0
2023-11-16,PATK,84.11,84.29,82.65,83.58,80043.0
2023-11-17,PATK,84.31,85.25,83.955,84.93,96487.0
2023-11-20,PATK,84.64,86.25,84.64,85.42,127499.0
2023-11-21,PATK,84.84,84.84,83.61,83.92,86266.0
2023-11-22,PATK,84.91,85.15,83.64,84.21,92281.0
2023-11-24,PATK,83.63,84.82,83.03,84.82,28193.0
2023-11-27,PATK,84.25,85.13,83.53,84.37,150550.0
2023-11-28,PATK,84.42,84.42,82.3,82.67,124753.0
2023-11-29,PATK,83.85,83.9,81.91,81.98,129734.0
2023-11-30,PATK,82.0,82.07,80.62,82.04,102297.0
2023-12-01,PATK,82.2,85.23,82.2,85.14,126774.0
2023-12-04,PATK,84.6,86.71,84.51,86.47,91163.0
2023-12-05,PATK,86.46,86.99,83.745,84.93,118933.0
2023-12-06,PATK,85.88,88.27,85.44,85.63,152690.0
2023-12-07,PATK,86.63,87.56,82.74,87.56,127236.0
2023-12-08,PATK,87.51,88.5,86.72,87.86,105232.0
2023-12-11,PATK,87.82,89.45,87.244,88.44,129852.0
2023-12-12,PATK,88.72,88.72,86.48,87.07,130971.0
2023-12-13,PATK,87.28,89.32,85.32,89.17,294845.0
2023-12-14,PATK,90.0,94.06,89.96,93.45,248993.0
2023-12-15,PATK,93.69,94.19,92.12,93.21,1250046.0
2023-12-18,PATK,94.1,94.14,92.52,93.65,133476.0
2023-12-19,PATK,94.4,99.17,94.335,98.96,291840.0
2023-12-20,PATK,98.36,101.23,97.85,97.85,311142.0
2023-12-21,PATK,99.02,99.385,96.715,98.8,148023.0
2023-12-22,PATK,99.19,100.59,98.42,99.74,99941.0
2023-12-26,PATK,100.47,101.55,100.0,100.76,99654.0
2023-12-27,PATK,101.11,102.495,100.2,101.62,122821.0
2023-12-28,PATK,100.92,101.6923,100.7,101.3,71462.0
2023-12-29,PATK,101.58,101.94,100.27,100.35,80460.0
2024-01-02,PATK,100.75,103.36,98.64,99.81,144478.0
2024-01-03,PATK,98.65,98.65,94.935,95.16,243270.0
2024-01-04,PATK,95.47,95.96,94.75,95.42,98060.0
2024-01-05,PATK,94.39,96.74,94.39,95.22,159032.0
2024-01-08,PATK,95.72,97.17,95.305,96.51,87230.0
2024-01-09,PATK,95.83,96.79,94.61,96.61,74097.0
2024-01-10,PATK,96.61,98.48,95.64,98.42,85385.0
2024-01-11,PATK,100.72,103.26,96.785,99.33,120966.0
2024-01-12,PATK,101.39,102.25,96.629,97.7,96714.0
2024-01-16,PATK,97.0,97.4,95.23,95.81,96739.0
2024-01-17,PATK,94.8,95.5,91.01,94.77,98552.0
2024-01-18,PATK,95.92,97.015,95.28,96.79,96070.0
2024-01-19,PATK,97.15,98.4,95.67,98.23,98758.0
2024-01-22,PATK,99.21,100.85,98.82,100.48,114201.0
2024-01-23,PATK,101.43,102.92,99.47,99.85,96580.0
2024-01-24,PATK,101.9,101.9,99.15,99.6,112526.0
2024-01-25,PATK,100.8,101.71,99.53,101.45,145815.0
2024-01-26,PATK,102.01,103.405,101.97,102.73,156574.0
2024-01-29,PATK,103.22,104.33,101.92,104.05,96783.0
2024-01-30,PATK,103.06,103.775,101.61,101.68,136670.0
2024-01-31,PATK,102.08,103.75,100.28,100.39,128218.0
2024-02-01,PATK,100.68,102.2,99.43,101.94,100678.0
2024-02-02,PATK,100.76,103.72,100.01,102.66,105982.0
2024-02-05,PATK,101.25,101.83,99.74,100.91,100980.0
2024-02-06,PATK,100.9,102.8,100.53,102.68,117400.0
2024-02-07,PATK,102.76,104.0699,101.38,103.46,161163.0
2024-02-08,PATK,102.54,107.44,100.65,105.45,283354.0
2024-02-09,PATK,106.55,112.11,105.42,110.16,212878.0
