Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,PAYS,2.43,2.6,2.4,2.57,141738.0
2022-11-14,PAYS,2.56,2.7599,2.56,2.67,109296.0
2022-11-15,PAYS,2.69,2.76,2.66,2.74,64341.0
2022-11-16,PAYS,2.72,2.785,2.65,2.69,28885.0
2022-11-17,PAYS,2.64,2.7,2.64,2.69,185541.0
2022-11-18,PAYS,2.72,2.73,2.6701,2.72,53463.0
2022-11-21,PAYS,2.72,3.011,2.6901,2.85,244711.0
2022-11-22,PAYS,2.87,3.0,2.8699,2.89,95325.0
2022-11-23,PAYS,2.8784,3.02,2.8601,3.01,74287.0
2022-11-25,PAYS,2.99,2.9956,2.9015,2.92,33532.0
2022-11-28,PAYS,2.88,3.1,2.81,2.97,222326.0
2022-11-29,PAYS,2.97,3.0,2.91,2.97,59881.0
2022-11-30,PAYS,2.99,3.0,2.9,2.98,58927.0
2022-12-01,PAYS,2.89,3.0,2.89,2.96,76546.0
2022-12-02,PAYS,2.9,2.95,2.9,2.94,40629.0
2022-12-05,PAYS,2.94,2.94,2.82,2.91,155961.0
2022-12-06,PAYS,2.88,2.91,2.78,2.8,49596.0
2022-12-07,PAYS,2.78,2.78,2.65,2.68,51377.0
2022-12-08,PAYS,2.68,2.8,2.68,2.75,33764.0
2022-12-09,PAYS,2.71,2.7406,2.69,2.7,22098.0
2022-12-12,PAYS,2.7,2.76,2.67,2.715,54094.0
2022-12-13,PAYS,2.82,2.82,2.2,2.59,198918.0
2022-12-14,PAYS,2.6,2.6,2.44,2.51,52299.0
2022-12-15,PAYS,2.42,2.46,2.3,2.31,111293.0
2022-12-16,PAYS,2.3,2.38,2.3,2.37,101645.0
2022-12-19,PAYS,2.39,2.6,2.39,2.55,60875.0
2022-12-20,PAYS,2.57,2.73,2.52,2.68,98063.0
2022-12-21,PAYS,2.71,2.71,2.48,2.52,43821.0
2022-12-22,PAYS,2.47,2.5799,2.41,2.47,31717.0
2022-12-23,PAYS,2.47,2.5,2.3864,2.42,31486.0
2022-12-27,PAYS,2.4,2.42,2.26,2.28,68255.0
2022-12-28,PAYS,2.27,2.37,2.2163,2.24,74205.0
2022-12-29,PAYS,2.24,2.42,2.2,2.4,122837.0
2022-12-30,PAYS,2.4,2.59,2.3409,2.58,64684.0
2023-01-03,PAYS,2.58,2.5962,2.41,2.48,32893.0
2023-01-04,PAYS,2.48,2.56,2.4,2.54,34316.0
2023-01-05,PAYS,2.55,2.59,2.45,2.55,44791.0
2023-01-06,PAYS,2.55,2.72,2.52,2.69,53083.0
2023-01-09,PAYS,2.73,2.86,2.67,2.85,66727.0
2023-01-10,PAYS,2.82,2.97,2.81,2.92,90678.0
2023-01-11,PAYS,2.92,3.05,2.82,3.03,206522.0
2023-01-12,PAYS,3.0,3.1,2.965,3.07,146577.0
2023-01-13,PAYS,3.07,3.2,3.0,3.2,207108.0
2023-01-17,PAYS,3.2,3.27,3.15,3.16,155080.0
2023-01-18,PAYS,3.18,3.25,3.06,3.06,63610.0
2023-01-19,PAYS,3.04,3.1399,3.03,3.1,43056.0
2023-01-20,PAYS,3.1,3.27,3.07,3.25,155719.0
