Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,PEBK,29.0,29.0,28.2,28.5,3615
2022-11-14,PEBK,28.5,28.5,28.49,28.49,565
2022-11-15,PEBK,28.14,28.5,28.02,28.29,3825
2022-11-16,PEBK,28.06,28.38,28.06,28.33,1193
2022-11-17,PEBK,28.04,28.475,27.7894,28.39,2549
2022-11-18,PEBK,28.49,28.5,28.45,28.5,834
2022-11-22,PEBK,28.79,28.97,28.79,28.97,820
2022-11-23,PEBK,28.4,29.0,28.4,28.99,2571
2022-11-25,PEBK,28.98,28.99,28.98,28.99,627
2022-11-28,PEBK,28.99,29.16,28.5247,29.01,7639
2022-11-29,PEBK,29.01,29.85,28.965,29.23,7186
2022-11-30,PEBK,29.71,29.88,29.68,29.72,3180
2022-12-01,PEBK,29.85,30.0,29.85,29.93,1808
2022-12-02,PEBK,29.9,30.55,29.9,30.49,5214
2022-12-05,PEBK,30.26,30.5,30.0,30.47,8153
2022-12-06,PEBK,30.47,30.5,30.0,30.39,12604
2022-12-07,PEBK,30.4,31.42,30.4,30.4,3269
2022-12-08,PEBK,30.86,30.86,30.0,30.4,3810
2022-12-09,PEBK,30.12,30.39,30.0001,30.37,1872
2022-12-12,PEBK,30.11,30.42,30.0,30.42,5537
2022-12-13,PEBK,30.75,30.795,30.64,30.64,1869
2022-12-14,PEBK,30.695,30.695,30.04,30.6,1574
2022-12-15,PEBK,30.56,31.0,30.44,30.7,25600
2022-12-16,PEBK,30.88,30.88,30.8,30.8,2030
2022-12-19,PEBK,30.375,31.25,30.3,30.94,3793
2022-12-20,PEBK,30.95,32.27,30.7407,32.23,10877
2022-12-21,PEBK,31.99,32.25,31.7,32.03,7339
2022-12-22,PEBK,31.8,32.18,31.53,32.1,6119
2022-12-23,PEBK,32.0,32.24,31.83,32.15,2556
2022-12-27,PEBK,32.26,32.47,32.05,32.13,26231
2022-12-28,PEBK,32.27,32.48,32.153,32.25,10442
2022-12-29,PEBK,32.45,32.5,32.25,32.25,15828
2022-12-30,PEBK,32.39,32.56,32.22,32.56,5243
2023-01-03,PEBK,32.74,33.055,32.26,32.36,7670
2023-01-04,PEBK,32.69,32.69,31.94,32.26,6532
2023-01-05,PEBK,32.19,32.48,31.57,32.05,11043
2023-01-06,PEBK,32.0,32.47,31.99,32.46,10997
2023-01-09,PEBK,32.49,32.5,32.25,32.48,14746
2023-01-10,PEBK,32.27,32.91,32.27,32.65,17675
2023-01-11,PEBK,32.94,33.0,32.52,32.65,12935
2023-01-12,PEBK,32.26,32.97,32.26,32.64,5341
2023-01-13,PEBK,32.26,32.85,32.26,32.6,27928
2023-01-17,PEBK,32.55,32.997,32.385,32.86,4560
2023-01-18,PEBK,32.7,32.89,31.545,32.49,8789
2023-01-19,PEBK,32.36,32.875,32.22,32.58,4692
2023-01-20,PEBK,32.84,32.98,32.55,32.98,2358
2023-01-23,PEBK,34.0,34.0,32.9075,33.24,17790
2023-01-24,PEBK,33.24,33.24,33.22,33.22,1279
2023-01-25,PEBK,33.01,33.225,33.0,33.22,6451
2023-01-26,PEBK,33.17,33.17,32.95,32.95,40403
2023-01-27,PEBK,33.2,33.24,32.7103,32.88,16140
2023-01-30,PEBK,32.96,33.07,32.24,32.8,10068
2023-01-31,PEBK,33.05,33.575,32.55,33.2,14819
2023-02-01,PEBK,33.49,33.6,33.1,33.24,16951
2023-02-02,PEBK,32.5,33.44,32.48,33.44,23623
2023-02-03,PEBK,32.8133,33.3,32.8133,33.17,5614
2023-02-06,PEBK,33.104,33.28,32.825,33.13,8165
2023-02-07,PEBK,32.86,33.1,32.66,33.0,8757
2023-02-08,PEBK,32.82,33.28,32.805,33.19,7840
2023-02-09,PEBK,33.06,33.235,32.76,33.08,2457
2023-02-10,PEBK,32.865,33.0,32.71,32.92,7625
2023-02-13,PEBK,33.1,33.2,32.9276,33.2,2159
2023-02-14,PEBK,33.275,33.29,33.245,33.27,2429
2023-02-15,PEBK,33.28,33.28,33.028,33.18,3169
2023-02-16,PEBK,33.204,33.204,32.945,33.18,3159
2023-02-17,PEBK,33.02,33.43,32.71,33.14,9229
2023-02-21,PEBK,33.0,33.0,33.0,33.0,1757
2023-02-22,PEBK,32.86,33.05,32.7325,32.99,7515
2023-02-23,PEBK,33.14,33.18,32.885,33.12,5446
2023-02-24,PEBK,33.04,33.37,32.74,33.12,4762
2023-02-27,PEBK,33.19,33.3,33.01,33.26,1707
2023-02-28,PEBK,33.35,33.71,33.07,33.69,22809
2023-03-01,PEBK,33.3799,34.32,33.3799,33.51,6993
2023-03-02,PEBK,33.98,33.98,33.2,33.33,4986
2023-03-03,PEBK,33.505,33.69,33.075,33.24,4366
2023-03-06,PEBK,33.64,33.64,33.0,33.24,2308
2023-03-07,PEBK,33.4,33.64,33.035,33.44,4279
2023-03-08,PEBK,33.54,34.35,33.5,34.15,43618
2023-03-09,PEBK,34.88,34.88,33.78,34.15,20361
