Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,PFS,22.86,23.0,22.47,22.68,250689.0
2022-11-14,PFS,22.63,22.88,22.52,22.54,289053.0
2022-11-15,PFS,22.7,22.91,22.48,22.67,311894.0
2022-11-16,PFS,22.66,22.66,22.235,22.26,265256.0
2022-11-17,PFS,22.19,22.2399,21.97,22.13,238231.0
2022-11-18,PFS,22.44,22.58,22.07,22.18,291034.0
2022-11-21,PFS,22.26,22.36,22.14,22.36,206276.0
2022-11-22,PFS,22.41,22.65,22.41,22.55,226159.0
2022-11-23,PFS,22.39,22.6,22.34,22.57,210051.0
2022-11-25,PFS,22.72,22.77,22.57,22.64,139009.0
2022-11-28,PFS,22.52,22.57,21.96,22.02,300848.0
2022-11-29,PFS,21.88,22.14,21.85,22.12,225702.0
2022-11-30,PFS,22.22,22.53,21.81,22.53,393293.0
2022-12-01,PFS,22.58,22.62,22.11,22.35,258760.0
2022-12-02,PFS,22.15,22.53,22.15,22.49,230628.0
2022-12-05,PFS,22.53,22.53,21.77,21.9,346222.0
2022-12-06,PFS,21.96,22.22,21.76,21.99,272664.0
2022-12-07,PFS,21.89,22.05,21.8,21.84,276188.0
2022-12-08,PFS,21.86,22.12,21.77,21.99,222012.0
2022-12-09,PFS,21.93,22.09,21.78,21.98,239568.0
2022-12-12,PFS,21.88,22.16,21.58,21.97,233385.0
2022-12-13,PFS,22.34,22.66,21.85,22.01,545518.0
2022-12-14,PFS,21.97,22.07,21.18,21.24,365236.0
2022-12-15,PFS,21.11,21.27,20.81,20.92,418428.0
2022-12-16,PFS,20.71,20.88,20.5,20.63,2106558.0
2022-12-19,PFS,20.6,21.1,20.6,20.94,539236.0
2022-12-20,PFS,20.94,21.24,20.9,21.14,357187.0
2022-12-21,PFS,21.23,21.54,21.14,21.45,242855.0
2022-12-22,PFS,21.42,21.47,21.09,21.33,321585.0
2022-12-23,PFS,21.32,21.48,21.16,21.42,112442.0
2022-12-27,PFS,21.5,21.59,21.37,21.42,213853.0
2022-12-28,PFS,21.53,21.58,21.2,21.2,217450.0
2022-12-29,PFS,21.39,21.57,21.29,21.44,202821.0
