Date,Ticker,Open,High,Low,Close,Volume
2023-07-05,PHIN,29.89,36.99,29.04,36.75,12492070.0
2023-07-06,PHIN,35.83,36.39,31.5,33.81,3246232.0
2023-07-07,PHIN,33.1,35.17,32.53,33.25,1974391.0
2023-07-10,PHIN,32.2,32.32,27.21,27.69,6616400.0
2023-07-11,PHIN,26.75,28.3399,25.51,26.61,4231046.0
2023-07-12,PHIN,26.38,26.89,24.49,25.54,4643068.0
2023-07-13,PHIN,25.5,27.9,25.46,27.79,3829785.0
2023-07-14,PHIN,27.35,28.65,27.03,28.31,2329253.0
2023-07-17,PHIN,28.28,28.99,27.16,28.18,1414462.0
2023-07-18,PHIN,26.83,28.25,26.78,27.42,2240154.0
2023-07-19,PHIN,27.05,27.78,25.92,26.13,2086532.0
2023-07-20,PHIN,25.98,27.02,25.89,26.55,1049988.0
2023-07-21,PHIN,26.71,27.715,26.62,27.3,1678797.0
2023-07-24,PHIN,27.06,29.35,26.91,28.83,1177494.0
2023-07-25,PHIN,28.98,29.79,28.45,28.96,1388409.0
2023-07-26,PHIN,28.57,29.05,28.35,28.61,1007826.0
2023-07-27,PHIN,28.64,29.0,26.6,26.91,2015899.0
2023-07-28,PHIN,27.3,28.25,26.85,27.34,1006125.0
2023-07-31,PHIN,27.34,28.5,26.82,28.37,1056716.0
2023-08-01,PHIN,28.26,29.38,28.0,29.06,503357.0
2023-08-02,PHIN,29.0,30.48,28.495,29.88,903399.0
2023-08-03,PHIN,29.8,30.31,28.82,28.84,658567.0
2023-08-04,PHIN,28.9,29.08,27.74,27.99,664568.0
2023-08-07,PHIN,27.97,29.335,27.97,28.51,525261.0
2023-08-08,PHIN,28.1,28.46,27.75,27.92,363549.0
2023-08-09,PHIN,27.11,28.48,26.8,28.21,647452.0
2023-08-10,PHIN,28.23,29.04,28.055,28.69,576516.0
2023-08-11,PHIN,28.48,29.51,28.15,29.11,532250.0
2023-08-14,PHIN,28.83,29.35,28.05,28.43,448737.0
2023-08-15,PHIN,28.88,29.0229,27.59,28.0,425658.0
2023-08-16,PHIN,27.57,27.74,26.79,26.84,793176.0
2023-08-17,PHIN,26.86,27.19,26.54,26.62,403804.0
2023-08-18,PHIN,26.5,26.93,26.5,26.52,434410.0
2023-08-21,PHIN,26.58,26.7475,25.71,25.9,509821.0
2023-08-22,PHIN,25.69,26.58,25.69,26.34,308501.0
