Date,Ticker,Open,High,Low,Close,Volume
2022-11-15,PLAOW,0.04,0.04,0.04,0.04,100.0
2022-11-16,PLAOW,0.05,0.05,0.05,0.05,1812.0
2022-11-22,PLAOW,0.04,0.042,0.04,0.0401,59017.0
2022-11-28,PLAOW,0.04,0.04,0.04,0.04,7444.0
2022-11-29,PLAOW,0.04,0.04,0.04,0.04,204.0
2022-12-02,PLAOW,0.05,0.05,0.05,0.05,15000.0
2022-12-06,PLAOW,0.06,0.06,0.06,0.06,600.0
2022-12-08,PLAOW,0.06,0.06,0.04,0.04,3800.0
2022-12-09,PLAOW,0.07,0.07,0.07,0.07,100.0
2022-12-12,PLAOW,0.0538,0.0538,0.0538,0.0538,100.0
2022-12-14,PLAOW,0.1,0.1,0.05,0.05,5712.0
2022-12-15,PLAOW,0.05,0.05,0.05,0.05,338.0
2022-12-20,PLAOW,0.0548,0.1942,0.0523,0.1644,11171.0
2022-12-21,PLAOW,0.074,0.0936,0.074,0.0936,2220.0
2022-12-22,PLAOW,0.08,0.08,0.08,0.08,400.0
2022-12-23,PLAOW,0.08,0.08,0.08,0.08,100.0
2022-12-27,PLAOW,0.19,0.19,0.0511,0.0511,5498.0
2022-12-29,PLAOW,0.0504,0.0504,0.0496,0.0496,200.0
2022-12-30,PLAOW,0.09,0.09,0.09,0.09,100.0
2023-01-06,PLAOW,0.1251,0.1251,0.08,0.08,15400.0
2023-01-09,PLAOW,0.1251,0.1251,0.08,0.08,1303.0
2023-01-11,PLAOW,0.08,0.08,0.08,0.08,203.0
2023-01-17,PLAOW,0.0715,0.0789,0.063,0.0658,5802.0
2023-01-18,PLAOW,0.08,0.1978,0.08,0.082,35711.0
2023-01-19,PLAOW,0.1269,0.1269,0.09,0.09,9300.0
2023-01-23,PLAOW,0.0904,0.0904,0.0642,0.08,91790.0
2023-01-25,PLAOW,0.1035,0.1035,0.08,0.09,788.0
2023-01-26,PLAOW,0.08,0.1298,0.08,0.1298,747.0
2023-01-30,PLAOW,0.0901,0.19,0.086,0.09,5135.0
2023-01-31,PLAOW,0.1121,0.1277,0.0649,0.08,369026.0
2023-02-01,PLAOW,0.08,0.1687,0.08,0.08,5254.0
2023-02-02,PLAOW,0.09,0.118,0.0655,0.09,7778.0
2023-02-03,PLAOW,0.0801,0.0801,0.0801,0.0801,140.0
2023-02-06,PLAOW,0.0726,0.0839,0.0647,0.0779,41542.0
2023-02-07,PLAOW,0.1145,0.1198,0.0959,0.1,3216.0
2023-02-08,PLAOW,0.09015,0.09015,0.08,0.08,1611.0
2023-02-09,PLAOW,0.1,0.12,0.1,0.1138,3990.0
2023-02-10,PLAOW,0.0686,0.1898,0.0686,0.1898,24352.0
2023-02-13,PLAOW,0.1586,0.1748,0.0805,0.1542,9229.0
2023-02-14,PLAOW,0.1743,0.1743,0.1221,0.125,11906.0
2023-02-15,PLAOW,0.0502,0.0968,0.0502,0.0912,18611.0
2023-02-16,PLAOW,0.0702,0.111,0.0522,0.0898,8751.0
2023-02-17,PLAOW,0.104,0.1157,0.0526,0.0702,4282.0
2023-02-21,PLAOW,0.0788,0.0891,0.0788,0.0802,3740.0
2023-02-22,PLAOW,0.08,0.08,0.08,0.08,1002.0
2023-02-23,PLAOW,0.08,0.096,0.08,0.0801,1861.0
2023-02-24,PLAOW,0.0897,0.1001,0.0897,0.1,4818.0
2023-02-28,PLAOW,0.053,0.0888,0.0528,0.0888,4730.0
2023-03-01,PLAOW,0.1288,0.1288,0.0825,0.11,4637.0
2023-03-02,PLAOW,0.1298,0.1298,0.0724,0.0724,300.0
2023-03-03,PLAOW,0.0884,0.0886,0.0529,0.0836,6620.0
2023-03-06,PLAOW,0.0823,0.1997,0.0808,0.0808,3122.0
2023-03-07,PLAOW,0.09,0.195,0.09,0.0983,10427.0
2023-03-08,PLAOW,0.176,0.1938,0.09,0.1021,11561.0
2023-03-09,PLAOW,0.090201,0.1005,0.0901,0.1005,1400.0
2023-03-10,PLAOW,0.1022,0.1022,0.078,0.078,573.0
2023-03-13,PLAOW,0.0796,0.1498,0.0785,0.1498,954.0
2023-03-14,PLAOW,0.0905,0.0905,0.09,0.09,1458.0
2023-03-15,PLAOW,0.0701,0.086,0.0701,0.086,1607.0
2023-03-16,PLAOW,0.096,0.1488,0.0916,0.0916,2492.0
2023-03-20,PLAOW,0.0707,0.0952,0.0707,0.0802,2149.0
2023-03-21,PLAOW,0.1394,0.1394,0.0894,0.0894,1903.0
2023-03-23,PLAOW,0.07,0.07,0.07,0.07,199.0
2023-03-24,PLAOW,0.0932,0.0932,0.09,0.09,1424.0
2023-03-27,PLAOW,0.0904,0.0904,0.0904,0.0904,107.0
2023-04-03,PLAOW,0.0813,0.0813,0.0711,0.0711,2436.0
2023-04-05,PLAOW,0.0711,0.0711,0.0706,0.0711,2007.0
2023-04-10,PLAOW,0.0711,0.0711,0.0711,0.0711,1750.0
2023-04-11,PLAOW,0.071,0.0855,0.071,0.0711,3838.0
2023-04-12,PLAOW,0.071,0.0852,0.071,0.071,6250.0
2023-04-17,PLAOW,0.0736,0.0866,0.07,0.07,9500.0
2023-04-20,PLAOW,0.043,0.043,0.043,0.043,498.0
2023-04-25,PLAOW,0.0439,0.044,0.0439,0.044,4463.0
2023-04-26,PLAOW,0.0634,0.0634,0.0607,0.0607,501.0
2023-05-08,PLAOW,0.06,0.06,0.06,0.06,498.0
2023-05-10,PLAOW,0.025,0.06,0.025,0.06,352.0
2023-05-11,PLAOW,0.0368,0.0368,0.0368,0.0368,208.0
2023-05-12,PLAOW,0.0292,0.0321,0.0288,0.0299,401.0
2023-05-16,PLAOW,0.05,0.068,0.0345,0.0345,5500.0
2023-05-17,PLAOW,0.0864,0.0916,0.0276,0.03,21983.0
2023-05-18,PLAOW,0.0302,0.0796,0.0301,0.0303,6211.0
